,id,diary,previous,perform_type,memory,audience,pa,na,age,gender,instrument,years_study,mpqab,mpqsr,mpqpem,mpqnem,mpqcon
52,5,10,9,Solo,Score,Public Performance,32,20,19,Female,orchestral instrument,14,28,12,54,40,42
53,5,11,10,Large Ensemble,Score,Public Performance,36,20,19,Female,orchestral instrument,14,28,12,54,40,42
54,5,12,11,Solo,Unspecified,Instructor,28,26,19,Female,orchestral instrument,14,28,12,54,40,42
55,6,1,0,Solo,Memory,Student(s),31,21,19,Female,voice,5,27,8,58,26,62
56,6,2,1,Solo,Score,Public Performance,36,12,19,Female,voice,5,27,8,58,26,62
57,6,3,2,Large Ensemble,Memory,Public Performance,47,15,19,Female,voice,5,27,8,58,26,62
58,6,4,3,Large Ensemble,Memory,Public Performance,42,11,19,Female,voice,5,27,8,58,26,62
59,6,5,4,Large Ensemble,Memory,Public Performance,47,10,19,Female,voice,5,27,8,58,26,62
60,6,6,5,Large Ensemble,Memory,Public Performance,49,11,19,Female,voice,5,27,8,58,26,62
61,6,7,6,Solo,Memory,Juried Recital,33,18,19,Female,voice,5,27,8,58,26,62
62,6,8,7,Solo,Score,Public Performance,42,11,19,Female,voice,5,27,8,58,26,62
63,6,9,8,Solo,Score,Public Performance,30,10,19,Female,voice,5,27,8,58,26,62
64,6,10,9,Solo,Score,Public Performance,41,12,19,Female,voice,5,27,8,58,26,62
65,6,11,10,Solo,Score,Public Performance,35,13,19,Female,voice,5,27,8,58,26,62
66,6,12,11,Solo,Score,Public Performance,32,15,19,Female,voice,5,27,8,58,26,62
67,6,13,12,Solo,Score,Public Performance,37,10,19,Female,voice,5,27,8,58,26,62
68,6,14,13,Solo,Score,Public Performance,35,11,19,Female,voice,5,27,8,58,26,62
69,6,15,14,Solo,Score,Instructor,38,10,19,Female,voice,5,27,8,58,26,62
70,7,1,0,Solo,Score,Instructor,13,20,21,Female,orchestral instrument,12,11,15,41,44,50
71,7,2,1,Large Ensemble,Score,Student(s),17,18,21,Female,orchestral instrument,12,11,15,41,44,50
72,7,3,2,Large Ensemble,Score,Public Performance,15,26,21,Female,orchestral instrument,12,11,15,41,44,50
73,7,4,3,Solo,Score,Instructor,11,22,21,Female,orchestral instrument,12,11,15,41,44,50
74,7,5,4,Large Ensemble,Score,Public Performance,26,12,21,Female,orchestral instrument,12,11,15,41,44,50
75,7,6,5,Large Ensemble,Score,Public Performance,26,11,21,Female,orchestral instrument,12,11,15,41,44,50
76,7,7,6,Large Ensemble,Score,Public Performance,27,14,21,Female,orchestral instrument,12,11,15,41,44,50
77,7,8,7,Solo,Score,Instructor,17,13,21,Female,orchestral instrument,12,11,15,41,44,50
78,7,9,8,Large Ensemble,Score,Student(s),26,27,21,Female,orchestral instrument,12,11,15,41,44,50
79,7,10,9,Solo,Score,Juried Recital,28,24,21,Female,orchestral instrument,12,11,15,41,44,50
80,7,11,10,Solo,Score,Juried Recital,25,19,21,Female,orchestral instrument,12,11,15,41,44,50
81,7,12,11,Large Ensemble,Score,Student(s),31,13,21,Female,orchestral instrument,12,11,15,41,44,50
82,7,13,12,Large Ensemble,Score,Student(s),28,19,21,Female,orchestral instrument,12,11,15,41,44,50
83,7,14,13,Large Ensemble,Score,Student(s),20,10,21,Female,orchestral instrument,12,11,15,41,44,50
84,7,15,14,Large Ensemble,Score,Student(s),20,14,21,Female,orchestral instrument,12,11,15,41,44,50
85,8,2,1,Solo,Score,Instructor,39,20,20,Female,orchestral instrument,10,22,16,68,47,59
86,8,3,2,Large Ensemble,Score,Public Performance,29,21,20,Female,orchestral instrument,10,22,16,68,47,59
87,8,4,3,Large Ensemble,Score,Public Performance,40,15,20,Female,orchestral instrument,10,22,16,68,47,59
88,8,5,4,Small Ensemble,Score,Public Performance,36,17,20,Female,orchestral instrument,10,22,16,68,47,59
89,8,6,5,Solo,Score,Instructor,34,18,20,Female,orchestral instrument,10,22,16,68,47,59
90,8,7,6,Large Ensemble,Memory,Public Performance,43,14,20,Female,orchestral instrument,10,22,16,68,47,59
91,8,8,7,Large Ensemble,Score,Public Performance,43,13,20,Female,orchestral instrument,10,22,16,68,47,59
92,8,9,8,Large Ensemble,Score,Public Performance,29,19,20,Female,orchestral instrument,10,22,16,68,47,59
93,8,10,9,Large Ensemble,Score,Public Performance,44,13,20,Female,orchestral instrument,10,22,16,68,47,59
94,8,11,10,Small Ensemble,Score,Public Performance,15,18,20,Female,orchestral instrument,10,22,16,68,47,59
95,8,12,11,Solo,Unspecified,Instructor,37,12,20,Female,orchestral instrument,10,22,16,68,47,59
96,8,13,12,Solo,Unspecified,Juried Recital,48,15,20,Female,orchestral instrument,10,22,16,68,47,59
97,8,14,13,Solo,Score,Student(s),24,19,20,Female,orchestral instrument,10,22,16,68,47,59
98,8,15,14,Solo,Score,Instructor,36,10,20,Female,orchestral instrument,10,22,16,68,47,59
99,9,1,0,Small Ensemble,Score,Public Performance,24,12,21,Male,orchestral instrument,12,25,8,50,24,51
100,9,2,1,Large Ensemble,Score,Public Performance,36,14,21,Male,orchestral instrument,12,25,8,50,24,51
101,9,3,2,Large Ensemble,Score,Public Performance,31,14,21,Male,orchestral instrument,12,25,8,50,24,51
102,9,4,3,Solo,Score,Student(s),24,28,21,Male,orchestral instrument,12,25,8,50,24,51
103,9,5,4,Large Ensemble,Score,Public Performance,35,23,21,Male,orchestral instrument,12,25,8,50,24,51
104,9,6,5,Large Ensemble,Score,Public Performance,33,20,21,Male,orchestral instrument,12,25,8,50,24,51
105,9,7,6,Large Ensemble,Score,Public Performance,38,18,21,Male,orchestral instrument,12,25,8,50,24,51
106,9,8,7,Large Ensemble,Score,Public Performance,32,15,21,Male,orchestral instrument,12,25,8,50,24,51
107,9,9,8,Large Ensemble,Score,Public Performance,42,22,21,Male,orchestral instrument,12,25,8,50,24,51
108,9,10,9,Solo,Memory,Juried Recital,41,16,21,Male,orchestral instrument,12,25,8,50,24,51
109,9,11,10,Solo,Memory,Student(s),33,13,21,Male,orchestral instrument,12,25,8,50,24,51
110,9,12,11,Solo,Memory,Juried Recital,43,13,21,Male,orchestral instrument,12,25,8,50,24,51
111,9,13,12,Solo,Memory,Juried Recital,36,28,21,Male,orchestral instrument,12,25,8,50,24,51
112,9,14,13,Small Ensemble,Score,Public Performance,29,11,21,Male,orchestral instrument,12,25,8,50,24,51
113,9,15,14,Solo,Memory,Student(s),33,16,21,Male,orchestral instrument,12,25,8,50,24,51
114,10,1,0,Solo,Memory,Juried Recital,42,14,19,Female,voice,5,17,13,52,27,39
115,10,2,1,Solo,Score,Student(s),26,14,19,Female,voice,5,17,13,52,27,39
116,10,3,2,Solo,Unspecified,Instructor,36,12,19,Female,voice,5,17,13,52,27,39
117,10,4,3,Large Ensemble,Memory,Public Performance,27,11,19,Female,voice,5,17,13,52,27,39
118,10,5,4,Solo,Memory,Student(s),35,13,19,Female,voice,5,17,13,52,27,39
119,10,6,5,Large Ensemble,Memory,Public Performance,34,15,19,Female,voice,5,17,13,52,27,39
120,10,7,6,Large Ensemble,Memory,Public Performance,37,13,19,Female,voice,5,17,13,52,27,39
121,10,8,7,Solo,Score,Instructor,25,16,19,Female,voice,5,17,13,52,27,39
122,10,9,8,Large Ensemble,Memory,Public Performance,30,15,19,Female,voice,5,17,13,52,27,39
123,10,10,9,Large Ensemble,Memory,Public Performance,38,12,19,Female,voice,5,17,13,52,27,39
124,10,11,10,Solo,Memory,Public Performance,29,17,19,Female,voice,5,17,13,52,27,39
125,10,12,11,Solo,Unspecified,Instructor,22,15,19,Female,voice,5,17,13,52,27,39
126,10,13,12,Solo,Unspecified,Student(s),20,16,19,Female,voice,5,17,13,52,27,39
127,10,14,13,Solo,Score,Student(s),24,11,19,Female,voice,5,17,13,52,27,39
128,10,15,14,Solo,Unspecified,Instructor,13,15,19,Female,voice,5,17,13,52,27,39
129,12,1,0,Solo,Score,Student(s),31,23,19,Female,orchestral instrument,2,30,15,57,40,68
130,12,2,1,Solo,Score,Instructor,39,17,19,Female,orchestral instrument,2,30,15,57,40,68
131,12,3,2,Small Ensemble,Score,Public Performance,28,25,19,Female,orchestral instrument,2,30,15,57,40,68
132,12,4,3,Solo,Score,Student(s),36,26,19,Female,orchestral instrument,2,30,15,57,40,68
133,12,5,4,Small Ensemble,Score,Public Performance,24,12,19,Female,orchestral instrument,2,30,15,57,40,68
134,12,6,5,Solo,Score,Juried Recital,48,29,19,Female,orchestral instrument,2,30,15,57,40,68
135,12,7,6,Solo,Score,Instructor,44,18,19,Female,orchestral instrument,2,30,15,57,40,68
136,12,8,7,Small Ensemble,Score,Public Performance,41,16,19,Female,orchestral instrument,2,30,15,57,40,68
137,12,9,8,Small Ensemble,Score,Public Performance,24,12,19,Female,orchestral instrument,2,30,15,57,40,68
138,12,10,9,Large Ensemble,Score,Public Performance,18,15,19,Female,orchestral instrument,2,30,15,57,40,68
139,12,11,10,Large Ensemble,Score,Public Performance,37,13,19,Female,orchestral instrument,2,30,15,57,40,68
140,12,12,11,Small Ensemble,Score,Public Performance,33,13,19,Female,orchestral instrument,2,30,15,57,40,68
141,12,13,12,Large Ensemble,Score,Public Performance,14,16,19,Female,orchestral instrument,2,30,15,57,40,68
142,13,1,0,Solo,Score,Student(s),30,19,20,Female,orchestral instrument,5,23,10,52,24,74
143,13,2,1,Solo,Score,Instructor,31,11,20,Female,orchestral instrument,5,23,10,52,24,74
144,13,3,2,Solo,Unspecified,Instructor,40,12,20,Female,orchestral instrument,5,23,10,52,24,74
145,13,4,3,Large Ensemble,Score,Public Performance,39,15,20,Female,orchestral instrument,5,23,10,52,24,74
146,13,5,4,Large Ensemble,Score,Public Performance,41,11,20,Female,orchestral instrument,5,23,10,52,24,74
147,13,6,5,Large Ensemble,Score,Public Performance,34,10,20,Female,orchestral instrument,5,23,10,52,24,74
148,13,7,6,Large Ensemble,Unspecified,Public Performance,39,12,20,Female,orchestral instrument,5,23,10,52,24,74
149,13,8,7,Solo,Score,Instructor,26,12,20,Female,orchestral instrument,5,23,10,52,24,74
150,13,9,8,Solo,Score,Instructor,24,11,20,Female,orchestral instrument,5,23,10,52,24,74
151,13,10,9,Solo,Score,Student(s),33,11,20,Female,orchestral instrument,5,23,10,52,24,74
152,13,11,10,Solo,Score,Juried Recital,33,18,20,Female,orchestral instrument,5,23,10,52,24,74
153,13,12,11,Small Ensemble,Score,Public Performance,40,18,20,Female,orchestral instrument,5,23,10,52,24,74
154,13,13,12,Solo,Score,Student(s),29,15,20,Female,orchestral instrument,5,23,10,52,24,74
155,13,14,13,Solo,Unspecified,Public Performance,35,17,20,Female,orchestral instrument,5,23,10,52,24,74
156,13,15,14,Small Ensemble,Memory,Public Performance,35,13,20,Female,orchestral instrument,5,23,10,52,24,74
157,15,1,0,Small Ensemble,Memory,Student(s),36,18,21,Female,voice,11,28,17,64,32,43
158,15,2,1,Solo,Score,Student(s),26,28,21,Female,voice,11,28,17,64,32,43
159,15,3,2,Solo,Score,Instructor,19,24,21,Female,voice,11,28,17,64,32,43
160,15,4,3,Solo,Memory,Student(s),22,11,21,Female,voice,11,28,17,64,32,43
161,15,5,4,Solo,Unspecified,Instructor,14,28,21,Female,voice,11,28,17,64,32,43
162,15,6,5,Large Ensemble,Memory,Public Performance,41,14,21,Female,voice,11,28,17,64,32,43
163,15,7,6,Large Ensemble,Memory,Public Performance,30,13,21,Female,voice,11,28,17,64,32,43
164,15,8,7,Large Ensemble,Memory,Public Performance,21,10,21,Female,voice,11,28,17,64,32,43
165,15,9,8,Large Ensemble,Memory,Public Performance,32,12,21,Female,voice,11,28,17,64,32,43
166,15,10,9,Small Ensemble,Memory,Student(s),28,14,21,Female,voice,11,28,17,64,32,43
167,15,11,10,Solo,Score,Public Performance,24,11,21,Female,voice,11,28,17,64,32,43
168,15,12,11,Small Ensemble,Memory,Student(s),32,13,21,Female,voice,11,28,17,64,32,43
169,15,13,12,Small Ensemble,Memory,Public Performance,30,11,21,Female,voice,11,28,17,64,32,43
170,15,14,13,Solo,Memory,Juried Recital,36,16,21,Female,voice,11,28,17,64,32,43
171,15,15,14,Solo,Memory,Public Performance,26,10,21,Female,voice,11,28,17,64,32,43
172,16,1,0,Large Ensemble,Unspecified,Public Performance,49,19,20,Female,voice,7,24,18,51,45,29
173,16,2,1,Large Ensemble,Unspecified,Public Performance,35,15,20,Female,voice,7,24,18,51,45,29
174,16,3,2,Large Ensemble,Unspecified,Public Performance,40,16,20,Female,voice,7,24,18,51,45,29
175,16,4,3,Large Ensemble,Unspecified,Public Performance,41,12,20,Female,voice,7,24,18,51,45,29
176,16,5,4,Solo,Memory,Juried Recital,38,25,20,Female,voice,7,24,18,51,45,29
177,16,6,5,Solo,Memory,Juried Recital,42,20,20,Female,voice,7,24,18,51,45,29
178,17,1,0,Large Ensemble,Unspecified,Public Performance,38,20,22,Male,orchestral instrument,13,29,5,57,27,23
179,17,2,1,Solo,Unspecified,Instructor,41,18,22,Male,orchestral instrument,13,29,5,57,27,23
180,17,3,2,Large Ensemble,Unspecified,Public Performance,31,15,22,Male,orchestral instrument,13,29,5,57,27,23
181,17,4,3,Large Ensemble,Unspecified,Public Performance,23,11,22,Male,orchestral instrument,13,29,5,57,27,23
182,17,5,4,Large Ensemble,Unspecified,Public Performance,43,21,22,Male,orchestral instrument,13,29,5,57,27,23
183,17,6,5,Small Ensemble,Score,Student(s),39,19,22,Male,orchestral instrument,13,29,5,57,27,23
184,17,7,6,Solo,Score,Juried Recital,22,18,22,Male,orchestral instrument,13,29,5,57,27,23
185,17,8,7,Solo,Unspecified,Instructor,29,13,22,Male,orchestral instrument,13,29,5,57,27,23
186,17,9,8,Solo,Memory,Student(s),39,25,22,Male,orchestral instrument,13,29,5,57,27,23
187,17,10,9,Solo,Memory,Student(s),38,28,22,Male,orchestral instrument,13,29,5,57,27,23
188,17,11,10,Large Ensemble,Memory,Public Performance,40,27,22,Male,orchestral instrument,13,29,5,57,27,23
189,17,12,11,Large Ensemble,Memory,Public Performance,37,15,22,Male,orchestral instrument,13,29,5,57,27,23
190,17,13,12,Large Ensemble,Memory,Public Performance,29,29,22,Male,orchestral instrument,13,29,5,57,27,23
191,17,14,13,Large Ensemble,Memory,Public Performance,33,18,22,Male,orchestral instrument,13,29,5,57,27,23
192,17,15,14,Large Ensemble,Memory,Public Performance,43,25,22,Male,orchestral instrument,13,29,5,57,27,23
193,18,1,0,Solo,Unspecified,Instructor,43,15,19,Male,orchestral instrument,15,17,6,59,24,81
194,18,2,1,Large Ensemble,Unspecified,Public Performance,48,11,19,Male,orchestral instrument,15,17,6,59,24,81
195,18,3,2,Large Ensemble,Unspecified,Public Performance,48,13,19,Male,orchestral instrument,15,17,6,59,24,81
196,18,4,3,Large Ensemble,Unspecified,Public Performance,47,12,19,Male,orchestral instrument,15,17,6,59,24,81
197,18,5,4,Large Ensemble,Unspecified,Public Performance,50,10,19,Male,orchestral instrument,15,17,6,59,24,81
198,18,6,5,Solo,Unspecified,Instructor,44,10,19,Male,orchestral instrument,15,17,6,59,24,81
199,18,7,6,Solo,Score,Juried Recital,46,10,19,Male,orchestral instrument,15,17,6,59,24,81
200,18,8,7,Solo,Unspecified,Instructor,41,16,19,Male,orchestral instrument,15,17,6,59,24,81
201,18,9,8,Solo,Unspecified,Juried Recital,42,19,19,Male,orchestral instrument,15,17,6,59,24,81
202,18,10,9,Solo,Memory,Public Performance,43,12,19,Male,orchestral instrument,15,17,6,59,24,81
203,18,11,10,Large Ensemble,Score,Public Performance,45,15,19,Male,orchestral instrument,15,17,6,59,24,81
204,18,12,11,Large Ensemble,Score,Public Performance,44,13,19,Male,orchestral instrument,15,17,6,59,24,81
205,18,13,12,Large Ensemble,Score,Public Performance,46,11,19,Male,orchestral instrument,15,17,6,59,24,81
206,18,14,13,Large Ensemble,Score,Public Performance,46,11,19,Male,orchestral instrument,15,17,6,59,24,81
207,18,15,14,Large Ensemble,Score,Public Performance,44,12,19,Male,orchestral instrument,15,17,6,59,24,81
208,19,1,0,Solo,Memory,Student(s),34,15,21,Female,voice,4,21,1,51,11,52
209,19,2,1,Large Ensemble,Memory,Public Performance,31,12,21,Female,voice,4,21,1,51,11,52
210,19,3,2,Small Ensemble,Memory,Student(s),25,13,21,Female,voice,4,21,1,51,11,52
211,19,4,3,Solo,Unspecified,Instructor,30,10,21,Female,voice,4,21,1,51,11,52
212,19,5,4,Solo,Unspecified,Student(s),31,10,21,Female,voice,4,21,1,51,11,52
213,19,6,5,Solo,Unspecified,Instructor,38,11,21,Female,voice,4,21,1,51,11,52
214,19,7,6,Solo,Unspecified,Instructor,34,13,21,Female,voice,4,21,1,51,11,52
215,19,8,7,Solo,Score,Instructor,39,10,21,Female,voice,4,21,1,51,11,52
216,19,9,8,Solo,Unspecified,Juried Recital,41,16,21,Female,voice,4,21,1,51,11,52
217,19,10,9,Solo,Memory,Juried Recital,39,12,21,Female,voice,4,21,1,51,11,52
218,19,11,10,Solo,Memory,Juried Recital,34,12,21,Female,voice,4,21,1,51,11,52
219,19,12,11,Solo,Memory,Juried Recital,39,13,21,Female,voice,4,21,1,51,11,52
220,19,13,12,Solo,Memory,Juried Recital,38,11,21,Female,voice,4,21,1,51,11,52
221,19,14,13,Solo,Memory,Instructor,42,12,21,Female,voice,4,21,1,51,11,52
222,19,15,14,Solo,Memory,Instructor,37,10,21,Female,voice,4,21,1,51,11,52
223,20,1,0,Solo,Memory,Juried Recital,40,21,21,Female,voice,3,7,14,34,35,54
224,20,2,1,Solo,Score,Instructor,31,16,21,Female,voice,3,7,14,34,35,54
225,21,1,0,Solo,Score,Instructor,17,12,18,Female,orchestral instrument,7,26,20,57,40,74
226,21,2,1,Solo,Score,Instructor,16,17,18,Female,orchestral instrument,7,26,20,57,40,74
227,21,3,2,Large Ensemble,Score,Public Performance,37,22,18,Female,orchestral instrument,7,26,20,57,40,74
228,21,4,3,Large Ensemble,Score,Public Performance,24,13,18,Female,orchestral instrument,7,26,20,57,40,74
229,21,5,4,Small Ensemble,Score,Public Performance,24,11,18,Female,orchestral instrument,7,26,20,57,40,74
230,21,6,5,Large Ensemble,Unspecified,Public Performance,27,12,18,Female,orchestral instrument,7,26,20,57,40,74
231,21,7,6,Large Ensemble,Score,Public Performance,33,13,18,Female,orchestral instrument,7,26,20,57,40,74
232,21,8,7,Solo,Unspecified,Public Performance,33,16,18,Female,orchestral instrument,7,26,20,57,40,74
233,21,9,8,Solo,Score,Student(s),20,27,18,Female,orchestral instrument,7,26,20,57,40,74
234,21,10,9,Small Ensemble,Score,Public Performance,30,18,18,Female,orchestral instrument,7,26,20,57,40,74
235,21,11,10,Solo,Score,Juried Recital,22,26,18,Female,orchestral instrument,7,26,20,57,40,74
236,21,12,11,Small Ensemble,Score,Public Performance,18,10,18,Female,orchestral instrument,7,26,20,57,40,74
237,21,13,12,Small Ensemble,Memory,Public Performance,26,15,18,Female,orchestral instrument,7,26,20,57,40,74
238,21,14,13,Small Ensemble,Memory,Public Performance,19,19,18,Female,orchestral instrument,7,26,20,57,40,74
239,21,15,14,Large Ensemble,Score,Public Performance,41,13,18,Female,orchestral instrument,7,26,20,57,40,74
240,22,1,0,Solo,Score,Instructor,35,24,18,Male,orchestral instrument,7,24,14,49,40,52
241,22,2,1,Large Ensemble,Score,Public Performance,39,21,18,Male,orchestral instrument,7,24,14,49,40,52
242,22,3,2,Large Ensemble,Score,Public Performance,41,14,18,Male,orchestral instrument,7,24,14,49,40,52
243,22,4,3,Large Ensemble,Score,Public Performance,46,15,18,Male,orchestral instrument,7,24,14,49,40,52
244,22,5,4,Large Ensemble,Score,Public Performance,50,10,18,Male,orchestral instrument,7,24,14,49,40,52
245,22,6,5,Solo,Score,Instructor,38,24,18,Male,orchestral instrument,7,24,14,49,40,52
246,22,7,6,Solo,Score,Student(s),40,24,18,Male,orchestral instrument,7,24,14,49,40,52
247,22,8,7,Solo,Score,Instructor,33,16,18,Male,orchestral instrument,7,24,14,49,40,52
248,22,9,8,Small Ensemble,Score,Public Performance,39,34,18,Male,orchestral instrument,7,24,14,49,40,52
249,22,10,9,Large Ensemble,Score,Public Performance,44,22,18,Male,orchestral instrument,7,24,14,49,40,52
250,22,11,10,Large Ensemble,Score,Public Performance,40,19,18,Male,orchestral instrument,7,24,14,49,40,52
251,22,12,11,Large Ensemble,Score,Public Performance,48,18,18,Male,orchestral instrument,7,24,14,49,40,52
252,22,13,12,Large Ensemble,Score,Public Performance,49,12,18,Male,orchestral instrument,7,24,14,49,40,52
253,22,14,13,Large Ensemble,Score,Public Performance,47,19,18,Male,orchestral instrument,7,24,14,49,40,52
254,22,15,14,Solo,Score,Instructor,32,25,18,Male,orchestral instrument,7,24,14,49,40,52
255,24,1,0,Large Ensemble,Memory,Public Performance,33,18,20,Male,voice,7,25,7,60,39,43
256,24,2,1,Large Ensemble,Memory,Public Performance,31,11,20,Male,voice,7,25,7,60,39,43
257,24,3,2,Large Ensemble,Memory,Public Performance,29,13,20,Male,voice,7,25,7,60,39,43
258,24,4,3,Large Ensemble,Memory,Public Performance,38,17,20,Male,voice,7,25,7,60,39,43
259,24,5,4,Solo,Memory,Instructor,18,18,20,Male,voice,7,25,7,60,39,43
260,24,6,5,Large Ensemble,Memory,Public Performance,38,20,20,Male,voice,7,25,7,60,39,43
261,24,7,6,Large Ensemble,Memory,Public Performance,49,19,20,Male,voice,7,25,7,60,39,43
262,24,8,7,Large Ensemble,Memory,Public Performance,43,14,20,Male,voice,7,25,7,60,39,43
263,24,9,8,Solo,Memory,Instructor,39,19,20,Male,voice,7,25,7,60,39,43
264,24,10,9,Solo,Memory,Public Performance,46,20,20,Male,voice,7,25,7,60,39,43
265,24,11,10,Large Ensemble,Memory,Public Performance,20,23,20,Male,voice,7,25,7,60,39,43
266,24,12,11,Large Ensemble,Memory,Public Performance,22,18,20,Male,voice,7,25,7,60,39,43
267,24,13,12,Small Ensemble,Memory,Juried Recital,31,13,20,Male,voice,7,25,7,60,39,43
268,24,14,13,Solo,Score,Student(s),30,18,20,Male,voice,7,25,7,60,39,43
269,24,15,14,Solo,Score,Instructor,26,23,20,Male,voice,7,25,7,60,39,43
270,25,1,0,Solo,Score,Student(s),30,24,18,Female,orchestral instrument,7,21,3,53,13,45
271,25,2,1,Large Ensemble,Score,Public Performance,30,10,18,Female,orchestral instrument,7,21,3,53,13,45
272,25,3,2,Large Ensemble,Score,Public Performance,31,10,18,Female,orchestral instrument,7,21,3,53,13,45
273,25,4,3,Large Ensemble,Score,Public Performance,33,10,18,Female,orchestral instrument,7,21,3,53,13,45
274,25,5,4,Large Ensemble,Score,Public Performance,29,11,18,Female,orchestral instrument,7,21,3,53,13,45
275,25,6,5,Solo,Score,Instructor,25,11,18,Female,orchestral instrument,7,21,3,53,13,45
276,25,7,6,Solo,Score,Public Performance,20,23,18,Female,orchestral instrument,7,21,3,53,13,45
