"","game","date","visitor","hometeam","foul.num","foul.home","foul.vis","foul.diff","score.diff","lead.vis","lead.home","previous.foul.home","previous.foul.vis","foul.type","offensive","personal","shooting","time"
"34",4,20100306,"PUR","PSU",2,1,0,-1,-2,1,0,0,1,"Shooting",0,0,1,17.5166666666667
"35",4,20100306,"PUR","PSU",3,0,1,0,-2,1,0,1,0,"Shooting",0,0,1,16.5
"36",4,20100306,"PUR","PSU",4,1,0,-1,0,0,0,0,1,"Shooting",0,0,1,15.9833333333333
"37",4,20100306,"PUR","PSU",5,0,1,0,-6,1,0,1,0,"Personal",0,1,0,12.9333333333333
"38",4,20100306,"PUR","PSU",6,1,0,-1,-11,1,0,0,1,"Personal",0,1,0,11.4333333333333
"39",4,20100306,"PUR","PSU",7,0,1,0,-9,1,0,1,0,"Personal",0,1,0,10.4166666666667
"40",4,20100306,"PUR","PSU",8,1,0,-1,-9,1,0,0,1,"Shooting",0,0,1,9.66666666666667
"41",4,20100306,"PUR","PSU",9,0,1,0,-8,1,0,1,0,"Personal",0,1,0,8.73333333333333
"42",4,20100306,"PUR","PSU",10,1,0,-1,-7,1,0,0,1,"Shooting",0,0,1,5.76666666666667
"43",4,20100306,"PUR","PSU",11,0,1,0,-9,1,0,1,0,"Personal",0,1,0,4.01666666666667
"44",4,20100306,"PUR","PSU",12,1,0,-1,-9,1,0,0,1,"Shooting",0,0,1,2.63333333333333
"45",4,20100306,"PUR","PSU",13,0,1,0,-9,1,0,1,0,"Personal",0,1,0,2.56666666666667
"46",5,20100307,"IA","MN",1,0,1,0,7,0,1,0,0,"Personal",0,1,0,14.1666666666667
"47",5,20100307,"IA","MN",2,1,0,-1,10,0,1,0,1,"Personal",0,1,0,11.4333333333333
"48",5,20100307,"IA","MN",3,1,0,0,11,0,1,1,0,"Personal",0,1,0,10.2333333333333
"49",5,20100307,"IA","MN",4,0,1,1,11,0,1,1,0,"Personal",0,1,0,9.73333333333333
"50",5,20100307,"IA","MN",5,0,1,0,14,0,1,0,1,"Shooting",0,0,1,7.76666666666667
"51",5,20100307,"IA","MN",6,0,1,-1,22,0,1,0,1,"Shooting",0,0,1,5.56666666666667
"52",5,20100307,"IA","MN",7,1,0,-2,25,0,1,0,1,"Shooting",0,0,1,2.43333333333333
"53",5,20100307,"IA","MN",8,1,0,-1,23,0,1,1,0,"Offensive",1,0,0,1
"54",6,20100307,"MI","MIST",1,0,1,0,2,0,1,0,0,"Shooting",0,0,1,18.9833333333333
"55",6,20100307,"MI","MIST",2,1,0,-1,2,0,1,0,1,"Personal",0,1,0,17.2
"56",6,20100307,"MI","MIST",3,1,0,0,5,0,1,1,0,"Personal",0,1,0,14.0666666666667
"57",6,20100307,"MI","MIST",4,1,0,1,5,0,1,1,0,"Personal",0,1,0,13.9
"58",6,20100307,"MI","MIST",5,1,0,2,5,0,1,1,0,"Shooting",0,0,1,13.7
"59",6,20100307,"MI","MIST",6,0,1,3,4,0,1,1,0,"Shooting",0,0,1,13.4666666666667
"60",6,20100307,"MI","MIST",7,1,0,2,6,0,1,0,1,"Personal",0,1,0,13.2
"61",6,20100307,"MI","MIST",8,1,0,3,6,0,1,1,0,"Shooting",0,0,1,11.45
"62",6,20100307,"MI","MIST",9,0,1,4,13,0,1,1,0,"Shooting",0,0,1,8.71666666666667
"63",6,20100307,"MI","MIST",10,1,0,3,15,0,1,0,1,"Shooting",0,0,1,8.53333333333333
"64",6,20100307,"MI","MIST",11,0,1,4,17,0,1,1,0,"Personal",0,1,0,7.81666666666667
"65",6,20100307,"MI","MIST",12,0,1,3,12,0,1,0,1,"Personal",0,1,0,4.28333333333333
"66",6,20100307,"MI","MIST",13,1,0,2,12,0,1,0,1,"Personal",0,1,0,2.8
"67",6,20100307,"MI","MIST",14,0,1,3,17,0,1,1,0,"Shooting",0,0,1,0.833333333333333
"68",7,20100307,"WI","IL",1,0,1,0,-4,1,0,0,0,"Personal",0,1,0,18.4
"69",7,20100307,"WI","IL",2,1,0,-1,-1,1,0,0,1,"Shooting",0,0,1,14.5333333333333
"70",7,20100307,"WI","IL",3,0,1,0,-2,1,0,1,0,"Personal",0,1,0,13.75
"71",7,20100307,"WI","IL",4,0,1,-1,-1,1,0,0,1,"Personal",0,1,0,9.28333333333333
"72",7,20100307,"WI","IL",5,1,0,-2,-1,1,0,0,1,"Personal",0,1,0,7.15
"73",7,20100307,"WI","IL",6,1,0,-1,-3,1,0,1,0,"Offensive",1,0,0,6.23333333333333
"74",7,20100307,"WI","IL",7,0,1,0,-2,1,0,1,0,"Personal",0,1,0,3.38333333333333
"75",7,20100307,"WI","IL",8,0,1,-1,-2,1,0,0,1,"Offensive",1,0,0,1.85
"76",7,20100307,"WI","IL",9,0,1,-2,-5,1,0,0,1,"Shooting",0,0,1,0.516666666666667
"77",7,20100307,"WI","IL",10,1,0,-3,-3,1,0,0,1,"Personal",0,1,0,0.0833333333333333
"78",8,20100306,"PUR","PSU",1,0,1,0,-2,1,0,0,0,"Personal",0,1,0,18.3166666666667
"79",8,20100306,"PUR","PSU",2,1,0,-1,-2,1,0,0,1,"Shooting",0,0,1,17.5166666666667
"80",8,20100306,"PUR","PSU",3,0,1,0,-2,1,0,1,0,"Shooting",0,0,1,16.5
"81",8,20100306,"PUR","PSU",4,1,0,-1,0,0,0,0,1,"Shooting",0,0,1,15.9833333333333
"82",8,20100306,"PUR","PSU",5,0,1,0,-6,1,0,1,0,"Personal",0,1,0,12.9333333333333
"83",8,20100306,"PUR","PSU",6,1,0,-1,-11,1,0,0,1,"Personal",0,1,0,11.4333333333333
"84",8,20100306,"PUR","PSU",7,0,1,0,-9,1,0,1,0,"Personal",0,1,0,10.4166666666667
"85",8,20100306,"PUR","PSU",8,1,0,-1,-9,1,0,0,1,"Shooting",0,0,1,9.66666666666667
"86",8,20100306,"PUR","PSU",9,0,1,0,-8,1,0,1,0,"Personal",0,1,0,8.73333333333333
"87",8,20100306,"PUR","PSU",10,1,0,-1,-7,1,0,0,1,"Shooting",0,0,1,5.76666666666667
"88",8,20100306,"PUR","PSU",11,0,1,0,-9,1,0,1,0,"Personal",0,1,0,4.01666666666667
"89",8,20100306,"PUR","PSU",12,1,0,-1,-9,1,0,0,1,"Shooting",0,0,1,2.63333333333333
"90",8,20100306,"PUR","PSU",13,0,1,0,-9,1,0,1,0,"Personal",0,1,0,2.56666666666667
"91",9,20100306,"NW","IN",1,1,0,0,-2,1,0,0,0,"Personal",0,1,0,18.6166666666667
"92",9,20100306,"NW","IN",2,1,0,1,-4,1,0,1,0,"Shooting",0,0,1,18.0833333333333
"93",9,20100306,"NW","IN",3,1,0,2,-2,1,0,1,0,"Personal",0,1,0,15.6833333333333
"94",9,20100306,"NW","IN",4,0,1,3,1,0,1,1,0,"Personal",0,1,0,14.0333333333333
"95",9,20100306,"NW","IN",5,0,1,2,3,0,1,0,1,"Shooting",0,0,1,11.0833333333333
"96",9,20100306,"NW","IN",6,1,0,1,4,0,1,0,1,"Personal",0,1,0,10.8833333333333
"97",9,20100306,"NW","IN",7,0,1,2,4,0,1,1,0,"Personal",0,1,0,10.6
"98",9,20100306,"NW","IN",8,0,1,1,2,0,1,0,1,"Personal",0,1,0,5.5
"99",9,20100306,"NW","IN",9,0,1,0,4,0,1,0,1,"Personal",0,1,0,4.91666666666667
"100",9,20100306,"NW","IN",10,1,0,-1,4,0,1,0,1,"Personal",0,1,0,4.55
"101",9,20100306,"NW","IN",11,0,1,0,2,0,1,1,0,"Personal",0,1,0,4.06666666666667
"102",9,20100306,"NW","IN",12,0,1,-1,4,0,1,0,1,"Personal",0,1,0,3.2
"103",9,20100306,"NW","IN",13,1,0,-2,6,0,1,0,1,"Personal",0,1,0,2.68333333333333
"104",9,20100306,"NW","IN",14,0,1,-1,6,0,1,1,0,"Personal",0,1,0,1.78333333333333
"105",10,20100303,"IA","WI",1,1,0,0,3,0,1,0,0,"Shooting",0,0,1,18.5333333333333
"106",10,20100303,"IA","WI",2,0,1,1,1,0,1,1,0,"Offensive",1,0,0,14.5166666666667
"107",10,20100303,"IA","WI",3,0,1,0,2,0,1,0,1,"Shooting",0,0,1,12.7833333333333
"108",10,20100303,"IA","WI",4,1,0,-1,18,0,1,0,1,"Personal",0,1,0,7.2
"109",10,20100303,"IA","WI",5,0,1,0,18,0,1,1,0,"Personal",0,1,0,3.61666666666667
"110",10,20100303,"IA","WI",6,1,0,-1,18,0,1,0,1,"Shooting",0,0,1,2.76666666666667
"111",10,20100303,"IA","WI",7,0,1,0,18,0,1,1,0,"Shooting",0,0,1,0.5
"112",11,20100303,"IN","PUR",1,0,1,0,0,0,0,0,0,"Offensive",1,0,0,18.35
"113",11,20100303,"IN","PUR",2,0,1,-1,0,0,0,0,1,"Personal",0,1,0,18.15
"114",11,20100303,"IN","PUR",3,0,1,-2,1,0,1,0,1,"Shooting",0,0,1,16.2333333333333
"115",11,20100303,"IN","PUR",4,0,1,-3,4,0,1,0,1,"Offensive",1,0,0,15.6833333333333
"116",11,20100303,"IN","PUR",5,1,0,-4,6,0,1,0,1,"Personal",0,1,0,15.3833333333333
"117",11,20100303,"IN","PUR",6,1,0,-3,8,0,1,1,0,"Personal",0,1,0,14.8
"118",11,20100303,"IN","PUR",7,0,1,-2,5,0,1,1,0,"Personal",0,1,0,14.7666666666667
"119",11,20100303,"IN","PUR",8,0,1,-3,5,0,1,0,1,"Personal",0,1,0,14.5333333333333
"120",11,20100303,"IN","PUR",9,0,1,-4,13,0,1,0,1,"Shooting",0,0,1,9.35
"121",11,20100303,"IN","PUR",10,0,1,-5,14,0,1,0,1,"Personal",0,1,0,8.93333333333333
"122",11,20100303,"IN","PUR",11,1,0,-6,14,0,1,0,1,"Personal",0,1,0,8.91666666666667
"123",11,20100303,"IN","PUR",12,0,1,-5,14,0,1,1,0,"Personal",0,1,0,8.55
"124",11,20100303,"IN","PUR",13,1,0,-6,16,0,1,0,1,"Personal",0,1,0,6.55
"125",11,20100303,"IN","PUR",14,1,0,-5,17,0,1,1,0,"Personal",0,1,0,5.6
"126",11,20100303,"IN","PUR",15,0,1,-4,14,0,1,1,0,"Shooting",0,0,1,4.25
"127",11,20100303,"IN","PUR",16,0,1,-5,12,0,1,0,1,"Personal",0,1,0,3.33333333333333
"128",11,20100303,"IN","PUR",17,0,1,-6,14,0,1,0,1,"Shooting",0,0,1,2.18333333333333
"129",11,20100303,"IN","PUR",18,0,1,-7,14,0,1,0,1,"Personal",0,1,0,1.75
"130",12,20100302,"IL","OHST",1,1,0,0,3,0,1,0,0,"Personal",0,1,0,17.7666666666667
"131",12,20100302,"IL","OHST",2,0,1,1,-5,1,0,1,0,"Shooting",0,0,1,12.5166666666667
"132",12,20100302,"IL","OHST",3,0,1,0,-5,1,0,0,1,"Shooting",0,0,1,11.9666666666667
"133",12,20100302,"IL","OHST",4,0,1,-1,-5,1,0,0,1,"Personal",0,1,0,10
"134",12,20100302,"IL","OHST",5,0,1,-2,-5,1,0,0,1,"Personal",0,1,0,9.95
"135",12,20100302,"IL","OHST",6,0,1,-3,7,0,1,0,1,"Shooting",0,0,1,7.18333333333333
"136",12,20100302,"IL","OHST",7,1,0,-4,5,0,1,0,1,"Personal",0,1,0,6.61666666666667
"137",12,20100302,"IL","OHST",8,0,1,-3,5,0,1,1,0,"Shooting",0,0,1,4.38333333333333
"138",12,20100302,"IL","OHST",9,1,0,-4,3,0,1,0,1,"Offensive",1,0,0,3.51666666666667
"139",12,20100302,"IL","OHST",10,1,0,-3,3,0,1,1,0,"Personal",0,1,0,3.08333333333333
"140",12,20100302,"IL","OHST",11,0,1,-2,0,0,0,1,0,"Shooting",0,0,1,2.6
"141",12,20100302,"IL","OHST",12,1,0,-3,0,0,0,0,1,"Shooting",0,0,1,2.45
"142",12,20100302,"IL","OHST",13,0,1,-2,1,0,1,1,0,"Shooting",0,0,1,1.33333333333333
"143",13,20100302,"MN","MI",1,0,1,0,-4,1,0,0,0,"Shooting",0,0,1,15.8833333333333
"144",13,20100302,"MN","MI",2,0,1,-1,-3,1,0,0,1,"Shooting",0,0,1,13.85
"145",13,20100302,"MN","MI",3,1,0,-2,-1,1,0,0,1,"Personal",0,1,0,13.6333333333333
"146",13,20100302,"MN","MI",4,0,1,-1,0,0,0,1,0,"Personal",0,1,0,9.23333333333333
"147",13,20100302,"MN","MI",5,1,0,-2,2,0,1,0,1,"Shooting",0,0,1,8.36666666666667
"148",13,20100302,"MN","MI",6,0,1,-1,4,0,1,1,0,"Shooting",0,0,1,8.03333333333333
"149",13,20100302,"MN","MI",7,1,0,-2,12,0,1,0,1,"Personal",0,1,0,5.66666666666667
"150",13,20100302,"MN","MI",8,1,0,-1,10,0,1,1,0,"Shooting",0,0,1,5.41666666666667
"151",13,20100302,"MN","MI",9,1,0,0,12,0,1,1,0,"Personal",0,1,0,1.08333333333333
"152",13,20100302,"MN","MI",10,1,0,1,12,0,1,1,0,"Personal",0,1,0,0.466666666666667
"153",14,20100228,"IN","IA",1,0,1,0,0,0,0,0,0,"Personal",0,1,0,19.7333333333333
"154",14,20100228,"IN","IA",2,1,0,-1,0,0,0,0,1,"Personal",0,1,0,19.65
"155",14,20100228,"IN","IA",3,0,1,0,2,0,1,1,0,"Personal",0,1,0,19.0833333333333
"156",14,20100228,"IN","IA",4,1,0,-1,2,0,1,0,1,"Personal",0,1,0,19
"157",14,20100228,"IN","IA",5,0,1,0,2,0,1,1,0,"Personal",0,1,0,18.35
"158",14,20100228,"IN","IA",6,1,0,-1,4,0,1,0,1,"Personal",0,1,0,17.3333333333333
"159",14,20100228,"IN","IA",7,0,1,0,4,0,1,1,0,"Personal",0,1,0,17.15
"160",14,20100228,"IN","IA",8,0,1,-1,5,0,1,0,1,"Shooting",0,0,1,15.6333333333333
"161",14,20100228,"IN","IA",9,1,0,-2,6,0,1,0,1,"Personal",0,1,0,13.45
"162",14,20100228,"IN","IA",10,0,1,-1,6,0,1,1,0,"Personal",0,1,0,12.1
"163",14,20100228,"IN","IA",11,0,1,-2,8,0,1,0,1,"Shooting",0,0,1,10.5333333333333
"164",14,20100228,"IN","IA",12,1,0,-3,11,0,1,0,1,"Shooting",0,0,1,9.76666666666667
"165",14,20100228,"IN","IA",13,1,0,-2,10,0,1,1,0,"Personal",0,1,0,8.18333333333333
"166",14,20100228,"IN","IA",14,1,0,-1,6,0,1,1,0,"Personal",0,1,0,6.3
"167",14,20100228,"IN","IA",15,1,0,0,7,0,1,1,0,"Personal",0,1,0,4.68333333333333
"168",14,20100228,"IN","IA",16,0,1,1,9,0,1,1,0,"Offensive",1,0,0,3.41666666666667
"169",14,20100228,"IN","IA",17,1,0,0,9,0,1,0,1,"Offensive",1,0,0,2.48333333333333
"170",14,20100228,"IN","IA",18,1,0,1,11,0,1,1,0,"Personal",0,1,0,1.13333333333333
"171",15,20100228,"MIST","PUR",1,0,1,0,0,0,0,0,0,"Shooting",0,0,1,19.4
"172",15,20100228,"MIST","PUR",2,0,1,-1,-2,1,0,0,1,"Personal",0,1,0,18.2833333333333
"173",15,20100228,"MIST","PUR",3,0,1,-2,-2,1,0,0,1,"Shooting",0,0,1,17.3833333333333
"174",15,20100228,"MIST","PUR",4,1,0,-3,1,0,1,0,1,"Personal",0,1,0,16.95
"175",15,20100228,"MIST","PUR",5,0,1,-2,1,0,1,1,0,"Personal",0,1,0,16.5666666666667
"176",15,20100228,"MIST","PUR",6,0,1,-3,3,0,1,0,1,"Offensive",1,0,0,15.4166666666667
"177",15,20100228,"MIST","PUR",7,1,0,-4,1,0,1,0,1,"Personal",0,1,0,14.45
"178",15,20100228,"MIST","PUR",8,0,1,-3,1,0,1,1,0,"Personal",0,1,0,14.2666666666667
"179",15,20100228,"MIST","PUR",9,0,1,-4,1,0,1,0,1,"Shooting",0,0,1,13.9166666666667
"180",15,20100228,"MIST","PUR",10,0,1,-5,0,0,0,0,1,"Shooting",0,0,1,13.0833333333333
"181",15,20100228,"MIST","PUR",11,1,0,-6,1,0,1,0,1,"Shooting",0,0,1,12.7833333333333
"182",15,20100228,"MIST","PUR",12,1,0,-5,0,0,0,1,0,"Personal",0,1,0,12.15
"183",15,20100228,"MIST","PUR",13,1,0,-4,1,0,1,1,0,"Personal",0,1,0,11.1166666666667
"184",15,20100228,"MIST","PUR",14,1,0,-3,1,0,1,1,0,"Shooting",0,0,1,10.6666666666667
"185",15,20100228,"MIST","PUR",15,0,1,-2,0,0,0,1,0,"Personal",0,1,0,9.05
"186",15,20100228,"MIST","PUR",16,1,0,-3,-2,1,0,0,1,"Shooting",0,0,1,7.15
"187",15,20100228,"MIST","PUR",17,1,0,-2,-4,1,0,1,0,"Offensive",1,0,0,6.75
"188",15,20100228,"MIST","PUR",18,0,1,-1,-6,1,0,1,0,"Offensive",1,0,0,5.53333333333333
"189",15,20100228,"MIST","PUR",19,0,1,-2,-4,1,0,0,1,"Personal",0,1,0,4.6
"190",16,20100228,"NW","PSU",1,0,1,0,0,0,0,0,0,"Personal",0,1,0,18.6333333333333
"191",16,20100228,"NW","PSU",2,0,1,-1,0,0,0,0,1,"Personal",0,1,0,18.6166666666667
"192",16,20100228,"NW","PSU",3,1,0,-2,2,0,1,0,1,"Personal",0,1,0,17.1833333333333
"193",16,20100228,"NW","PSU",4,1,0,-1,8,0,1,1,0,"Personal",0,1,0,14.4333333333333
"194",16,20100228,"NW","PSU",5,1,0,0,7,0,1,1,0,"Personal",0,1,0,12.5666666666667
"195",16,20100228,"NW","PSU",6,1,0,1,7,0,1,1,0,"Personal",0,1,0,12.0333333333333
"196",16,20100228,"NW","PSU",7,0,1,2,4,0,1,1,0,"Shooting",0,0,1,11.5833333333333
"197",16,20100228,"NW","PSU",8,1,0,1,5,0,1,0,1,"Shooting",0,0,1,10.15
"198",16,20100228,"NW","PSU",9,1,0,2,4,0,1,1,0,"Shooting",0,0,1,9.78333333333333
"199",16,20100228,"NW","PSU",10,0,1,3,2,0,1,1,0,"Personal",0,1,0,9.41666666666667
"200",16,20100228,"NW","PSU",11,0,1,2,4,0,1,0,1,"Shooting",0,0,1,8.23333333333333
"201",16,20100228,"NW","PSU",12,0,1,1,3,0,1,0,1,"Shooting",0,0,1,7.43333333333333
"202",16,20100228,"NW","PSU",13,0,1,0,9,0,1,0,1,"Shooting",0,0,1,4.93333333333333
"203",16,20100228,"NW","PSU",14,0,1,-1,8,0,1,0,1,"Shooting",0,0,1,4.15
"204",16,20100228,"NW","PSU",15,1,0,-2,9,0,1,0,1,"Shooting",0,0,1,4
"205",16,20100228,"NW","PSU",16,0,1,-1,9,0,1,1,0,"Personal",0,1,0,3.38333333333333
"206",16,20100228,"NW","PSU",17,1,0,-2,13,0,1,0,1,"Personal",0,1,0,2.3
"207",16,20100228,"NW","PSU",18,0,1,-1,13,0,1,1,0,"Personal",0,1,0,1.65
"208",16,20100228,"NW","PSU",19,1,0,-2,14,0,1,0,1,"Personal",0,1,0,0.116666666666667
"209",17,20100227,"MN","IL",1,0,1,0,0,0,0,0,0,"Personal",0,1,0,14.5
"210",17,20100227,"MN","IL",2,1,0,-1,-2,1,0,0,1,"Shooting",0,0,1,13.7166666666667
"211",17,20100227,"MN","IL",3,1,0,0,-1,1,0,1,0,"Personal",0,1,0,13.35
"212",17,20100227,"MN","IL",4,0,1,1,-3,1,0,1,0,"Personal",0,1,0,12.9666666666667
"213",17,20100227,"MN","IL",5,0,1,0,-3,1,0,0,1,"Personal",0,1,0,9.8
"214",17,20100227,"MN","IL",6,1,0,-1,-3,1,0,0,1,"Personal",0,1,0,9.31666666666667
"215",17,20100227,"MN","IL",7,1,0,0,-8,1,0,1,0,"Personal",0,1,0,4.36666666666667
"216",17,20100227,"MN","IL",8,0,1,1,-10,1,0,1,0,"Personal",0,1,0,2.43333333333333
"217",17,20100227,"MN","IL",9,1,0,0,-10,1,0,0,1,"Personal",0,1,0,2.26666666666667
"218",18,20100227,"MI","OHST",1,1,0,0,4,0,1,0,0,"Personal",0,1,0,18.2333333333333
"219",18,20100227,"MI","OHST",2,1,0,1,8,0,1,1,0,"Shooting",0,0,1,14.2833333333333
"220",18,20100227,"MI","OHST",3,0,1,2,5,0,1,1,0,"Personal",0,1,0,13.8833333333333
"221",18,20100227,"MI","OHST",4,1,0,1,5,0,1,0,1,"Personal",0,1,0,13.75
"222",18,20100227,"MI","OHST",5,1,0,2,7,0,1,1,0,"Personal",0,1,0,12.45
"223",18,20100227,"MI","OHST",6,0,1,3,7,0,1,1,0,"Offensive",1,0,0,12.2833333333333
"224",18,20100227,"MI","OHST",7,1,0,2,6,0,1,0,1,"Offensive",1,0,0,6.23333333333333
"225",18,20100227,"MI","OHST",8,1,0,3,6,0,1,1,0,"Shooting",0,0,1,6.1
"226",18,20100227,"MI","OHST",9,0,1,4,1,0,1,1,0,"Personal",0,1,0,2.75
"227",18,20100227,"MI","OHST",10,0,1,3,2,0,1,0,1,"Shooting",0,0,1,1.73333333333333
"228",18,20100227,"MI","OHST",11,1,0,2,1,0,1,0,1,"Shooting",0,0,1,0.933333333333333
"229",19,20100225,"WI","IN",1,1,0,0,2,0,1,0,0,"Personal",0,1,0,17.0833333333333
"230",19,20100225,"WI","IN",2,1,0,1,2,0,1,1,0,"Offensive",1,0,0,16.65
"231",19,20100225,"WI","IN",3,0,1,2,-2,1,0,1,0,"Personal",0,1,0,14.1
"232",19,20100225,"WI","IN",4,1,0,1,0,0,0,0,1,"Offensive",1,0,0,13.4666666666667
"233",19,20100225,"WI","IN",6,0,1,3,-4,1,0,1,0,"Personal",0,1,0,12.55
"234",19,20100225,"WI","IN",7,1,0,2,-2,1,0,0,1,"Personal",0,1,0,11.3833333333333
"235",19,20100225,"WI","IN",8,0,1,3,-4,1,0,1,0,"Personal",0,1,0,10.7
"236",19,20100225,"WI","IN",9,1,0,2,-4,1,0,0,1,"Personal",0,1,0,10.6333333333333
"237",19,20100225,"WI","IN",10,0,1,3,-10,1,0,1,0,"Personal",0,1,0,4.83333333333333
"238",19,20100225,"WI","IN",11,0,1,2,-13,1,0,0,1,"Personal",0,1,0,1.45
"239",20,20100225,"IA","NW",1,0,1,0,2,0,1,0,0,"Personal",0,1,0,15.5833333333333
"240",20,20100225,"IA","NW",2,1,0,-1,5,0,1,0,1,"Personal",0,1,0,14.1333333333333
"241",20,20100225,"IA","NW",3,0,1,0,5,0,1,1,0,"Personal",0,1,0,13.7
"242",20,20100225,"IA","NW",4,0,1,-1,5,0,1,0,1,"Offensive",1,0,0,12.7
"243",20,20100225,"IA","NW",5,1,0,-2,9,0,1,0,1,"Shooting",0,0,1,11.3
"244",20,20100225,"IA","NW",6,1,0,-1,11,0,1,1,0,"Personal",0,1,0,10.05
"245",20,20100225,"IA","NW",7,1,0,0,11,0,1,1,0,"Personal",0,1,0,9.91666666666667
"246",20,20100225,"IA","NW",8,1,0,1,14,0,1,1,0,"Shooting",0,0,1,9.1
"247",20,20100225,"IA","NW",9,0,1,2,17,0,1,1,0,"Offensive",1,0,0,5.43333333333333
"248",20,20100225,"IA","NW",10,0,1,1,17,0,1,0,1,"Personal",0,1,0,4.61666666666667
"249",20,20100225,"IA","NW",11,1,0,0,17,0,1,0,1,"Shooting",0,0,1,4.13333333333333
"250",20,20100225,"IA","NW",12,0,1,1,20,0,1,1,0,"Personal",0,1,0,2.21666666666667
"251",20,20100225,"IA","NW",13,0,1,0,17,0,1,0,1,"Personal",0,1,0,1.48333333333333
"252",21,20100224,"PUR","MN",1,0,1,0,0,0,0,0,0,"Personal",0,1,0,19.25
"253",21,20100224,"PUR","MN",2,0,1,-1,-7,1,0,0,1,"Personal",0,1,0,16.35
"254",21,20100224,"PUR","MN",3,0,1,-2,-10,1,0,0,1,"Personal",0,1,0,14.6166666666667
"255",21,20100224,"PUR","MN",4,1,0,-3,-8,1,0,0,1,"Shooting",0,0,1,14.2
"256",21,20100224,"PUR","MN",5,0,1,-2,-11,1,0,1,0,"Personal",0,1,0,10.7666666666667
"257",21,20100224,"PUR","MN",6,0,1,-3,-11,1,0,0,1,"Personal",0,1,0,8.98333333333333
