,pot,plant,soil,sterile,species,germin,hgt13,hgt18,hgt23,hgt28
103,17,175,CULT,Y,L,N,NA,NA,NA,NA
104,17,176,CULT,Y,L,N,NA,NA,NA,NA
105,18,181,REM,Y,C,Y,2.8,3.2,4.6,5.6
106,18,182,REM,Y,C,Y,NA,0.8,0.8,0.8
107,18,183,REM,Y,C,N,NA,NA,NA,NA
108,18,184,REM,Y,C,N,NA,NA,NA,NA
109,18,185,REM,Y,C,N,NA,NA,NA,NA
110,18,186,REM,Y,C,N,NA,NA,NA,NA
111,19,191,REM,Y,C,Y,3.3,4.6,7.5,8.7
112,19,192,REM,Y,C,Y,1,2.4,3.3,3.5
113,19,193,REM,Y,C,Y,2.2,4.3,5.4,6
114,19,194,REM,Y,C,Y,3.3,4.6,4.7,5.3
115,19,195,REM,Y,C,Y,NA,0.8,1.6,1.7
116,19,196,REM,Y,C,N,NA,NA,NA,NA
117,20,201,STP,Y,C,Y,2.9,4,4.3,6.9
118,20,202,STP,Y,C,Y,0.4,1.6,2.6,3.4
119,20,203,STP,Y,C,Y,1.9,4,4.7,4.8
120,20,204,STP,Y,C,Y,1.9,3.1,3.4,5.1
121,20,205,STP,Y,C,Y,0.3,1.6,3.2,3.4
122,20,206,STP,Y,C,Y,1.9,2.4,4.6,5.3
123,21,211,STP,Y,C,Y,0.9,1.7,1.9,2.3
124,21,212,STP,Y,C,Y,2,3.4,3.9,4.2
125,21,213,STP,Y,C,Y,1.5,2.7,3.1,4.2
126,21,214,STP,Y,C,Y,2.5,3.3,4.2,5.2
127,21,215,STP,Y,C,Y,2.5,3,3.3,3.6
128,21,216,STP,Y,C,Y,2.1,2.6,3.2,4.7
129,22,221,STP,Y,L,Y,1.7,2.1,3,3.6
130,22,222,STP,Y,L,Y,1.5,2.7,3.5,4.2
131,22,223,STP,Y,L,Y,1.7,2,3.4,3.9
132,22,224,STP,Y,L,N,NA,NA,NA,NA
133,22,225,STP,Y,L,N,NA,NA,NA,NA
134,22,226,STP,Y,L,N,NA,NA,NA,NA
135,23,231,CULT,N,C,Y,1.1,1.4,1.6,1.7
136,23,232,CULT,N,C,Y,1.3,2.2,2.5,2.7
137,23,233,CULT,N,C,Y,0.5,1.4,2,2.3
138,23,234,CULT,N,C,Y,0.3,0.4,1.2,1.7
139,23,235,CULT,N,C,Y,0.5,0.5,0.8,2
140,23,236,CULT,N,C,Y,0.1,NA,NA,NA
141,24,241,STP,Y,L,Y,1.8,2.6,3.9,4.2
142,24,242,STP,Y,L,Y,1.3,1.7,2.8,3.7
143,24,243,STP,Y,L,Y,1.5,1.6,3.9,3.9
144,24,244,STP,Y,L,Y,NA,1,2.3,3.8
145,24,245,STP,Y,L,N,NA,NA,NA,NA
146,24,246,STP,Y,L,N,NA,NA,NA,NA
147,25,251,STP,N,C,Y,1,1.9,2,2.2
148,25,252,STP,N,C,Y,0.6,1,0.9,2
149,25,253,STP,N,C,Y,1,1.8,2.3,2.4
150,25,254,STP,N,C,Y,1.8,2.1,2.5,2.5
151,25,255,STP,N,C,Y,1.4,2.1,3.1,3.3
152,25,256,STP,N,C,Y,0.6,1.5,1.3,1.4
153,26,261,REM,N,C,Y,2.5,2.9,3,3.1
154,26,262,REM,N,C,Y,2,3,3,3.4
155,26,263,REM,N,C,Y,3,4,4.3,4.3
156,26,264,REM,N,C,Y,1.6,2.5,2.4,2.9
157,26,265,REM,N,C,Y,2.4,2.6,3.1,3.2
158,26,266,REM,N,C,Y,2.6,2.8,3.5,3.8
159,27,271,STP,N,L,Y,1.7,2,2.3,2.9
160,27,272,STP,N,L,Y,2,2,3.4,4.1
161,27,273,STP,N,L,Y,2,2,2.3,3.2
162,27,274,STP,N,L,Y,1.6,1.5,2.4,2.9
163,27,275,STP,N,L,N,NA,NA,NA,NA
164,27,276,STP,N,L,N,NA,NA,NA,NA
165,28,281,CULT,N,L,N,0.6,0.6,NA,NA
166,28,282,CULT,N,L,N,NA,NA,NA,NA
167,28,283,CULT,N,L,N,NA,NA,NA,NA
168,28,284,CULT,N,L,N,NA,NA,NA,NA
169,28,285,CULT,N,L,N,NA,NA,NA,NA
170,28,286,CULT,N,L,N,NA,NA,NA,NA
171,29,291,REM,N,L,Y,2.1,2.5,3.3,3.4
172,29,292,REM,N,L,Y,2.1,2.3,2.9,3.4
173,29,293,REM,N,L,Y,1.1,1.6,2.3,2.9
174,29,294,REM,N,L,Y,1.5,1.5,2.3,2.6
175,29,295,REM,N,L,Y,0.9,0.9,0.8,0.8
176,29,296,REM,N,L,N,NA,NA,NA,NA
177,30,301,STP,Y,C,Y,1.8,2.2,2.4,2.5
178,30,302,STP,Y,C,Y,1.9,2.9,3.6,4.1
179,30,303,STP,Y,C,Y,0.1,0.9,2.5,3.1
180,30,304,STP,Y,C,Y,2.8,3.2,5.6,6.8
181,30,305,STP,Y,C,Y,2.5,2.9,4.8,6
182,30,306,STP,Y,C,Y,1.8,3.2,3.8,5.4
183,31,311,CULT,Y,C,Y,2.1,3,3.3,4.8
184,31,312,CULT,Y,C,N,NA,NA,NA,NA
185,31,313,CULT,Y,C,N,NA,NA,NA,NA
186,31,314,CULT,Y,C,N,NA,NA,NA,NA
187,31,315,CULT,Y,C,N,NA,NA,NA,NA
188,31,316,CULT,Y,C,N,NA,NA,NA,NA
189,32,321,CULT,N,L,Y,1.4,2,2.4,2.4
190,32,322,CULT,N,L,Y,2.2,2.2,2.6,2.6
191,32,323,CULT,N,L,Y,1.9,2.3,3.1,3.3
192,32,324,CULT,N,L,N,NA,NA,NA,NA
193,32,325,CULT,N,L,N,NA,NA,NA,NA
194,32,326,CULT,N,L,N,NA,NA,NA,NA
195,33,331,CULT,Y,C,Y,2.8,3.5,3.6,5.1
196,33,332,CULT,Y,C,Y,1.5,3.9,5.1,5.2
197,33,333,CULT,Y,C,Y,0.3,1.4,3.1,3.3
198,33,334,CULT,Y,C,Y,2.2,3.3,3.3,4.1
199,33,335,CULT,Y,C,Y,2.5,3,3.6,4.5
200,33,336,CULT,Y,C,Y,NA,NA,NA,1.7
201,34,341,CULT,N,C,Y,1.2,1.8,1.8,1.8
202,34,342,CULT,N,C,Y,1.3,2,2.3,2.3
203,34,343,CULT,N,C,Y,0.8,1.8,1.9,2.2
204,34,344,CULT,N,C,Y,0.3,1.5,2.7,2.9
205,34,345,CULT,N,C,N,NA,NA,NA,NA
206,34,346,CULT,N,C,N,NA,NA,NA,NA
207,35,351,STP,N,L,Y,1.6,1.6,2.6,3
208,35,352,STP,N,L,Y,1.8,1.8,2.6,3.2
209,35,353,STP,N,L,Y,1.2,1.5,2,3.5
210,35,354,STP,N,L,Y,1.3,1.9,2.7,3.2
211,35,355,STP,N,L,Y,1.7,2.1,2.2,3.3
212,35,356,STP,N,L,Y,1.5,1.7,2.4,3.5
213,36,361,CULT,Y,L,Y,2.5,2.5,3.9,4.7
214,36,362,CULT,Y,L,Y,2.4,2.5,3.2,3.8
215,36,363,CULT,Y,L,Y,2.4,2.5,2.9,4.3
216,36,364,CULT,Y,L,Y,2.7,2.9,3.8,4.7
217,36,365,CULT,Y,L,N,NA,NA,NA,NA
218,36,366,CULT,Y,L,N,NA,NA,NA,NA
219,37,371,STP,N,L,Y,1.9,1.9,2.3,2.8
220,37,372,STP,N,L,Y,0.4,1.1,2.5,3.1
221,37,373,STP,N,L,Y,0.2,0.2,0.4,NA
222,37,374,STP,N,L,Y,1.5,1.7,2.2,3.1
223,37,375,STP,N,L,Y,1.5,1.5,2.6,3.1
224,37,376,STP,N,L,Y,1.7,1.7,2.9,3.1
225,38,381,REM,N,L,Y,2.1,2.3,3.2,3.3
226,38,382,REM,N,L,N,NA,NA,NA,NA
227,38,383,REM,N,L,N,NA,NA,NA,NA
228,38,384,REM,N,L,N,NA,NA,NA,NA
229,38,385,REM,N,L,N,NA,NA,NA,NA
230,38,386,REM,N,L,N,NA,NA,NA,NA
231,39,391,REM,Y,L,N,NA,NA,NA,NA
232,39,392,REM,Y,L,N,NA,NA,NA,NA
233,39,393,REM,Y,L,N,NA,NA,NA,NA
234,39,394,REM,Y,L,N,NA,NA,NA,NA
235,39,395,REM,Y,L,N,NA,NA,NA,NA
236,39,396,REM,Y,L,N,NA,NA,NA,NA
237,40,401,STP,Y,C,Y,2.4,2.9,4,5.9
238,40,402,STP,Y,C,Y,0.8,2.2,3.6,3.5
239,40,403,STP,Y,C,Y,0.7,2.3,3.4,4.4
240,40,404,STP,Y,C,Y,0.5,2.9,3.4,4.4
241,40,405,STP,Y,C,Y,0.8,2.6,3.5,4.5
242,40,406,STP,Y,C,Y,1.5,3.4,3.9,4.3
243,41,411,STP,Y,L,Y,1.8,2.5,3.6,4.1
244,41,412,STP,Y,L,Y,2,2.5,3.4,4.1
245,41,413,STP,Y,L,Y,0.1,0.5,2.6,3.6
246,41,414,STP,Y,L,Y,1,1.4,3.6,4.5
247,41,415,STP,Y,L,N,NA,NA,NA,NA
248,41,416,STP,Y,L,N,NA,NA,NA,NA
249,42,421,CULT,Y,C,Y,1.3,2.6,3.4,4.5
250,42,422,CULT,Y,C,Y,2.4,2.4,2.9,5.6
251,42,423,CULT,Y,C,Y,1.5,2.6,4.2,3.5
252,42,424,CULT,Y,C,Y,NA,0.7,1.6,2.1
253,42,425,CULT,Y,C,N,NA,NA,NA,NA
254,42,426,CULT,Y,C,N,NA,NA,NA,NA
255,43,431,REM,Y,C,Y,0.4,0.4,0.3,0.4
256,43,432,REM,Y,C,N,NA,NA,NA,NA
257,43,433,REM,Y,C,N,NA,NA,NA,NA
258,43,434,REM,Y,C,N,NA,NA,NA,NA
259,43,435,REM,Y,C,N,NA,NA,NA,NA
260,43,436,REM,Y,C,N,NA,NA,NA,NA
261,44,441,STP,Y,C,Y,3.4,4,5.2,6.9
262,44,442,STP,Y,C,Y,1.6,3,3.3,3.4
263,44,443,STP,Y,C,Y,2.1,4.2,4.3,4.9
264,44,444,STP,Y,C,Y,1.3,4.3,4.7,4.7
265,44,445,STP,Y,C,Y,1.7,3.2,3.7,3.8
266,44,446,STP,Y,C,Y,2.2,3.3,3.2,4
267,45,451,REM,Y,C,Y,0.4,2.3,3.3,3.8
268,45,452,REM,Y,C,Y,0.2,0.2,0.2,1.3
269,45,453,REM,Y,C,Y,0.8,1.2,1.5,1.5
270,45,454,REM,Y,C,N,NA,NA,NA,NA
271,45,455,REM,Y,C,N,NA,NA,NA,NA
272,45,456,REM,Y,C,N,NA,NA,NA,NA
273,46,461,CULT,N,L,N,NA,NA,NA,NA
274,46,462,CULT,N,L,N,NA,NA,NA,NA
275,46,463,CULT,N,L,N,NA,NA,NA,NA
276,46,464,CULT,N,L,N,NA,NA,NA,NA
277,46,465,CULT,N,L,N,NA,NA,NA,NA
278,46,466,CULT,N,L,N,NA,NA,NA,NA
279,47,471,STP,Y,L,Y,2.3,2.3,3.4,4.1
280,47,472,STP,Y,L,Y,2.4,3.1,4.6,5.1
281,47,473,STP,Y,L,Y,2,2.9,3.6,4
282,47,474,STP,Y,L,Y,0.8,1.6,2.8,3.4
283,47,475,STP,Y,L,Y,1.3,2.1,3.6,4
284,47,476,STP,Y,L,Y,0.2,NA,NA,NA
285,48,481,REM,N,C,Y,1.7,2.1,2.3,2.4
286,48,482,REM,N,C,Y,0.9,0.9,NA,NA
287,48,483,REM,N,C,Y,2.3,3,3,3
288,48,484,REM,N,C,Y,1.3,1.7,2,2
289,48,485,REM,N,C,Y,1.7,1.7,NA,NA
290,48,486,REM,N,C,Y,2.8,3.9,4.5,NA
291,49,491,STP,N,L,Y,3.3,2.2,2.8,3.5
292,49,492,STP,N,L,Y,2.1,2.5,3,3.3
293,49,493,STP,N,L,Y,1.7,1.7,2.3,2.2
294,49,494,STP,N,L,Y,2.4,2.4,3.2,3.7
295,49,495,STP,N,L,N,NA,NA,NA,NA
296,49,496,STP,N,L,N,NA,NA,NA,NA
297,50,501,STP,N,L,Y,1.5,2.1,2.3,2.7
298,50,502,STP,N,L,Y,1.4,2,1.9,2.5
299,50,503,STP,N,L,Y,0.2,0.2,0.5,NA
300,50,504,STP,N,L,Y,1.6,2.2,2.9,2.9
301,50,505,STP,N,L,Y,2,2.4,3.3,3.8
302,50,506,STP,N,L,Y,2.3,2.4,2.7,4.1
303,51,511,CULT,Y,L,Y,0.7,1.2,1.8,1.6
304,51,512,CULT,Y,L,Y,1.9,2.5,3.4,3.9
305,51,513,CULT,Y,L,Y,0.6,0.6,0.6,1.7
306,51,514,CULT,Y,L,N,NA,NA,NA,NA
307,51,515,CULT,Y,L,N,NA,NA,NA,NA
308,51,516,CULT,Y,L,N,NA,NA,NA,NA
309,52,521,STP,N,L,Y,1.9,2,2.7,2.7
310,52,522,STP,N,L,Y,2.3,2.3,3.4,3.4
311,52,523,STP,N,L,Y,2,2.2,3.3,4.7
312,52,524,STP,N,L,Y,0.8,1,1,1
313,52,525,STP,N,L,N,NA,NA,NA,NA
314,52,526,STP,N,L,N,NA,NA,NA,NA
315,53,531,CULT,N,L,N,NA,NA,NA,NA
316,53,532,CULT,N,L,N,NA,NA,NA,NA
317,53,533,CULT,N,L,N,NA,NA,NA,NA
318,53,534,CULT,N,L,N,NA,NA,NA,NA
319,53,535,CULT,N,L,N,NA,NA,NA,NA
320,53,536,CULT,N,L,N,NA,NA,NA,NA
321,54,541,REM,N,C,Y,1.5,2.9,3.2,2.4
322,54,542,REM,N,C,Y,2.7,3.5,3.8,3.9
323,54,543,REM,N,C,Y,2.1,2.8,3,3.1
324,54,544,REM,N,C,Y,0.1,0.1,NA,NA
325,54,545,REM,N,C,Y,2.6,3.8,3.5,3.5
326,54,546,REM,N,C,Y,1.5,2.5,1.8,2
327,54,547,REM,N,C,Y,1.7,1.7,0.6,0.4
328,55,551,CULT,N,C,Y,0.7,2,2.1,2.1
329,55,552,CULT,N,C,Y,1.9,2,2.2,2.3
330,55,553,CULT,N,C,Y,0.6,2.9,2.8,3
331,55,554,CULT,N,C,Y,NA,1.7,2.1,2.2
332,55,555,CULT,N,C,N,NA,NA,NA,NA
333,55,556,CULT,N,C,N,NA,NA,NA,NA
334,56,561,REM,N,C,Y,2,2.7,2.8,3
335,56,562,REM,N,C,Y,2.8,3.5,3.9,3.8
336,56,563,REM,N,C,Y,1.9,3.2,3.2,3.3
337,56,564,REM,N,C,Y,2.8,3.9,3.9,4
338,56,565,REM,N,C,Y,2.5,3.3,3.3,3.3
339,56,566,REM,N,C,N,NA,NA,NA,NA
340,57,571,CULT,N,L,N,NA,NA,NA,NA
341,57,572,CULT,N,L,N,NA,NA,NA,NA
342,57,573,CULT,N,L,N,NA,NA,NA,NA
343,57,574,CULT,N,L,N,NA,NA,NA,NA
344,57,575,CULT,N,L,N,NA,NA,NA,NA
345,57,576,CULT,N,L,N,NA,NA,NA,NA
346,58,581,CULT,Y,L,Y,2.1,2.1,3.5,3.8
347,58,582,CULT,Y,L,Y,2,2,3.7,4.1
348,58,583,CULT,Y,L,N,NA,NA,NA,NA
349,58,584,CULT,Y,L,N,NA,NA,NA,NA
350,58,585,CULT,Y,L,N,NA,NA,NA,NA
351,58,586,CULT,Y,L,N,NA,NA,NA,NA
352,59,591,STP,N,C,Y,0.4,1,1.3,1.2
353,59,592,STP,N,C,Y,1.1,2.3,2.7,2.8
354,59,593,STP,N,C,Y,1,1,NA,NA
355,59,594,STP,N,C,Y,NA,0.8,1.1,0.9
356,59,595,STP,N,C,Y,NA,NA,0.3,0.2
357,59,596,STP,N,C,N,NA,NA,NA,NA
358,60,601,CULT,N,C,Y,0.2,0.5,0.8,1.3
359,60,602,CULT,N,C,Y,0.9,1.6,1.8,1.9
360,60,603,CULT,N,C,N,NA,NA,NA,NA
361,60,604,CULT,N,C,N,NA,NA,NA,NA
362,60,605,CULT,N,C,N,NA,NA,NA,NA
363,60,606,CULT,N,C,N,NA,NA,NA,NA
364,61,611,REM,Y,L,Y,2.5,2.6,4.2,4.2
365,61,612,REM,Y,L,Y,2,2.5,3.2,4
366,61,613,REM,Y,L,N,NA,NA,NA,NA
367,61,614,REM,Y,L,N,NA,NA,NA,NA
368,61,615,REM,Y,L,N,NA,NA,NA,NA
369,61,616,REM,Y,L,N,NA,NA,NA,NA
370,62,621,CULT,N,L,Y,1.3,2,2.8,2.9
371,62,622,CULT,N,L,Y,1.7,1.7,2.6,2.6
372,62,623,CULT,N,L,N,NA,NA,NA,NA
373,62,624,CULT,N,L,N,NA,NA,NA,NA
374,62,625,CULT,N,L,N,NA,NA,NA,NA
375,62,626,CULT,N,L,N,NA,NA,NA,NA
376,63,631,REM,Y,C,Y,3.3,3.8,4,4.2
377,63,632,REM,Y,C,Y,0.6,0.6,0.6,0.5
378,63,633,REM,Y,C,Y,1,1.2,1.3,1.3
379,63,634,REM,Y,C,Y,NA,NA,0.3,0.3
380,63,635,REM,Y,C,N,NA,NA,NA,NA
381,63,636,REM,Y,C,N,NA,NA,NA,NA
382,64,641,STP,N,C,Y,0.5,NA,NA,NA
383,64,642,STP,N,C,Y,0.3,NA,NA,NA
384,64,643,STP,N,C,Y,0.9,NA,NA,NA
385,64,644,STP,N,C,Y,0.5,NA,NA,NA
386,64,645,STP,N,C,Y,1.4,NA,NA,NA
387,64,646,STP,N,C,Y,1.5,2,2.1,2
388,64,647,STP,N,C,Y,1.3,2.7,2.8,3
389,64,648,STP,N,C,Y,NA,NA,1.3,1.8
390,65,651,REM,N,C,Y,1.8,2.7,2.8,3.1
391,65,652,REM,N,C,Y,2.7,3.4,3.4,3.7
392,65,653,REM,N,C,Y,0.6,0.7,1.2,1.6
393,65,654,REM,N,C,Y,2.6,NA,NA,NA
394,65,655,REM,N,C,Y,2.1,2.7,NA,NA
395,65,656,REM,N,C,N,NA,NA,NA,NA
396,66,661,CULT,Y,C,N,NA,NA,NA,NA
397,66,662,CULT,Y,C,N,NA,NA,NA,NA
398,66,663,CULT,Y,C,N,NA,NA,NA,NA
399,66,664,CULT,Y,C,N,NA,NA,NA,NA
400,66,665,CULT,Y,C,N,NA,NA,NA,NA
401,66,666,CULT,Y,C,N,NA,NA,NA,NA
402,67,671,REM,Y,L,Y,1.5,NA,NA,NA
403,67,672,REM,Y,L,Y,0.7,NA,NA,NA
404,67,673,REM,Y,L,N,NA,NA,NA,NA
405,67,674,REM,Y,L,N,NA,NA,NA,NA
406,67,675,REM,Y,L,N,NA,NA,NA,NA
407,67,676,REM,Y,L,N,NA,NA,NA,NA
408,68,681,REM,N,L,Y,1.5,2,2.5,2.7
409,68,682,REM,N,L,Y,1.4,1.9,2.5,2.6
410,68,683,REM,N,L,Y,2.2,2.2,3.1,3
411,68,684,REM,N,L,N,NA,NA,NA,NA
412,68,685,REM,N,L,N,NA,NA,NA,NA
413,68,686,REM,N,L,N,NA,NA,NA,NA
414,69,691,STP,N,C,Y,0.2,0.5,0.7,0.9
415,69,692,STP,N,C,Y,0.1,0.2,0.3,0.3
416,69,693,STP,N,C,Y,0.4,1,1.5,1.6
417,69,694,STP,N,C,Y,0.4,1,1.5,2.3
418,69,695,STP,N,C,Y,0.4,0.5,0.6,0.6
419,69,696,STP,N,C,Y,1,2.5,3.3,3.6
420,70,701,CULT,Y,L,Y,1.5,2.5,3.7,4.2
421,70,702,CULT,Y,L,Y,2.6,3,3.6,3.9
422,70,703,CULT,Y,L,Y,0.4,0.8,0.4,0.8
423,70,704,CULT,Y,L,Y,2,2.7,3.2,3.3
424,70,705,CULT,Y,L,N,NA,NA,NA,NA
425,70,706,CULT,Y,L,N,NA,NA,NA,NA
426,71,711,CULT,N,C,Y,0.4,1.5,1.8,2.1
427,71,712,CULT,N,C,Y,1.2,2,2.1,2.1
428,71,713,CULT,N,C,Y,1,2.1,2.5,2.8
429,71,714,CULT,N,C,Y,NA,0.4,0.6,2.2
430,71,715,CULT,N,C,N,NA,NA,NA,NA
431,71,716,CULT,N,C,N,NA,NA,NA,NA
432,72,721,REM,N,L,Y,1.3,2,2.9,3
433,72,722,REM,N,L,Y,1.9,2.1,2.4,3
434,72,723,REM,N,L,Y,1.9,2.3,2.9,2.9
435,72,724,REM,N,L,N,NA,NA,NA,NA
436,72,725,REM,N,L,N,NA,NA,NA,NA
437,72,726,REM,N,L,N,NA,NA,NA,NA
