"","location","age","total","numLT5","roof"
"122","Visayas",55,6,0,"Predominantly Strong Material"
"123","IlocosRegion",78,6,2,"Predominantly Strong Material"
"124","CentralLuzon",65,2,0,"Predominantly Strong Material"
"125","Visayas",35,4,1,"Predominantly Strong Material"
"126","CentralLuzon",71,0,0,"Predominantly Strong Material"
"127","CentralLuzon",30,4,1,"Predominantly Strong Material"
"128","Visayas",34,3,0,"Predominantly Strong Material"
"129","Visayas",49,6,0,"Predominantly Strong Material"
"130","CentralLuzon",81,5,2,"Predominantly Strong Material"
"131","Visayas",47,11,1,"Predominantly Strong Material"
"132","Visayas",58,3,0,"Predominantly Strong Material"
"133","IlocosRegion",19,2,1,"Predominantly Strong Material"
"134","DavaoRegion",61,3,0,"Predominantly Strong Material"
"135","Visayas",31,3,1,"Predominantly Strong Material"
"136","Visayas",34,6,1,"Predominantly Strong Material"
"137","DavaoRegion",50,2,0,"Predominantly Strong Material"
"138","MetroManila",36,4,0,"Predominantly Light/Salvaged Material"
"139","IlocosRegion",40,5,0,"Predominantly Strong Material"
"140","Visayas",36,4,0,"Predominantly Strong Material"
"141","Visayas",56,2,0,"Predominantly Strong Material"
"142","DavaoRegion",65,10,1,"Predominantly Strong Material"
"143","IlocosRegion",73,2,0,"Predominantly Strong Material"
"144","Visayas",24,2,1,"Predominantly Strong Material"
"145","MetroManila",30,1,0,"Predominantly Strong Material"
"146","Visayas",57,7,0,"Predominantly Strong Material"
"147","DavaoRegion",44,4,0,"Predominantly Strong Material"
"148","CentralLuzon",47,5,0,"Predominantly Strong Material"
"149","Visayas",83,0,0,"Predominantly Strong Material"
"150","MetroManila",49,4,1,"Predominantly Strong Material"
"151","DavaoRegion",42,1,0,"Predominantly Strong Material"
"152","Visayas",64,3,0,"Predominantly Strong Material"
"153","Visayas",24,2,0,"Predominantly Strong Material"
"154","Visayas",59,2,0,"Predominantly Strong Material"
"155","MetroManila",68,1,0,"Predominantly Strong Material"
"156","CentralLuzon",93,0,0,"Predominantly Strong Material"
"157","CentralLuzon",38,3,1,"Predominantly Strong Material"
"158","MetroManila",66,2,0,"Predominantly Strong Material"
"159","MetroManila",43,4,1,"Predominantly Strong Material"
"160","Visayas",58,3,0,"Predominantly Light/Salvaged Material"
"161","DavaoRegion",33,4,1,"Predominantly Strong Material"
"162","MetroManila",78,3,0,"Predominantly Strong Material"
"163","MetroManila",42,0,0,"Predominantly Strong Material"
"164","MetroManila",47,6,0,"Predominantly Strong Material"
"165","Visayas",74,3,0,"Predominantly Strong Material"
"166","IlocosRegion",29,4,1,"Predominantly Light/Salvaged Material"
"167","MetroManila",41,4,0,"Predominantly Strong Material"
"168","DavaoRegion",79,3,1,"Predominantly Strong Material"
"169","CentralLuzon",87,1,0,"Predominantly Strong Material"
"170","MetroManila",51,4,0,"Predominantly Strong Material"
"171","CentralLuzon",73,4,1,"Predominantly Strong Material"
"172","MetroManila",48,7,1,"Predominantly Strong Material"
"173","MetroManila",67,5,1,"Predominantly Strong Material"
"174","Visayas",73,1,0,"Predominantly Strong Material"
"175","IlocosRegion",32,3,1,"Predominantly Strong Material"
"176","IlocosRegion",84,2,0,"Predominantly Strong Material"
"177","Visayas",78,5,0,"Predominantly Strong Material"
"178","IlocosRegion",44,2,0,"Predominantly Strong Material"
"179","DavaoRegion",76,4,0,"Predominantly Strong Material"
"180","CentralLuzon",56,1,0,"Predominantly Strong Material"
"181","CentralLuzon",58,2,0,"Predominantly Strong Material"
"182","Visayas",50,7,0,"Predominantly Strong Material"
"183","CentralLuzon",77,7,1,"Predominantly Light/Salvaged Material"
"184","DavaoRegion",65,4,0,"Predominantly Strong Material"
"185","MetroManila",47,6,1,"Predominantly Strong Material"
"186","CentralLuzon",50,1,0,"Predominantly Strong Material"
"187","MetroManila",36,3,2,"Predominantly Strong Material"
"188","Visayas",58,5,1,"Predominantly Strong Material"
"189","Visayas",58,5,0,"Predominantly Strong Material"
"190","Visayas",29,3,1,"Predominantly Strong Material"
"191","Visayas",68,8,2,"Predominantly Strong Material"
"192","CentralLuzon",27,3,2,"Predominantly Strong Material"
"193","MetroManila",44,5,0,"Predominantly Strong Material"
"194","DavaoRegion",70,1,0,"Predominantly Light/Salvaged Material"
"195","DavaoRegion",60,5,0,"Predominantly Strong Material"
"196","Visayas",39,3,0,"Predominantly Strong Material"
"197","DavaoRegion",50,4,0,"Predominantly Strong Material"
"198","Visayas",35,4,1,"Predominantly Strong Material"
"199","Visayas",88,7,0,"Predominantly Strong Material"
"200","Visayas",54,5,0,"Predominantly Strong Material"
"201","Visayas",58,3,0,"Predominantly Strong Material"
"202","DavaoRegion",57,8,2,"Predominantly Strong Material"
"203","Visayas",26,5,3,"Predominantly Light/Salvaged Material"
"204","Visayas",56,3,0,"Predominantly Strong Material"
"205","DavaoRegion",44,3,0,"Predominantly Strong Material"
"206","Visayas",64,6,2,"Predominantly Strong Material"
"207","Visayas",55,5,0,"Predominantly Strong Material"
"208","DavaoRegion",59,3,0,"Predominantly Strong Material"
"209","Visayas",23,2,1,"Predominantly Strong Material"
"210","DavaoRegion",54,5,0,"Predominantly Strong Material"
"211","IlocosRegion",41,6,0,"Predominantly Strong Material"
"212","Visayas",54,2,0,"Predominantly Light/Salvaged Material"
"213","Visayas",50,4,0,"Predominantly Strong Material"
"214","DavaoRegion",50,4,0,"Predominantly Light/Salvaged Material"
"215","IlocosRegion",49,6,0,"Predominantly Light/Salvaged Material"
"216","Visayas",43,5,0,"Predominantly Strong Material"
"217","Visayas",25,5,3,"Predominantly Light/Salvaged Material"
"218","MetroManila",55,5,1,"Predominantly Strong Material"
"219","Visayas",40,2,0,"Predominantly Strong Material"
"220","MetroManila",51,4,0,"Predominantly Strong Material"
"221","DavaoRegion",35,3,0,"Predominantly Light/Salvaged Material"
"222","MetroManila",60,3,0,"Predominantly Strong Material"
"223","DavaoRegion",39,5,0,"Predominantly Light/Salvaged Material"
"224","Visayas",33,4,1,"Predominantly Strong Material"
"225","Visayas",46,5,0,"Predominantly Strong Material"
"226","Visayas",37,2,1,"Predominantly Strong Material"
"227","MetroManila",36,6,0,"Predominantly Strong Material"
"228","Visayas",50,9,2,"Predominantly Strong Material"
"229","IlocosRegion",44,3,0,"Predominantly Strong Material"
"230","IlocosRegion",78,1,0,"Predominantly Strong Material"
"231","IlocosRegion",72,0,0,"Predominantly Strong Material"
"232","Visayas",38,2,0,"Predominantly Strong Material"
"233","Visayas",52,3,0,"Predominantly Strong Material"
"234","IlocosRegion",40,3,0,"Predominantly Strong Material"
"235","IlocosRegion",44,4,2,"Predominantly Strong Material"
"236","Visayas",55,2,0,"Predominantly Strong Material"
"237","Visayas",53,5,0,"Predominantly Strong Material"
"238","IlocosRegion",75,1,0,"Predominantly Light/Salvaged Material"
"239","CentralLuzon",20,2,0,"Predominantly Strong Material"
"240","DavaoRegion",74,0,0,"Predominantly Strong Material"
"241","Visayas",34,6,1,"Predominantly Strong Material"
"242","Visayas",33,4,0,"Predominantly Strong Material"
"243","Visayas",67,3,1,"Predominantly Light/Salvaged Material"
"244","MetroManila",49,3,0,"Predominantly Strong Material"
"245","IlocosRegion",35,4,1,"Predominantly Strong Material"
"246","Visayas",41,7,0,"Predominantly Light/Salvaged Material"
"247","IlocosRegion",38,0,0,"Predominantly Strong Material"
"248","MetroManila",56,0,0,"Predominantly Strong Material"
"249","DavaoRegion",63,6,1,"Predominantly Strong Material"
"250","IlocosRegion",80,0,0,"Predominantly Light/Salvaged Material"
"251","Visayas",80,1,0,"Predominantly Strong Material"
"252","MetroManila",75,0,0,"Predominantly Strong Material"
"253","Visayas",64,0,0,"Predominantly Strong Material"
"254","MetroManila",60,2,0,"Predominantly Strong Material"
"255","MetroManila",27,2,1,"Predominantly Strong Material"
"256","MetroManila",45,3,1,"Predominantly Light/Salvaged Material"
"257","IlocosRegion",39,5,3,"Predominantly Strong Material"
"258","MetroManila",36,1,0,"Predominantly Strong Material"
"259","Visayas",76,2,0,"Predominantly Strong Material"
"260","MetroManila",51,4,1,"Predominantly Strong Material"
"261","Visayas",48,5,0,"Predominantly Strong Material"
"262","Visayas",71,16,3,"Predominantly Strong Material"
"263","MetroManila",46,4,0,"Predominantly Strong Material"
"264","Visayas",32,2,1,"Predominantly Light/Salvaged Material"
"265","Visayas",73,2,0,"Predominantly Strong Material"
"266","IlocosRegion",66,2,0,"Predominantly Strong Material"
"267","IlocosRegion",33,5,0,"Predominantly Strong Material"
"268","Visayas",57,1,0,"Predominantly Strong Material"
"269","MetroManila",66,2,0,"Predominantly Strong Material"
"270","Visayas",80,2,0,"Predominantly Strong Material"
"271","Visayas",61,6,2,"Predominantly Light/Salvaged Material"
"272","CentralLuzon",67,2,0,"Predominantly Strong Material"
"273","MetroManila",58,6,2,"Predominantly Strong Material"
"274","Visayas",65,12,1,"Predominantly Strong Material"
"275","MetroManila",61,5,0,"Predominantly Strong Material"
"276","CentralLuzon",64,4,2,"Predominantly Strong Material"
"277","MetroManila",51,2,0,"Predominantly Strong Material"
"278","CentralLuzon",44,1,0,"Predominantly Strong Material"
"279","CentralLuzon",69,3,0,"Predominantly Strong Material"
"280","Visayas",45,1,0,"Predominantly Light/Salvaged Material"
"281","Visayas",72,1,0,"Predominantly Strong Material"
"282","CentralLuzon",62,3,0,"Predominantly Strong Material"
"283","IlocosRegion",34,5,0,"Predominantly Strong Material"
"284","MetroManila",30,2,1,"Predominantly Strong Material"
"285","CentralLuzon",42,4,0,"Predominantly Strong Material"
"286","Visayas",74,2,0,"Predominantly Strong Material"
"287","MetroManila",52,4,0,"Predominantly Strong Material"
"288","DavaoRegion",58,0,0,"Predominantly Strong Material"
"289","Visayas",41,4,0,"Predominantly Light/Salvaged Material"
"290","DavaoRegion",67,7,1,"Predominantly Strong Material"
"291","CentralLuzon",40,5,1,"Predominantly Strong Material"
"292","MetroManila",33,4,2,"Predominantly Strong Material"
"293","Visayas",46,3,0,"Predominantly Strong Material"
"294","MetroManila",44,1,0,"Predominantly Light/Salvaged Material"
"295","Visayas",43,3,1,"Predominantly Strong Material"
"296","Visayas",52,2,0,"Predominantly Strong Material"
"297","MetroManila",73,3,0,"Predominantly Strong Material"
"298","IlocosRegion",40,4,1,"Predominantly Light/Salvaged Material"
"299","Visayas",30,3,1,"Predominantly Light/Salvaged Material"
"300","Visayas",53,5,0,"Predominantly Strong Material"
"301","IlocosRegion",52,4,0,"Predominantly Strong Material"
"302","DavaoRegion",38,3,0,"Predominantly Strong Material"
"303","DavaoRegion",65,3,0,"Predominantly Light/Salvaged Material"
"304","Visayas",65,2,0,"Predominantly Strong Material"
"305","Visayas",51,4,0,"Predominantly Strong Material"
"306","MetroManila",74,2,0,"Predominantly Strong Material"
"307","MetroManila",42,5,0,"Predominantly Strong Material"
"308","Visayas",45,4,0,"Predominantly Light/Salvaged Material"
"309","Visayas",49,4,0,"Predominantly Strong Material"
"310","DavaoRegion",50,2,0,"Predominantly Strong Material"
"311","Visayas",77,0,0,"Predominantly Light/Salvaged Material"
"312","Visayas",44,7,0,"Predominantly Strong Material"
"313","Visayas",43,7,1,"Predominantly Strong Material"
"314","Visayas",28,4,0,"Predominantly Strong Material"
"315","IlocosRegion",60,5,0,"Predominantly Strong Material"
"316","DavaoRegion",39,1,0,"Predominantly Strong Material"
"317","Visayas",76,1,0,"Predominantly Strong Material"
"318","Visayas",52,2,0,"Predominantly Strong Material"
"319","CentralLuzon",31,1,0,"Predominantly Strong Material"
"320","MetroManila",61,10,0,"Predominantly Strong Material"
"321","CentralLuzon",48,8,0,"Predominantly Strong Material"
"322","Visayas",39,9,2,"Predominantly Strong Material"
"323","IlocosRegion",45,4,0,"Predominantly Strong Material"
"324","Visayas",50,2,0,"Predominantly Light/Salvaged Material"
"325","CentralLuzon",66,10,0,"Predominantly Strong Material"
"326","CentralLuzon",59,5,1,"Predominantly Strong Material"
"327","IlocosRegion",71,1,0,"Predominantly Light/Salvaged Material"
"328","Visayas",73,0,0,"Predominantly Strong Material"
"329","MetroManila",39,3,0,"Predominantly Strong Material"
"330","Visayas",46,6,0,"Predominantly Strong Material"
"331","MetroManila",69,3,0,"Predominantly Strong Material"
"332","Visayas",73,6,1,"Predominantly Strong Material"
"333","CentralLuzon",53,3,0,"Predominantly Strong Material"
"334","Visayas",58,7,2,"Predominantly Light/Salvaged Material"
"335","Visayas",67,9,2,"Predominantly Strong Material"
"336","MetroManila",47,3,0,"Predominantly Strong Material"
"337","DavaoRegion",48,4,0,"Predominantly Strong Material"
"338","Visayas",47,2,0,"Predominantly Light/Salvaged Material"
"339","Visayas",57,2,0,"Predominantly Strong Material"
"340","MetroManila",36,5,1,"Predominantly Strong Material"
"341","MetroManila",57,1,0,"Predominantly Strong Material"
"342","DavaoRegion",50,4,1,"Predominantly Strong Material"
"343","CentralLuzon",79,1,0,"Predominantly Strong Material"
"344","CentralLuzon",50,2,0,"Predominantly Strong Material"
"345","CentralLuzon",38,4,2,"Predominantly Strong Material"
"346","IlocosRegion",40,4,0,"Predominantly Strong Material"
"347","Visayas",43,6,1,"Predominantly Strong Material"
"348","IlocosRegion",44,4,0,"Predominantly Strong Material"
"349","Visayas",55,6,0,"Predominantly Light/Salvaged Material"
"350","MetroManila",42,4,0,"Predominantly Strong Material"
"351","MetroManila",32,2,0,"Predominantly Strong Material"
"352","DavaoRegion",75,7,2,"Predominantly Strong Material"
"353","Visayas",41,3,0,"Predominantly Light/Salvaged Material"
"354","Visayas",48,3,1,"Predominantly Strong Material"
"355","Visayas",46,3,1,"Predominantly Strong Material"
"356","Visayas",46,3,0,"Predominantly Strong Material"
"357","MetroManila",32,3,1,"Predominantly Strong Material"
"358","CentralLuzon",48,4,1,"Predominantly Strong Material"
"359","CentralLuzon",69,3,0,"Predominantly Strong Material"
"360","CentralLuzon",78,1,0,"Predominantly Strong Material"
"361","Visayas",76,1,0,"Predominantly Strong Material"
"362","MetroManila",65,10,2,"Predominantly Strong Material"
"363","MetroManila",67,4,0,"Predominantly Strong Material"
"364","MetroManila",66,1,0,"Predominantly Strong Material"
"365","Visayas",59,1,0,"Predominantly Strong Material"
"366","Visayas",36,4,0,"Predominantly Light/Salvaged Material"
"367","Visayas",35,4,2,"Predominantly Strong Material"
"368","Visayas",53,8,2,"Predominantly Strong Material"
"369","CentralLuzon",53,6,1,"Predominantly Strong Material"
"370","Visayas",65,6,0,"Predominantly Strong Material"
"371","Visayas",35,5,1,"Predominantly Light/Salvaged Material"
"372","Visayas",61,2,0,"Predominantly Strong Material"
"373","Visayas",44,5,1,"Predominantly Strong Material"
"374","MetroManila",75,6,0,"Predominantly Strong Material"
"375","Visayas",66,2,0,"Predominantly Strong Material"
"376","Visayas",62,2,0,"Predominantly Strong Material"
"377","Visayas",30,2,0,"Predominantly Strong Material"
"378","IlocosRegion",53,4,0,"Predominantly Strong Material"
"379","Visayas",49,7,2,"Predominantly Strong Material"
"380","IlocosRegion",64,2,0,"Predominantly Light/Salvaged Material"
"381","MetroManila",34,4,1,"Predominantly Strong Material"
"382","Visayas",61,1,0,"Predominantly Strong Material"
"383","MetroManila",60,2,0,"Predominantly Strong Material"
"384","CentralLuzon",61,3,0,"Predominantly Strong Material"
"385","MetroManila",62,5,0,"Predominantly Strong Material"
"386","Visayas",44,2,1,"Predominantly Strong Material"
"387","CentralLuzon",84,0,0,"Predominantly Strong Material"
"388","CentralLuzon",59,2,0,"Predominantly Light/Salvaged Material"
"389","DavaoRegion",64,1,0,"Predominantly Strong Material"
"390","Visayas",36,4,1,"Predominantly Strong Material"
"391","Visayas",39,9,3,"Predominantly Strong Material"
"392","DavaoRegion",94,2,0,"Predominantly Strong Material"
"393","CentralLuzon",50,2,0,"Predominantly Strong Material"
"394","CentralLuzon",63,3,2,"Predominantly Strong Material"
"395","IlocosRegion",39,0,0,"Predominantly Strong Material"
"396","Visayas",51,5,2,"Predominantly Strong Material"
"397","DavaoRegion",64,4,0,"Predominantly Strong Material"
"398","Visayas",49,6,1,"Predominantly Light/Salvaged Material"
"399","IlocosRegion",48,3,0,"Predominantly Strong Material"
"400","MetroManila",59,0,0,"Predominantly Strong Material"
"401","MetroManila",59,3,0,"Predominantly Strong Material"
"402","CentralLuzon",84,1,0,"Predominantly Strong Material"
"403","DavaoRegion",20,1,0,"Predominantly Strong Material"
"404","Visayas",47,6,2,"Predominantly Light/Salvaged Material"
"405","Visayas",26,2,0,"Predominantly Strong Material"
"406","CentralLuzon",41,1,0,"Predominantly Strong Material"
"407","Visayas",54,5,0,"Predominantly Strong Material"
"408","Visayas",55,7,2,"Predominantly Strong Material"
"409","Visayas",61,5,1,"Predominantly Strong Material"
"410","MetroManila",38,2,0,"Predominantly Strong Material"
"411","DavaoRegion",40,3,0,"Predominantly Strong Material"
"412","Visayas",37,9,2,"Predominantly Light/Salvaged Material"
"413","IlocosRegion",33,4,0,"Predominantly Strong Material"
"414","MetroManila",50,6,0,"Predominantly Strong Material"
"415","MetroManila",48,3,1,"Predominantly Strong Material"
"416","Visayas",52,0,0,"Predominantly Strong Material"
"417","Visayas",77,1,0,"Predominantly Strong Material"
"418","Visayas",61,4,1,"Predominantly Strong Material"
"419","CentralLuzon",52,5,0,"Predominantly Strong Material"
"420","Visayas",72,4,0,"Predominantly Strong Material"
"421","IlocosRegion",82,4,0,"Predominantly Strong Material"
"422","Visayas",71,3,0,"Predominantly Strong Material"
"423","IlocosRegion",43,3,0,"Predominantly Strong Material"
"424","Visayas",59,1,0,"Predominantly Strong Material"
"425","Visayas",70,9,0,"Predominantly Light/Salvaged Material"
"426","Visayas",23,0,0,"Predominantly Strong Material"
"427","MetroManila",54,5,0,"Predominantly Strong Material"
"428","DavaoRegion",34,2,1,"Predominantly Strong Material"
"429","Visayas",68,0,0,"Predominantly Strong Material"
"430","Visayas",50,4,0,"Predominantly Light/Salvaged Material"
"431","Visayas",47,6,0,"Predominantly Light/Salvaged Material"
"432","Visayas",48,12,3,"Predominantly Strong Material"
"433","Visayas",47,3,0,"Predominantly Strong Material"
"434","CentralLuzon",45,5,0,"Predominantly Strong Material"
"435","IlocosRegion",73,2,0,"Predominantly Strong Material"
"436","MetroManila",55,2,0,"Predominantly Strong Material"
"437","CentralLuzon",40,3,0,"Predominantly Strong Material"
"438","Visayas",79,1,0,"Predominantly Strong Material"
"439","Visayas",68,2,0,"Predominantly Strong Material"
"440","Visayas",55,5,1,"Predominantly Strong Material"
"441","IlocosRegion",53,6,0,"Predominantly Strong Material"
"442","CentralLuzon",32,3,0,"Predominantly Strong Material"
"443","MetroManila",43,3,0,"Predominantly Strong Material"
"444","DavaoRegion",36,2,1,"Predominantly Strong Material"
"445","DavaoRegion",35,3,0,"Predominantly Strong Material"
"446","CentralLuzon",41,5,1,"Predominantly Light/Salvaged Material"
"447","MetroManila",42,2,0,"Predominantly Strong Material"
"448","Visayas",65,3,0,"Predominantly Strong Material"
"449","CentralLuzon",65,4,0,"Predominantly Strong Material"
"450","MetroManila",45,5,0,"Predominantly Strong Material"
"451","IlocosRegion",45,2,0,"Predominantly Strong Material"
"452","Visayas",69,1,0,"Predominantly Strong Material"
"453","Visayas",35,6,2,"Predominantly Strong Material"
"454","MetroManila",27,2,1,"Predominantly Strong Material"
"455","MetroManila",62,1,0,"Predominantly Strong Material"
"456","MetroManila",60,5,2,"Predominantly Strong Material"
"457","Visayas",42,2,0,"Predominantly Strong Material"
"458","DavaoRegion",46,9,3,"Predominantly Strong Material"
"459","Visayas",40,4,1,"Predominantly Strong Material"
"460","DavaoRegion",54,5,0,"Predominantly Strong Material"
"461","Visayas",37,5,0,"Predominantly Strong Material"
"462","Visayas",46,4,0,"Predominantly Strong Material"
"463","IlocosRegion",37,1,0,"Predominantly Strong Material"
"464","Visayas",37,4,0,"Predominantly Strong Material"
"465","IlocosRegion",57,6,2,"Predominantly Strong Material"
"466","MetroManila",63,5,0,"Predominantly Strong Material"
"467","Visayas",64,6,1,"Predominantly Strong Material"
"468","Visayas",61,2,0,"Predominantly Strong Material"
"469","Visayas",47,3,1,"Predominantly Strong Material"
"470","MetroManila",49,4,2,"Predominantly Strong Material"
"471","DavaoRegion",54,4,0,"Predominantly Strong Material"
"472","MetroManila",50,3,0,"Predominantly Strong Material"
"473","MetroManila",56,3,0,"Predominantly Strong Material"
"474","DavaoRegion",51,4,0,"Predominantly Strong Material"
"475","Visayas",42,2,0,"Predominantly Strong Material"
"476","CentralLuzon",52,3,0,"Predominantly Strong Material"
"477","Visayas",58,1,0,"Predominantly Strong Material"
"478","Visayas",46,1,0,"Predominantly Strong Material"
"479","MetroManila",38,3,0,"Predominantly Strong Material"
"480","CentralLuzon",64,6,0,"Predominantly Strong Material"
"481","Visayas",40,8,1,"Predominantly Strong Material"
"482","IlocosRegion",35,2,1,"Predominantly Strong Material"
