id,days,last_scraped,host_since,room_type,bathrooms,bedrooms,price,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_value,instant_bookable
21530,2601,4/2/2017,2/17/2010,Entire home/apt,1,1,175,123,7,10,8,t
21644,2600,4/2/2017,2/18/2010,Private room,1,1,89,0,NA,NA,NA,f
21794,2598,4/2/2017,2/20/2010,Private room,1,1,125,22,10,10,10,f
22250,2593,4/2/2017,2/25/2010,Entire home/apt,1,1,200,0,NA,NA,NA,f
22911,2587,4/2/2017,3/3/2010,Entire home/apt,1,1,125,134,9,8,9,t
23135,2929,4/2/2017,3/26/2009,Entire home/apt,1,2,175,168,10,9,9,f
23265,2713,4/2/2017,10/28/2009,Entire home/apt,1,1,185,135,8,9,8,f
23269,2713,4/2/2017,10/28/2009,Entire home/apt,1,1,185,44,8,9,7,f
23481,2578,4/2/2017,3/12/2010,Entire home/apt,1,1,140,79,9,9,9,f
23501,2665,4/2/2017,12/15/2009,Private room,NA,1,65,68,10,9,10,f
23545,2577,4/2/2017,3/13/2010,Entire home/apt,2,2,240,168,10,9,9,f
23686,2575,4/2/2017,3/15/2010,Entire home/apt,2,3,499,23,9,10,9,f
24143,2568,4/2/2017,3/22/2010,Private room,2,1,91,246,9,9,9,t
24189,1706,4/2/2017,7/31/2012,Private room,1,1,95,37,8,8,8,t
24261,2567,4/2/2017,3/23/2010,Entire home/apt,1,2,150,23,10,10,10,f
24266,2567,4/2/2017,3/23/2010,Private room,1,1,100,33,10,10,10,f
24269,2567,4/2/2017,3/23/2010,Entire home/apt,2,3,200,43,10,9,10,f
24281,2567,4/2/2017,3/23/2010,Private room,1,1,100,52,10,10,10,f
24285,2567,4/2/2017,3/23/2010,Entire home/apt,3,4,250,57,10,9,10,f
24686,2561,4/2/2017,3/29/2010,Private room,1,1,120,33,10,10,9,f
25192,2554,4/2/2017,4/5/2010,Private room,1,1,150,0,NA,NA,NA,f
25235,2587,4/2/2017,3/3/2010,Entire home/apt,1,2,100,119,9,8,9,t
25406,2551,4/2/2017,4/8/2010,Entire home/apt,1,1,139,25,9,10,9,f
25696,2547,4/2/2017,4/12/2010,Private room,1,1,69,112,9,9,9,f
26012,2543,4/2/2017,4/16/2010,Entire home/apt,1.5,3,200,18,10,9,10,f
26362,2677,4/2/2017,12/3/2009,Private room,0.5,1,59,234,9,10,9,f
26520,2707,4/2/2017,11/3/2009,Private room,1,1,248,11,8,9,9,f
26559,2536,4/2/2017,4/23/2010,Entire home/apt,1,1,140,9,9,10,10,f
26785,2742,4/2/2017,9/29/2009,Entire home/apt,1,1,135,341,10,10,10,t
26864,2532,4/2/2017,4/27/2010,Private room,1,1,90,5,9,10,10,f
26933,2629,4/2/2017,1/20/2010,Private room,2,1,125,6,9,9,10,f
26969,2530,4/2/2017,4/29/2010,Entire home/apt,1.5,3,295,229,9,10,10,t
27006,2530,4/2/2017,4/29/2010,Entire home/apt,1.5,2,235,17,9,10,9,f
27024,3111,4/3/2017,9/26/2008,Entire home/apt,1,1,150,276,8,10,9,t
27385,2629,4/2/2017,1/20/2010,Entire home/apt,1,1,225,70,9,10,9,f
27531,2524,4/2/2017,5/5/2010,Private room,2,1,99,269,10,10,10,f
27644,2523,4/2/2017,5/6/2010,Entire home/apt,1,1,170,117,10,9,9,f
27659,2523,4/2/2017,5/6/2010,Entire home/apt,2.5,4,400,6,10,10,10,f
27759,2522,4/2/2017,5/7/2010,Entire home/apt,1,1,170,9,8,9,9,t
27883,2522,4/2/2017,5/7/2010,Entire home/apt,1,NA,100,25,10,10,9,f
28055,2613,4/2/2017,2/5/2010,Private room,1,1,75,50,9,10,9,t
28083,2520,4/2/2017,5/9/2010,Entire home/apt,1,1,160,35,9,10,9,f
28321,2658,4/2/2017,12/22/2009,Private room,1,1,75,3,NA,NA,NA,f
28327,2520,4/2/2017,5/9/2010,Entire home/apt,1,1,165,54,8,10,9,f
28342,2519,4/2/2017,5/10/2010,Private room,1,1,125,12,10,10,10,f
28396,1431,4/2/2017,5/2/2013,Private room,1,1,90,10,9,10,9,f
28907,2516,4/2/2017,5/13/2010,Entire home/apt,1,1,130,17,10,10,10,f
29012,2515,4/2/2017,5/14/2010,Private room,1,1,85,35,9,8,10,f
29013,2768,4/2/2017,9/3/2009,Private room,NA,1,60,49,9,8,9,f
29187,2733,4/2/2017,10/8/2009,Private room,1,1,70,2,10,10,10,f
29455,2512,4/2/2017,5/17/2010,Entire home/apt,1,1,140,90,9,8,9,f
29594,2511,4/2/2017,5/18/2010,Entire home/apt,1,1,100,19,9,9,9,f
29628,2511,4/2/2017,5/18/2010,Private room,1,1,89,183,10,10,10,t
29683,2513,4/2/2017,5/16/2010,Entire home/apt,1,1,185,46,10,10,9,f
30031,2508,4/2/2017,5/21/2010,Private room,2,1,50,133,9,9,10,f
30222,2506,4/2/2017,5/23/2010,Private room,1,1,105,135,9,10,9,t
30589,2504,4/2/2017,5/25/2010,Private room,1,1,119,82,9,10,9,f
30970,2503,4/2/2017,5/26/2010,Private room,0.5,1,80,153,9,9,8,f
31130,2527,4/2/2017,5/2/2010,Private room,1,1,200,25,NA,NA,NA,f
31332,2500,4/2/2017,5/29/2010,Private room,1.5,1,75,4,9,10,9,f
31425,2560,4/2/2017,3/30/2010,Private room,1,1,159,79,10,10,10,f
31555,2498,4/2/2017,5/31/2010,Entire home/apt,1,0,125,16,8,10,9,f
31902,2496,4/2/2017,6/2/2010,Private room,1,3,77,1,NA,NA,NA,f
31994,2495,4/2/2017,6/3/2010,Private room,1,1,85,331,9,9,9,t
32023,2495,4/2/2017,6/3/2010,Entire home/apt,1,2,125,146,9,9,9,t
32037,2528,4/2/2017,5/1/2010,Private room,1.5,1,125,55,10,9,9,f
32100,2494,4/2/2017,6/4/2010,Entire home/apt,1,3,175,2,10,10,10,f
32289,2492,4/2/2017,6/6/2010,Entire home/apt,1.5,2,190,8,9,10,9,f
32329,2491,4/2/2017,6/7/2010,Entire home/apt,1,1,160,3,10,10,10,f
32331,2491,4/2/2017,6/7/2010,Entire home/apt,1,2,140,4,10,10,10,f
32965,2495,4/2/2017,6/3/2010,Entire home/apt,1,1,115,74,9,9,9,t
33009,2486,4/2/2017,6/12/2010,Private room,1,1,165,176,10,10,10,f
33071,2485,4/2/2017,6/13/2010,Entire home/apt,1,1,99,58,8,10,9,f
33156,2509,4/2/2017,5/20/2010,Entire home/apt,1,0,132,19,10,10,10,f
33223,2629,4/2/2017,1/20/2010,Private room,1,1,78,144,9,10,9,t
34760,2476,4/2/2017,6/22/2010,Private room,2,1,55,0,NA,NA,NA,f
34824,2476,4/2/2017,6/22/2010,Private room,1,1,70,15,9,8,9,f
35555,2509,4/2/2017,5/20/2010,Private room,1,1,117,4,9,10,9,f
35950,2470,4/2/2017,6/28/2010,Entire home/apt,NA,1,160,28,8,10,9,f
35963,2470,4/2/2017,6/28/2010,Entire home/apt,1,1,85,12,8,8,9,f
36069,2470,4/3/2017,6/29/2010,Entire home/apt,1,1,160,11,9,8,9,f
36133,2487,4/2/2017,6/11/2010,Private room,1,1,135,113,9,10,9,f
36442,2496,4/2/2017,6/2/2010,Entire home/apt,1,2,120,2,7,8,7,f
36647,2464,4/2/2017,7/4/2010,Private room,1,1,69,31,10,9,9,f
36934,2462,4/2/2017,7/6/2010,Entire home/apt,1,1,150,21,10,10,8,f
37106,2475,4/2/2017,6/23/2010,Entire home/apt,1,0,100,10,9,8,8,f
37197,2461,4/2/2017,7/7/2010,Entire home/apt,1,2,175,43,9,9,9,f
37214,2461,4/2/2017,7/7/2010,Entire home/apt,1,1,144,10,9,10,10,f
38638,2576,4/2/2017,3/14/2010,Entire home/apt,1,1,219,105,10,10,9,f
38663,2456,4/3/2017,7/13/2010,Entire home/apt,2.5,5,475,18,9,10,9,f
38667,2613,4/2/2017,2/5/2010,Private room,NA,1,57,98,8,9,9,f
38780,2501,4/3/2017,5/29/2010,Private room,1,1,69,38,9,8,9,f
38833,2454,4/2/2017,7/14/2010,Entire home/apt,1,1,119,133,9,9,10,f
39267,2452,4/2/2017,7/16/2010,Entire home/apt,1,1,99,156,8,9,8,f
39282,2452,4/2/2017,7/16/2010,Private room,1,1,49,154,9,10,9,f
39572,2452,4/3/2017,7/17/2010,Private room,NA,1,119,23,9,10,10,t
39704,2450,4/2/2017,7/18/2010,Entire home/apt,1,1,150,252,10,8,9,f
40039,2450,4/2/2017,7/18/2010,Private room,NA,1,250,14,10,10,9,f
40248,2450,4/3/2017,7/19/2010,Entire home/apt,2,3,325,1,10,10,10,f
40453,2449,4/2/2017,7/19/2010,Entire home/apt,1,1,250,4,9,10,10,f
41348,2443,4/2/2017,7/25/2010,Entire home/apt,1.5,2,250,45,9,9,9,f
41386,2443,4/2/2017,7/25/2010,Entire home/apt,1,1,101,8,9,9,9,t
41481,2572,4/2/2017,3/18/2010,Private room,2,1,64,0,NA,NA,NA,f
41513,2442,4/2/2017,7/26/2010,Entire home/apt,1,1,80,2,8,8,8,f
41959,2491,4/2/2017,6/7/2010,Entire home/apt,1,1,137,199,9,9,9,f
42300,2439,4/2/2017,7/29/2010,Entire home/apt,2,2,450,53,9,9,9,f
42580,2495,4/2/2017,6/3/2010,Private room,1,1,70,199,8,9,9,t
42729,2929,4/2/2017,3/26/2009,Entire home/apt,NA,2,165,92,9,9,9,f
42744,2580,4/3/2017,3/11/2010,Entire home/apt,NA,1,899,7,8,10,9,f
42882,2438,4/2/2017,7/30/2010,Private room,1,1,70,140,9,9,9,f
43957,2446,4/2/2017,7/22/2010,Private room,1,1,45,7,10,10,9,f
44096,2434,4/2/2017,8/3/2010,Private room,1,1,50,96,10,9,10,f
44212,2629,4/2/2017,1/20/2010,Private room,1,1,125,45,9,9,9,f
44221,2431,4/2/2017,8/6/2010,Entire home/apt,1,0,225,87,10,10,10,t
44229,2442,4/2/2017,7/26/2010,Private room,1,1,110,149,10,10,9,f
44288,2431,4/2/2017,8/6/2010,Entire home/apt,1,1,150,69,9,10,9,f
44472,2450,4/2/2017,7/18/2010,Entire home/apt,2,2,385,16,10,10,10,f
44619,2613,4/2/2017,2/5/2010,Private room,1,1,62,137,9,10,9,f
44698,2428,4/2/2017,8/9/2010,Private room,1.5,1,34,106,9,9,9,t
44973,2426,4/2/2017,8/11/2010,Entire home/apt,1,0,90,102,9,9,9,f
45556,2645,4/2/2017,1/4/2010,Private room,1,1,80,101,10,10,9,t
45689,2421,4/2/2017,8/16/2010,Entire home/apt,1,2,395,193,9,10,9,t
45910,2420,4/2/2017,8/17/2010,Entire home/apt,2.5,5,350,8,8,9,9,f
45936,2078,4/2/2017,7/25/2011,Private room,1,1,99,91,9,10,9,f
45940,2420,4/2/2017,8/17/2010,Private room,1,1,100,6,10,10,10,f
46544,2964,4/2/2017,2/19/2009,Entire home/apt,1,1,150,44,9,10,9,f
46723,2415,4/2/2017,8/22/2010,Private room,NA,1,90,110,10,8,9,f
46859,2677,4/2/2017,12/3/2009,Private room,NA,1,59,5,8,9,9,f
46911,2415,4/3/2017,8/23/2010,Private room,1,1,120,39,9,10,10,f
47199,2412,4/2/2017,8/25/2010,Private room,1,1,90,127,10,10,9,f
47362,2411,4/2/2017,8/26/2010,Entire home/apt,1,1,1000,30,9,8,9,f
47370,2411,4/2/2017,8/26/2010,Entire home/apt,1,0,125,3,10,10,10,f
48620,2404,4/2/2017,9/2/2010,Private room,1.5,1,93,0,NA,NA,NA,f
48719,2404,4/2/2017,9/2/2010,Entire home/apt,1,1,220,64,9,10,9,f
49715,2399,4/2/2017,9/7/2010,Private room,1,1,95,106,10,9,10,f
50447,2945,4/2/2017,3/10/2009,Entire home/apt,1,1,120,98,9,10,10,f
50541,2394,4/2/2017,9/12/2010,Entire home/apt,1,1,150,21,9,9,9,f
50726,2404,4/2/2017,9/2/2010,Entire home/apt,1,2,165,3,10,8,10,f
51485,2390,4/2/2017,9/16/2010,Private room,1,1,83,188,8,9,9,f
51510,2390,4/2/2017,9/16/2010,Private room,1,1,87,183,9,10,9,f
51533,2460,4/2/2017,7/8/2010,Entire home/apt,1,1,190,2,NA,NA,NA,f
51572,2389,4/2/2017,9/17/2010,Private room,1,1,126,248,8,10,9,f
51778,2449,4/2/2017,7/19/2010,Private room,2,1,40,23,7,8,9,f
51850,2806,4/2/2017,7/27/2009,Private room,1,1,55,49,9,8,9,t
51852,2806,4/2/2017,7/27/2009,Private room,1,1,58,57,10,8,9,t
52549,2449,4/2/2017,7/19/2010,Private room,2,1,40,17,9,8,9,f
52757,2382,4/2/2017,9/24/2010,Private room,1,1,72,28,10,9,9,f
53016,2379,4/2/2017,9/27/2010,Entire home/apt,1,1,225,50,10,9,9,f
53137,2386,4/2/2017,9/20/2010,Entire home/apt,1,1,195,1,NA,NA,NA,f
53196,2378,4/2/2017,9/28/2010,Private room,1,1,90,0,NA,NA,NA,f
53469,2420,4/2/2017,8/17/2010,Entire home/apt,1,1,98,33,9,9,9,f
53470,2420,4/2/2017,8/17/2010,Entire home/apt,1,2,165,6,9,9,9,f
53477,2420,4/2/2017,8/17/2010,Entire home/apt,2,4,260,13,9,9,9,f
53630,2375,4/2/2017,10/1/2010,Entire home/apt,1,2,100,53,9,9,9,f
53926,2373,4/2/2017,10/3/2010,Entire home/apt,1,3,118,13,6,9,8,f
54040,2382,4/2/2017,9/24/2010,Entire home/apt,1,2,190,0,NA,NA,NA,f
54158,2934,4/2/2017,3/21/2009,Entire home/apt,1,2,250,226,9,10,9,f
54453,2369,4/2/2017,10/7/2010,Shared room,1,1,105,10,9,10,9,f
54486,2369,4/2/2017,10/7/2010,Private room,1,1,40,159,9,8,10,f
54508,2414,4/2/2017,8/23/2010,Private room,1,1,100,60,9,10,10,f
54544,2369,4/2/2017,10/7/2010,Private room,1,1,120,64,9,8,9,f
54626,2434,4/2/2017,8/3/2010,Private room,1.5,1,52,49,9,8,9,f
54694,2806,4/2/2017,7/27/2009,Private room,1,1,55,59,10,8,9,f
54846,2366,4/2/2017,10/10/2010,Entire home/apt,1,1,147,25,9,9,9,f
54860,2366,4/2/2017,10/10/2010,Private room,1,1,100,125,10,9,9,t
55320,2364,4/3/2017,10/13/2010,Entire home/apt,1,1,95,61,9,9,9,f
55467,2363,4/2/2017,10/13/2010,Entire home/apt,1,1,150,143,10,10,10,f
55505,2362,4/2/2017,10/14/2010,Entire home/apt,1,1,140,47,8,8,9,f
55565,2378,4/2/2017,9/28/2010,Entire home/apt,1,1,150,46,9,9,10,f
55668,2586,4/2/2017,3/4/2010,Private room,1.5,2,120,100,10,10,9,f
55737,2360,4/2/2017,10/16/2010,Entire home/apt,1,1,199,75,10,10,9,f
55857,2359,4/2/2017,10/17/2010,Private room,1,1,125,12,9,10,9,f
55959,2452,4/2/2017,7/16/2010,Private room,1,1,49,49,9,10,10,f
56027,2358,4/2/2017,10/18/2010,Private room,1,1,110,18,9,9,9,f
56467,2355,4/2/2017,10/21/2010,Entire home/apt,1,1,130,77,10,10,10,f
56475,2363,4/3/2017,10/14/2010,Entire home/apt,2,2,329,10,9,9,9,f
56859,2369,4/2/2017,10/7/2010,Private room,NA,1,75,131,9,9,9,t
56894,2351,4/2/2017,10/25/2010,Entire home/apt,1,1,120,11,10,10,10,f
57161,2350,4/2/2017,10/26/2010,Entire home/apt,1,1,75,135,9,9,9,f
57166,2350,4/2/2017,10/26/2010,Entire home/apt,1.5,3,140,11,7,9,7,f
57297,2425,4/2/2017,8/12/2010,Entire home/apt,1,1,159,156,10,10,9,f
57468,2387,4/2/2017,9/19/2010,Entire home/apt,1,1,189,141,9,10,9,f
57618,2346,4/2/2017,10/30/2010,Entire home/apt,1,1,250,52,9,10,9,f
57754,2345,4/2/2017,10/31/2010,Entire home/apt,1,1,300,75,10,10,10,f
57874,2344,4/2/2017,11/1/2010,Entire home/apt,1,1,155,120,10,9,9,f
57901,2344,4/2/2017,11/1/2010,Private room,1,1,70,7,7,10,9,f
58059,2343,4/3/2017,11/3/2010,Private room,2,1,60,311,9,9,9,t
58062,2342,4/2/2017,11/3/2010,Private room,1,1,135,10,9,10,9,f
58101,2342,4/2/2017,11/3/2010,Entire home/apt,1,2,125,156,9,10,8,f
