"","price","overall_satisfaction","reviews","room_type","accommodates","bedrooms","minstay","neighborhood","district","WalkScore","TransitScore","BikeScore","PctBlack"
"124",42,5,3,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"125",190,4,5,"Entire home/apt",6,2,NA,"Bridgeport","South",81,61,82,0.0280713147175158
"126",70,3.5,8,"Entire home/apt",4,2,2,"Bridgeport","South",81,61,82,0.0280713147175158
"127",49,4.5,24,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"128",58,4.5,145,"Private room",2,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"129",48,4.5,41,"Private room",4,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"130",75,5,27,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"131",159,5,20,"Entire home/apt",5,2,1,"Bridgeport","South",81,61,82,0.0280713147175158
"132",29,5,37,"Private room",2,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"133",91,4.5,68,"Entire home/apt",5,2,NA,"Bridgeport","South",81,61,82,0.0280713147175158
"134",78,5,23,"Private room",4,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"135",62,5,5,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"136",100,4.5,4,"Entire home/apt",4,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"137",110,4.5,18,"Entire home/apt",8,2,1,"Bridgeport","South",81,61,82,0.0280713147175158
"138",95,4,9,"Entire home/apt",7,3,3,"Bridgeport","South",81,61,82,0.0280713147175158
"139",100,5,75,"Entire home/apt",6,1,3,"Bridgeport","South",81,61,82,0.0280713147175158
"140",65,5,24,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"141",55,5,4,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"142",45,4.5,16,"Shared room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"143",37,4.5,34,"Private room",1,1,3,"Bridgeport","South",81,61,82,0.0280713147175158
"144",20,4,10,"Private room",3,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"145",190,5,5,"Entire home/apt",6,3,NA,"Bridgeport","South",81,61,82,0.0280713147175158
"146",145,4.5,4,"Entire home/apt",3,2,2,"Bridgeport","South",81,61,82,0.0280713147175158
"147",76,5,13,"Private room",3,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"148",50,5,4,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"149",110,5,59,"Entire home/apt",6,2,3,"Bridgeport","South",81,61,82,0.0280713147175158
"150",35,4.5,17,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"151",80,4.5,26,"Private room",3,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"152",42,3.5,6,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"153",55,5,20,"Private room",6,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"154",275,4.5,11,"Entire home/apt",10,4,2,"Bridgeport","South",81,61,82,0.0280713147175158
"155",36,5,33,"Private room",1,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"156",34,4.5,31,"Private room",1,1,2,"Bridgeport","South",81,61,82,0.0280713147175158
"157",114,5,31,"Entire home/apt",3,1,NA,"Bridgeport","South",81,61,82,0.0280713147175158
"158",75,4.5,30,"Entire home/apt",7,3,3,"Bridgeport","South",81,61,82,0.0280713147175158
"159",115,4.5,25,"Entire home/apt",5,2,2,"Bridgeport","South",81,61,82,0.0280713147175158
"160",84,4,11,"Entire home/apt",2,2,3,"Bridgeport","South",81,61,82,0.0280713147175158
"161",58,5,98,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"162",136,4.5,10,"Entire home/apt",6,2,2,"Bridgeport","South",81,61,82,0.0280713147175158
"163",62,5,4,"Private room",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"164",42,4.5,24,"Private room",3,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"165",55,5,21,"Entire home/apt",2,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"166",65,5,17,"Private room",3,1,3,"Bridgeport","South",81,61,82,0.0280713147175158
"167",90,4.5,47,"Entire home/apt",6,2,NA,"Bridgeport","South",81,61,82,0.0280713147175158
"168",35,5,4,"Private room",1,1,1,"Bridgeport","South",81,61,82,0.0280713147175158
"169",210,5,7,"Entire home/apt",8,3,3,"Brighton Park","Southwest",72,60,65,0.0153160490475544
"170",56,5,26,"Entire home/apt",5,1,1,"Brighton Park","Southwest",72,60,65,0.0153160490475544
"171",50,5,3,"Shared room",5,1,1,"Brighton Park","Southwest",72,60,65,0.0153160490475544
"172",35,4.5,52,"Private room",4,1,2,"Burnside","Far Southeast",63,66,49,1
"173",30,4.5,152,"Private room",2,1,2,"Burnside","Far Southeast",63,66,49,1
"174",16,3.5,14,"Private room",1,1,1,"Calumet Heights","Far Southeast",63,58,54,0.934678124089717
"175",16,4,13,"Private room",1,1,1,"Calumet Heights","Far Southeast",63,58,54,0.934678124089717
"176",100,4.5,65,"Entire home/apt",4,1,4,"East Garfield Park","West",78,73,74,0.912761425251743
"177",169,4.5,22,"Entire home/apt",12,4,2,"East Garfield Park","West",78,73,74,0.912761425251743
"178",69,5,31,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"179",109,4.5,8,"Entire home/apt",8,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"180",175,5,3,"Private room",1,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"181",95,3.5,29,"Entire home/apt",8,2,2,"East Garfield Park","West",78,73,74,0.912761425251743
"182",109,4.5,15,"Entire home/apt",8,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"183",79,4.5,56,"Entire home/apt",6,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"184",79,4.5,36,"Private room",6,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"185",54,4.5,22,"Private room",4,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"186",52,4.5,63,"Private room",4,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"187",48,4.5,48,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"188",133,4.5,14,"Entire home/apt",6,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"189",88,4,11,"Entire home/apt",4,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"190",35,4.5,11,"Private room",5,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"191",36,4.5,39,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"192",49,4.5,64,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"193",165,5,32,"Private room",8,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"194",85,4.5,30,"Entire home/apt",6,3,1,"East Garfield Park","West",78,73,74,0.912761425251743
"195",89,5,4,"Private room",2,1,2,"East Garfield Park","West",78,73,74,0.912761425251743
"196",95,4.5,76,"Entire home/apt",7,3,2,"East Garfield Park","West",78,73,74,0.912761425251743
"197",42,4.5,12,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"198",140,5,22,"Entire home/apt",2,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"199",55,5,73,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"200",55,5,41,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"201",55,4.5,141,"Entire home/apt",4,0,2,"East Garfield Park","West",78,73,74,0.912761425251743
"202",50,3.5,3,"Private room",2,1,NA,"East Garfield Park","West",78,73,74,0.912761425251743
"203",98,4.5,24,"Entire home/apt",6,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"204",55,5,86,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"205",79,4.5,205,"Entire home/apt",5,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"206",96,4.5,22,"Entire home/apt",6,0,1,"East Garfield Park","West",78,73,74,0.912761425251743
"207",50,5,21,"Private room",2,1,2,"East Garfield Park","West",78,73,74,0.912761425251743
"208",100,5,17,"Private room",2,1,1,"East Garfield Park","West",78,73,74,0.912761425251743
"209",49,5,7,"Private room",2,1,2,"East Garfield Park","West",78,73,74,0.912761425251743
"210",59,5,29,"Private room",2,1,2,"East Garfield Park","West",78,73,74,0.912761425251743
"211",120,4,4,"Entire home/apt",6,2,2,"East Garfield Park","West",78,73,74,0.912761425251743
"212",88,4.5,26,"Entire home/apt",6,2,1,"East Garfield Park","West",78,73,74,0.912761425251743
"213",125,5,41,"Entire home/apt",4,2,2,"Edgewater","Far North",89,72,85,0.143112277440636
"214",95,5,54,"Entire home/apt",4,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"215",194,5,20,"Entire home/apt",6,3,3,"Edgewater","Far North",89,72,85,0.143112277440636
"216",250,5,5,"Entire home/apt",8,2,2,"Edgewater","Far North",89,72,85,0.143112277440636
"217",100,4.5,4,"Entire home/apt",4,2,4,"Edgewater","Far North",89,72,85,0.143112277440636
"218",44,5,5,"Private room",3,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"219",50,4,8,"Entire home/apt",6,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"220",64,5,24,"Private room",2,1,3,"Edgewater","Far North",89,72,85,0.143112277440636
"221",100,5,18,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"222",60,5,284,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"223",95,5,13,"Entire home/apt",4,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"224",125,4.5,3,"Entire home/apt",5,2,1,"Edgewater","Far North",89,72,85,0.143112277440636
"225",51,5,14,"Entire home/apt",2,0,3,"Edgewater","Far North",89,72,85,0.143112277440636
"226",120,5,11,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"227",105,4.5,27,"Entire home/apt",4,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"228",125,5,18,"Entire home/apt",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"229",65,5,44,"Entire home/apt",2,0,2,"Edgewater","Far North",89,72,85,0.143112277440636
"230",70,5,47,"Private room",2,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"231",75,4.5,35,"Entire home/apt",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"232",44,5,21,"Private room",1,1,3,"Edgewater","Far North",89,72,85,0.143112277440636
"233",65,5,16,"Private room",1,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"234",120,4.5,173,"Entire home/apt",4,2,NA,"Edgewater","Far North",89,72,85,0.143112277440636
"235",70,5,6,"Entire home/apt",2,0,2,"Edgewater","Far North",89,72,85,0.143112277440636
"236",70,4.5,16,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"237",90,5,27,"Entire home/apt",2,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"238",199,5,9,"Entire home/apt",8,2,2,"Edgewater","Far North",89,72,85,0.143112277440636
"239",42,5,83,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"240",38,5,8,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"241",125,5,8,"Entire home/apt",3,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"242",85,4.5,33,"Entire home/apt",4,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"243",60,5,14,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"244",96,5,52,"Entire home/apt",2,1,2,"Edgewater","Far North",89,72,85,0.143112277440636
"245",124,5,7,"Entire home/apt",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"246",170,5,117,"Entire home/apt",7,3,2,"Edgewater","Far North",89,72,85,0.143112277440636
"247",85,5,13,"Private room",2,1,1,"Edgewater","Far North",89,72,85,0.143112277440636
"248",150,4.5,67,"Entire home/apt",6,3,1,"Edison Park","Far North",66,46,56,0.0107066381156317
"249",35,3.5,3,"Private room",2,1,1,"Englewood","Southwest",70,65,64,0.949810497301022
"250",20,4.5,85,"Shared room",1,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"251",20,4.5,62,"Shared room",1,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"252",25,4.5,42,"Private room",2,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"253",30,4.5,31,"Private room",2,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"254",35,5,51,"Private room",2,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"255",25,4.5,29,"Private room",2,1,1,"Gage Park","Southwest",73,60,63,0.0325712344060968
"256",33,5,3,"Private room",3,1,1,"Hegewisch","Far Southeast",52,34,65,0.0629938786867001
"257",79,4.5,12,"Entire home/apt",3,2,1,"Hegewisch","Far Southeast",52,34,65,0.0629938786867001
"258",125,4.5,43,"Entire home/apt",4,2,3,"Hermosa","Northwest",79,60,67,0.0148691592451646
"259",55,5,14,"Private room",4,1,1,"Hermosa","Northwest",79,60,67,0.0148691592451646
"260",195,5,3,"Entire home/apt",6,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
"261",80,4.5,55,"Entire home/apt",6,3,1,"Humboldt Park","West",84,67,82,0.408663721801094
"262",39,3.5,3,"Entire home/apt",12,3,NA,"Humboldt Park","West",84,67,82,0.408663721801094
"263",130,5,33,"Entire home/apt",5,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
"264",175,5,34,"Entire home/apt",4,2,3,"Humboldt Park","West",84,67,82,0.408663721801094
"265",65,4.5,27,"Private room",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"266",70,4.5,11,"Entire home/apt",4,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
"267",50,4.5,138,"Private room",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"268",77,4.5,9,"Entire home/apt",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"269",85,4.5,23,"Entire home/apt",6,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"270",90,5,3,"Entire home/apt",4,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
"271",115,5,137,"Entire home/apt",5,3,3,"Humboldt Park","West",84,67,82,0.408663721801094
"272",50,4.5,7,"Private room",1,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"273",75,3,6,"Entire home/apt",10,3,1,"Humboldt Park","West",84,67,82,0.408663721801094
"274",39,3.5,10,"Entire home/apt",10,3,NA,"Humboldt Park","West",84,67,82,0.408663721801094
"275",80,4.5,17,"Private room",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"276",115,5,4,"Entire home/apt",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"277",90,5,33,"Entire home/apt",5,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
"278",335,4.5,3,"Entire home/apt",10,3,2,"Humboldt Park","West",84,67,82,0.408663721801094
"279",126,4.5,199,"Entire home/apt",10,3,NA,"Humboldt Park","West",84,67,82,0.408663721801094
"280",37,5,4,"Private room",4,1,2,"Humboldt Park","West",84,67,82,0.408663721801094
"281",70,5,5,"Entire home/apt",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"282",65,5,6,"Private room",3,1,2,"Humboldt Park","West",84,67,82,0.408663721801094
"283",70,5,6,"Private room",2,1,3,"Humboldt Park","West",84,67,82,0.408663721801094
"284",40,5,9,"Shared room",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"285",65,5,7,"Private room",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"286",100,5,4,"Private room",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"287",130,5,44,"Entire home/apt",5,2,1,"Humboldt Park","West",84,67,82,0.408663721801094
"288",85,4.5,5,"Private room",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
"289",69,5,29,"Entire home/apt",2,1,1,"Humboldt Park","West",84,67,82,0.408663721801094
