,id,age,coa,male,peer,alcuse
162,54,16,0,0,0,1
163,55,14,0,1,1.549193382,0
164,55,15,0,1,1.549193382,0
165,55,16,0,1,1.549193382,0
166,56,14,0,0,1.788854361,0
167,56,15,0,0,1.788854361,1.414213538
168,56,16,0,0,1.788854361,2.645751238
169,57,14,0,1,0,0
170,57,15,0,1,0,0
171,57,16,0,1,0,0
172,58,14,0,1,0.89442718,1
173,58,15,0,1,0.89442718,1.414213538
174,58,16,0,1,0.89442718,2.449489832
175,59,14,0,1,0.89442718,0
176,59,15,0,1,0.89442718,0
177,59,16,0,1,0.89442718,2.645751238
178,60,14,0,0,0,0
179,60,15,0,0,0,1
180,60,16,0,0,0,1.414213538
181,61,14,0,0,2,2
182,61,15,0,0,2,2.23606801
183,61,16,0,0,2,2
184,62,14,0,1,0.89442718,0
185,62,15,0,1,0.89442718,0
186,62,16,0,1,0.89442718,0
187,63,14,0,1,0,0
188,63,15,0,1,0,0
189,63,16,0,1,0,0
190,64,14,0,0,0.89442718,0
191,64,15,0,0,0.89442718,2
192,64,16,0,0,0.89442718,2.23606801
193,65,14,0,0,1.264911056,0
194,65,15,0,0,1.264911056,1
195,65,16,0,0,1.264911056,1.414213538
196,66,14,0,1,1.264911056,1.414213538
197,66,15,0,1,1.264911056,3.464101553
198,66,16,0,1,1.264911056,3
199,67,14,0,0,0.89442718,1
200,67,15,0,0,0.89442718,0
201,67,16,0,0,0.89442718,0
202,68,14,0,0,0,0
203,68,15,0,0,0,1
204,68,16,0,0,0,0
205,69,14,0,1,0.89442718,0
206,69,15,0,1,0.89442718,0
207,69,16,0,1,0.89442718,0
208,70,14,0,0,1.549193382,2
209,70,15,0,0,1.549193382,1
210,70,16,0,0,1.549193382,0
211,71,14,0,1,0.89442718,0
212,71,15,0,1,0.89442718,0
213,71,16,0,1,0.89442718,0
214,72,14,0,0,0.89442718,0
215,72,15,0,0,0.89442718,0
216,72,16,0,0,0.89442718,0
217,73,14,0,1,0,0
218,73,15,0,1,0,0
219,73,16,0,1,0,0
220,74,14,0,1,1.549193382,0
221,74,15,0,1,1.549193382,1.732050776
222,74,16,0,1,1.549193382,2.23606801
223,75,14,0,0,1.788854361,0
224,75,15,0,0,1.788854361,0
225,75,16,0,0,1.788854361,0
226,76,14,0,0,0,0
227,76,15,0,0,0,0
228,76,16,0,0,0,0
229,77,14,0,1,0.89442718,0
230,77,15,0,1,0.89442718,1.414213538
231,77,16,0,1,0.89442718,2.828427076
232,78,14,0,0,0.89442718,0
233,78,15,0,0,0.89442718,0
234,78,16,0,0,0.89442718,0
235,79,14,0,1,0.89442718,1
236,79,15,0,1,0.89442718,2.23606801
237,79,16,0,1,0.89442718,1.414213538
238,80,14,0,1,0.89442718,1
239,80,15,0,1,0.89442718,1
240,80,16,0,1,0.89442718,1.732050776
241,81,14,0,1,1.549193382,0
242,81,15,0,1,1.549193382,0
243,81,16,0,1,1.549193382,0
244,82,14,0,0,2.190890312,0
245,82,15,0,0,2.190890312,1.414213538
246,82,16,0,0,2.190890312,1
