"","removed","freqchal","pvi2","obama","cperhs","sexexp","book","author","state","antifamily","cmedin","cperba","days2000","occult","language","homosexuality","violence","booktitle"
"25",1,0,-6.1,0,1.43804213135068,0,1971,"Voight, Cynthia","AZ",0,3490.5,-0.52372986369269,2838,0,1,0,1,"When She Hollers"
"26",1,0,-6.1,0,1.43804213135068,1,1684,"Anderson, Laurie Halse","AZ",0,3490.5,-0.52372986369269,480,0,1,0,1,"Speak"
"27",0,0,-6.1,0,1.43804213135068,0,1951,"Sones, Sonya","AZ",0,3490.5,-0.52372986369269,1748,0,1,0,0,"What My Mother Doesn’t Know"
"28",0,0,-6.1,0,1.43804213135068,1,695,"Abner, Allison","AZ",0,3490.5,-0.52372986369269,871,0,0,0,0,"Finding Our Way--The Teen Girl Survival Guide"
"29",1,0,-6.1,0,1.43804213135068,1,516,"Drill, Esther","AZ",0,3490.5,-0.52372986369269,1800,0,0,0,0,"Deal With It!"
"30",1,0,-6.1,0,1.43804213135068,1,6,"Orwell, George","AZ",0,3490.5,-0.52372986369269,847,0,0,0,0,"1984"
"31",0,0,-6.1,1,1.43804213135068,1,2057,"Togashi, Yoshihiro","AZ",0,3490.5,-0.52372986369269,3240,0,0,0,1,"Yu Yu Hakusho (series)"
"32",0,1,-6.1,0,1.43804213135068,1,101,"Naylor, Phyllis Reynolds","AZ",0,3490.5,-0.52372986369269,1455,0,0,0,0,"Alice on the Outside"
"33",1,0,-6.1,0,1.43804213135068,1,196,"Allison, Dorothy","AZ",0,3490.5,-0.52372986369269,982,0,0,0,0,"Bastard Out of Carolina"
"34",0,0,-6.1,1,1.43804213135068,0,1559,"Codell, Esme Rajo","AZ",0,3490.5,-0.52372986369269,3685,0,1,0,0,"Sahara Special"
"35",0,0,-6.1,1,1.43804213135068,0,1660,"Palahniuk, Chuck","AZ",0,3490.5,-0.52372986369269,3240,0,0,0,0,"Snuff"
"36",0,0,-6.1,0,1.43804213135068,0,158,"Bellesiles, Michael","AZ",0,3490.5,-0.52372986369269,2418,0,0,0,0,"Arming America"
"37",1,0,7.4,0,-2.76195786864932,1,118,"Rodriguez, Luis","CA",1,10119,2.57627013630731,1705,0,1,0,1,"Always Running"
"38",0,0,7.4,0,-2.76195786864932,1,148,"Rennison, Louise","CA",1,10119,2.57627013630731,1917,0,1,0,0,"Angus, Thongs, and Full Frontal Snogging"
"39",1,0,7.4,0,-2.76195786864932,0,727,"Muten, Burleigh","CA",0,10119,2.57627013630731,1697,1,0,0,0,"Goddesses: A World of Myth and Magic"
"40",0,0,7.4,1,-2.76195786864932,1,759,"Peters, Julie Anne","CA",0,10119,2.57627013630731,3508,0,0,1,0,"Grl2grl"
"41",0,0,7.4,1,-2.76195786864932,0,1275,"Garden, Nancy","CA",1,10119,2.57627013630731,3200,0,0,1,0,"Molly's Family"
"42",0,0,7.4,0,-2.76195786864932,1,1635,"Miller, Frank","CA",0,10119,2.57627013630731,2399,0,0,0,1,"Sin City"
"43",0,0,7.4,0,-2.76195786864932,0,1789,"Springer, Nancy","CA",0,10119,2.57627013630731,2040,0,1,0,1,"They're All Named Wildfire"
"44",0,0,7.4,0,-2.76195786864932,0,436,"Chapman, Dawn","CA",0,10119,2.57627013630731,1697,0,0,0,0,"Cool Women"
"45",0,0,7.4,0,-2.76195786864932,0,1493,"Harkness, Cheryl","CA",0,10119,2.57627013630731,1697,0,0,0,0,"Rabble Rousers"
"46",0,0,7.4,0,-2.76195786864932,0,1076,"Lewis, Barbara","CA",1,10119,2.57627013630731,1696,0,0,0,0,"Kid's Guide to Social Action"
"47",0,0,7.4,0,-2.76195786864932,0,1145,"Bannerman, Helen","CA",0,10119,2.57627013630731,1557,0,0,0,0,"Little Black Sambo"
"48",1,0,7.4,1,-2.76195786864932,0,2049,"Wells, Rosemary","CA",0,10119,2.57627013630731,3483,0,0,0,0,"Yoko"
"49",0,0,7.4,1,-2.76195786864932,0,1555,"Corinna, Heather","CA",0,10119,2.57627013630731,3508,0,0,0,0,"S.E.X.:  The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School"
"50",0,1,7.4,1,-2.76195786864932,0,143,"Parnell, Peter and Justin Richardson","CA",0,10119,2.57627013630731,3200,0,0,1,0,"And Tango Makes Three"
"51",0,0,7.4,0,-2.76195786864932,0,562,"Wright, Betty","CA",0,10119,2.57627013630731,1697,0,0,0,1,"Doll House Murders"
"52",0,1,7.4,0,-2.76195786864932,1,958,"Angelou, Maya","CA",0,10119,2.57627013630731,1696,0,0,0,1,"I Know Why the Caged Bird Sings"
"53",0,0,7.4,0,-2.76195786864932,0,975,"Smith, David","CA",1,10119,2.57627013630731,1696,0,0,0,0,"If the World Were a Village"
"54",0,0,7.4,0,-2.76195786864932,1,1845,"Nathanson, Laura","CA",0,10119,2.57627013630731,1341,0,0,0,0,"Trouble With Wednesdays, The"
"55",0,0,7.4,0,-2.76195786864932,1,1928,"Mowry, Jess","CA",0,10119,2.57627013630731,1026,0,1,0,0,"Way Past Cool"
"56",0,0,7.4,0,-2.76195786864932,0,1814,"Healey, Tim","CA",0,10119,2.57627013630731,480,0,0,0,1,"Timespan Spies"
"57",0,0,7.4,0,-2.76195786864932,0,1151,"Anderson, Hans Christian","CA",0,10119,2.57627013630731,175,0,0,0,1,"Little Mermaid, The"
"58",1,0,7.4,1,-2.76195786864932,1,1473,"Sittenfeld, Curtis","CA",0,10119,2.57627013630731,3220,0,0,0,0,"Prep"
"59",1,0,7.4,1,-2.76195786864932,0,252,"Anaya, Rudolfo","CA",0,10119,2.57627013630731,3214,0,0,0,0,"Bless Me, Ultima"
"60",1,0,7.4,0,-2.76195786864932,0,942,"Camacho, Julian Segura","CA",0,10119,2.57627013630731,3143,0,0,0,0,"Huevos y la Mujer Latina"
"61",1,0,7.4,0,-2.76195786864932,0,898,"Camacho, Julian Segura","CA",0,10119,2.57627013630731,3142,0,0,0,0,"Higher Education as Ignorance"
"62",1,0,7.4,0,-2.76195786864932,1,118,"Rodriguez, Luis","CA",0,10119,2.57627013630731,1800,0,0,0,1,"Always Running"
"63",1,0,7.4,0,-2.76195786864932,1,118,"Rodriguez, Luis","CA",0,10119,2.57627013630731,1749,0,0,0,1,"Always Running"
"64",0,0,7.4,1,-2.76195786864932,0,1067,"Mathabane, Mark","CA",0,10119,2.57627013630731,3875,0,1,0,0,"Kaffir Boy"
"65",0,0,7.4,1,-2.76195786864932,0,739,"Levithan, David (ed.) and Billy Merrell (ed.)","CA",0,10119,2.57627013630731,3508,0,0,1,0,"Full Spectrum:  A New Generation of Writing About Gay, Lesbian, Bisexual, Transgender, Questioning, and Other Identities, The"
"66",0,0,7.4,1,-2.76195786864932,0,881,"Garden, Nancy","CA",0,10119,2.57627013630731,3508,0,0,1,0,"Hear Us Out:  Lesbian and Gay Stories of Struggle, Progress, and Hope"
"67",0,0,7.4,1,-2.76195786864932,0,1834,"Beam, Chris","CA",0,10119,2.57627013630731,3508,0,0,1,0,"Transparent:  Love, Family, and Living the T with Transgender Teenagers"
"68",0,1,7.4,0,-2.76195786864932,0,143,"Parnell, Peter and Justin Richardson","CA",1,10119,2.57627013630731,2770,0,0,1,0,"And Tango Makes Three"
"69",0,0,7.4,0,-2.76195786864932,1,1892,"Yolen, Jane and Martin H. Greenberg","CA",0,10119,2.57627013630731,2759,0,0,0,0,"Vampires"
"70",0,0,7.4,0,-2.76195786864932,0,2019,"Barth, Edna","CA",0,10119,2.57627013630731,1697,1,0,0,0,"Witches, Pumpkins and Grinning Ghosts"
"71",0,0,7.4,0,-2.76195786864932,1,567,"Haddix, Margaret Peterson","CA",0,10119,2.57627013630731,1560,0,1,0,0,"Don't You Dare Read This, Mrs. Dunphrey"
"72",0,1,7.4,0,-2.76195786864932,1,958,"Angelou, Maya","CA",0,10119,2.57627013630731,480,0,1,0,0,"I Know Why the Caged Bird Sings"
"73",0,0,7.4,0,-2.76195786864932,1,1661,"Watkins, Yoko Kawashima","CA",0,10119,2.57627013630731,294,0,0,0,1,"So Far From the Bamboo Grove"
"74",0,0,7.4,0,-2.76195786864932,0,757,"Cooper, Susan","CA",0,10119,2.57627013630731,52,1,0,0,1,"Grey King, The"
"75",1,0,7.4,1,-2.76195786864932,0,1250,"Merriam-Webster","CA",0,10119,2.57627013630731,3632,0,1,0,0,"Merriam-Webster's Collegiate Dictionary, 10th Collegiate Edition"
"76",1,0,7.4,0,-2.76195786864932,0,1761,"","CA",0,10119,2.57627013630731,1800,0,0,0,0,"Technical Date on the Shasta Dam"
"77",1,0,7.4,0,-2.76195786864932,0,567,"Haddix, Margaret Peterson","CA",0,10119,2.57627013630731,1426,0,1,0,0,"Don't You Dare Read This, Mrs. Dunphrey"
"78",1,0,7.4,0,-2.76195786864932,0,1156,"","CA",0,10119,2.57627013630731,420,0,0,1,0,"Lives of Notable Gay Men and Lesbians"
"79",1,0,7.4,0,-2.76195786864932,0,179,"Block, Francesca Lia","CA",0,10119,2.57627013630731,120,0,0,1,0,"Baby Be-Bop"
"80",1,0,7.4,0,-2.76195786864932,1,1063,"Klein, Norma","CA",0,10119,2.57627013630731,120,0,0,0,0,"Just Friends"
"81",1,0,7.4,0,-2.76195786864932,0,1491,"Anthony, Piers","CA",0,10119,2.57627013630731,120,1,0,0,0,"Question Quest"
"82",0,0,7.4,1,-2.76195786864932,0,1828,"Boyle, T.C.","CA",0,10119,2.57627013630731,3801,0,0,0,0,"Torilla Curtain"
"83",0,0,7.4,1,-2.76195786864932,1,977,"Reynolds, Marilyn","CA",0,10119,2.57627013630731,3301,0,0,0,0,"If You Loved Me"
"84",0,0,7.4,0,-2.76195786864932,0,477,"McCormick, Patricia","CA",0,10119,2.57627013630731,1738,0,0,0,0,"Cut"
"85",0,0,7.4,0,-2.76195786864932,0,303,"Sachar, Louis","CA",0,10119,2.57627013630731,1452,0,1,0,0,"Boy Who Lost His Face, The"
"86",0,0,7.4,0,-2.76195786864932,0,301,"Greene, Shep","CA",0,10119,2.57627013630731,480,0,0,0,0,"Boy Who Drank Too Much, The"
"87",0,0,-0.2,0,7.33804213135069,1,1775,"Hinton, S.E.","CO",0,10346.5,8.67627013630731,1440,0,1,0,1,"Tex"
"88",1,0,-0.2,0,7.33804213135069,0,2002,"Mayle, Peter","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Will I Go To Heaven"
"89",0,0,-0.2,1,7.33804213135069,1,166,"Arellano, Gustavo","CO",0,10346.5,8.67627013630731,3490,0,1,0,0,"Ask a Mexican"
"90",0,0,-0.2,0,7.33804213135069,1,1094,"Koehler, W.R.","CO",0,10346.5,8.67627013630731,1800,0,1,0,0,"Koehler Method of Dog Training, The"
"91",1,0,-0.2,0,7.33804213135069,0,628,"Ryan, Sara","CO",0,10346.5,8.67627013630731,1440,0,1,1,0,"Empress of the World"
"92",0,0,-0.2,0,7.33804213135069,1,1738,"Hentley, James A.","CO",0,10346.5,8.67627013630731,1800,0,1,0,0,"Summer Country, The"
"93",0,0,-0.2,0,7.33804213135069,1,470,"King, Steven","CO",0,10346.5,8.67627013630731,1440,0,0,0,1,"Cujo"
"94",0,1,-0.2,0,7.33804213135069,1,1772,"Cormier, Robert","CO",0,10346.5,8.67627013630731,1440,0,0,0,1,"Tenderness"
"95",0,0,-0.2,0,7.33804213135069,1,985,"Haines, Lise","CO",0,10346.5,8.67627013630731,1426,0,1,1,0,"In My Sister's Country"
"96",0,0,-0.2,0,7.33804213135069,1,1481,"Stern, Howard","CO",0,10346.5,8.67627013630731,1426,0,1,0,0,"Private Parts"
"97",0,0,-0.2,0,7.33804213135069,1,280,"Crumb, R.","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Book of Mr. Natural"
"98",1,1,-0.2,0,7.33804213135069,0,267,"Morrison, Toni","CO",0,10346.5,8.67627013630731,2051,0,0,0,0,"Bluest Eye, The"
"99",1,1,-0.2,0,7.33804213135069,1,267,"Morrison, Toni","CO",0,10346.5,8.67627013630731,2040,0,0,0,0,"Bluest Eye, The"
"100",1,0,-0.2,0,7.33804213135069,0,86,"de Saint Phalle, Niki","CO",0,10346.5,8.67627013630731,1443,0,0,0,0,"AIDS: You Can't Catch it Holding Hands"
"101",1,0,-0.2,0,7.33804213135069,1,42,"Johnson, Anthony Godby","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"A Rock and a Hard Place"
"102",1,0,-0.2,0,7.33804213135069,1,528,"Morris, Johnny","CO",0,10346.5,8.67627013630731,1425,0,0,0,1,"Delilah"
"103",0,1,-0.2,1,7.33804213135069,1,214,"Morrison, Toni","CO",0,10346.5,8.67627013630731,3876,0,0,0,0,"Beloved"
"104",0,0,-0.2,1,7.33804213135069,1,13,"Gloeckner, Phoebe","CO",0,10346.5,8.67627013630731,3490,0,0,0,1,"A Child's Life"
"105",0,0,-0.2,1,7.33804213135069,1,1877,"Davidson, Mary Janice","CO",0,10346.5,8.67627013630731,3490,0,1,0,0,"Undead and Unworthy"
"106",0,0,-0.2,0,7.33804213135069,0,1872,"Brannen, Sarah S.","CO",0,10346.5,8.67627013630731,3080,0,0,1,0,"Uncle Bobby's Wedding"
"107",0,0,-0.2,0,7.33804213135069,0,439,"Gavin, Jamila","CO",0,10346.5,8.67627013630731,1800,0,0,0,1,"Coram Boy"
"108",0,0,-0.2,0,7.33804213135069,0,445,"Wolf, Bernard","CO",0,10346.5,8.67627013630731,1800,0,1,0,0,"Cowboy"
"109",0,0,-0.2,0,7.33804213135069,0,742,"Mark, Jan & Bayley, Nicola","CO",0,10346.5,8.67627013630731,1800,0,0,0,1,"Fun with Mrs. Thumb"
"110",0,0,-0.2,0,7.33804213135069,0,148,"Rennison, Louise","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Angus, Thongs, and Full Frontal Snogging"
"111",0,0,-0.2,0,7.33804213135069,1,488,"Plummer, Louise","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Dance for Three"
"112",0,1,-0.2,0,7.33804213135069,1,712,"Blume, Judy","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Forever"
"113",0,0,-0.2,0,7.33804213135069,0,1684,"Anderson, Laurie Halse","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Speak"
"114",0,0,-0.2,0,7.33804213135069,1,1745,"William, Kate","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Sweet Valley High Series"
"115",0,0,-0.2,0,7.33804213135069,1,925,"Marsh, Jean","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"House of Eliott"
"116",0,0,-0.2,0,7.33804213135069,0,1276,"Cole, Babette","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Mommy Laid an Egg"
"117",0,0,-0.2,0,7.33804213135069,0,1490,"Okuda, Hitoshi","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Quest for More Money"
"118",0,0,-0.2,0,7.33804213135069,1,1827,"Reese, Laura","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Topping From Below"
"119",0,0,-0.2,0,7.33804213135069,0,1962,"Johnson, Kevin and James R. White","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"What's With the Dudes at the Door?"
"120",0,0,-0.2,0,7.33804213135069,1,122,"James, Jamie","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Am I Weird or Is This Normal?"
"121",0,0,-0.2,0,7.33804213135069,0,215,"Berenstein, Stan and Jan","CO",0,10346.5,8.67627013630731,1425,0,0,0,1,"Berenstein Bears and the Bully"
"122",0,0,-0.2,0,7.33804213135069,0,484,"Willhoite, Michael","CO",0,10346.5,8.67627013630731,1425,0,0,1,0,"Daddy's Roommate"
"123",0,0,-0.2,0,7.33804213135069,1,498,"Juno, Andrea","CO",0,10346.5,8.67627013630731,1425,0,0,0,1,"Dangerous Drawings"
"124",0,0,-0.2,0,7.33804213135069,1,932,"Wabbes, Marie","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"How I Was Born"
"125",1,1,-0.2,0,7.33804213135069,1,267,"Morrison, Toni","CO",0,10346.5,8.67627013630731,2352,0,0,0,0,"Bluest Eye, The"
"126",1,0,-0.2,0,7.33804213135069,0,1033,"Winks, Cathy","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"New Good Vibrations Guide to Sex"
"127",1,0,-0.2,0,7.33804213135069,0,1705,"Page, Jake","CO",0,10346.5,8.67627013630731,1426,0,1,0,0,"Stolen Gods"
"128",0,0,-0.2,NA,7.33804213135069,0,297,"Levithan, David","CO",0,10346.5,8.67627013630731,NA,0,0,1,0,"Boy Meets Boy"
"129",0,0,-0.2,1,7.33804213135069,0,1524,"Cronin, Doreen","CO",0,10346.5,8.67627013630731,3904,0,0,0,1,"Rescue Bunnies"
"130",0,0,-0.2,1,7.33804213135069,0,356,"Pilkey, Dav","CO",0,10346.5,8.67627013630731,3876,0,1,0,0,"Captain Underpants"
"131",0,0,-0.2,1,7.33804213135069,0,51,"Hamilton, Laurell K.","CO",1,10346.5,8.67627013630731,3490,0,0,0,0,"A Stroke of Midnight"
"132",0,0,-0.2,0,7.33804213135069,0,127,"Steig, William","CO",0,10346.5,8.67627013630731,1800,0,0,0,1,"Amazing Bone, The"
"133",0,0,-0.2,0,7.33804213135069,0,158,"Bellesiles, Michael","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Arming America"
"134",0,0,-0.2,0,7.33804213135069,0,158,"Bellesiles, Michael","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Arming America"
"135",0,0,-0.2,0,7.33804213135069,0,331,"Bahal, Aniruddha","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Bunker 13"
"136",0,0,-0.2,0,7.33804213135069,0,346,"Schindel, John","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Busy Penguins"
"137",0,0,-0.2,0,7.33804213135069,0,627,"Anderson, Hans Christian","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Emperor's New Clothes, The"
"138",0,0,-0.2,0,7.33804213135069,0,747,"Davis, Jim","CO",0,10346.5,8.67627013630731,1800,0,1,0,0,"Garfield: His Nine Lives"
"139",0,0,-0.2,0,7.33804213135069,0,779,"Norman, Howard","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Girl Who Dreamed Only Geese and Other Stories of the Far North, The"
"140",0,0,-0.2,0,7.33804213135069,0,1061,"Park, Barbara","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Junie B. Jones is Captain Field Day"
"141",0,0,-0.2,0,7.33804213135069,0,1083,"de Haan, Linda","CO",0,10346.5,8.67627013630731,1800,0,0,1,0,"King & King"
"142",0,0,-0.2,0,7.33804213135069,1,1105,"Lussier, Paul","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Last Refuge of Scoundrels"
"143",0,0,-0.2,0,7.33804213135069,0,1564,"Dahl, Tessa","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Same But Different, The"
"144",0,0,-0.2,0,7.33804213135069,0,1620,"White, Stever & David Weber","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"Shiva Option, The"
"145",0,0,-0.2,0,7.33804213135069,0,1747,"Wolfe, Daniel","CO",0,10346.5,8.67627013630731,1800,0,0,1,0,"T.E. Lawrence: Lives of Notable Gay Men and Lesbians"
"146",0,0,-0.2,0,7.33804213135069,0,1942,"Lester, Julius and Joe Cepeda","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"What a Truly Cool World"
"147",0,0,-0.2,0,7.33804213135069,0,1962,"Johnson, Kevin and James R. White","CO",0,10346.5,8.67627013630731,1800,0,0,0,0,"What's with the Dudes at the Door?"
"148",0,0,-0.2,0,7.33804213135069,0,1977,"Manoy, Lauren","CO",0,10346.5,8.67627013630731,1800,1,0,0,0,"Where to Park Your Broomstick"
"149",0,0,-0.2,0,7.33804213135069,0,2063,"Stieg, William","CO",0,10346.5,8.67627013630731,1800,0,0,0,1,"Zeke Pippin"
"150",0,0,-0.2,0,7.33804213135069,1,945,"Longman, Christina","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Human Body, The"
"151",0,0,-0.2,0,7.33804213135069,1,1218,"Hijuelos, Oscar","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Mambo Kings Play Songs of Love"
"152",0,0,-0.2,0,7.33804213135069,0,1240,"Meyer, Carolyn","CO",0,10346.5,8.67627013630731,1440,0,1,0,0,"Mary, Bloody Mary"
"153",0,1,-0.2,0,7.33804213135069,0,1409,"Naylor, Phyllis Reynolds","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Outrageously Alice"
"154",0,0,-0.2,0,7.33804213135069,0,1514,"Maderas, Linda","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Ready, Set, Grow!"
"155",0,0,-0.2,0,7.33804213135069,0,1776,"","CO",0,10346.5,8.67627013630731,1440,0,0,0,0,"Thanksgiving Day"
"156",0,0,-0.2,0,7.33804213135069,0,2051,"Franco, Betsy","CO",0,10346.5,8.67627013630731,1440,0,1,0,0,"You Hear Me?"
"157",0,0,-0.2,0,7.33804213135069,0,984,"Horn, Stephen","CO",0,10346.5,8.67627013630731,1426,0,1,0,0,"In Her Defense"
"158",0,0,-0.2,0,7.33804213135069,1,1015,"Helfrich, Mark","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Naked Pictures of My Ex-Girlfriend"
"159",0,0,-0.2,0,7.33804213135069,1,1445,"Phillipe, Pierre","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Picasso Days, 1881-1935"
"160",0,0,-0.2,0,7.33804213135069,0,1875,"Willhoite, Michael","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Uncle What-is-it Is Coming to Visit"
"161",0,0,-0.2,0,7.33804213135069,1,1897,"Tan, Cecilia","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Velderet"
"162",0,0,-0.2,0,7.33804213135069,0,1924,"Crew, Gary","CO",0,10346.5,8.67627013630731,1426,0,0,0,0,"Water Tower"
"163",0,0,-0.2,0,7.33804213135069,0,2054,"Goldsmith, Olivia","CO",0,10346.5,8.67627013630731,1426,0,1,0,0,"Young Wives"
"164",0,0,-0.2,0,7.33804213135069,1,221,"Gould, Judith","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Best is Yet to Come"
"165",0,0,-0.2,0,7.33804213135069,0,426,"N/A","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Complete Idiot's Guide to Day Trading"
"166",0,0,-0.2,0,7.33804213135069,0,731,"Sandison, David","CO",0,10346.5,8.67627013630731,1425,0,0,0,0,"Golden Years - 1950"
"167",0,0,-0.2,0,7.33804213135069,0,1747,"Wolfe, Daniel","CO",0,10346.5,8.67627013630731,1352,0,0,1,0,"T.E. Lawrence: Lives of Notable Gay Men and Lesbians"
"168",0,1,7.1,0,4.43804213135068,0,982,"Schwartz, Alvin","CT",0,16247.5,7.37627013630731,2229,1,0,0,1,"Scary Stories to Tell in the Dark"
"169",0,0,7.1,0,4.43804213135068,1,629,"Chilton, Ida","CT",0,16247.5,7.37627013630731,1560,1,0,0,1,"Empty Grave, The"
"170",0,0,7.1,0,4.43804213135068,1,1553,"Burroughs, Augusten","CT",0,16247.5,7.37627013630731,1254,0,1,1,0,"Running With Scissors"
"171",0,0,7.1,0,4.43804213135068,1,416,"Sinclair, April","CT",0,16247.5,7.37627013630731,480,0,1,0,0,"Coffee Will Make You Black"
"172",1,0,7.1,0,4.43804213135068,1,456,"Lebert, Benjamin","CT",0,16247.5,7.37627013630731,515,0,0,0,0,"Crazy: A Novel"
"173",0,0,7.1,1,4.43804213135068,0,990,"McDonald, Brian","CT",0,16247.5,7.37627013630731,3525,0,0,0,1,"In the Middle of the Night"
"174",0,1,7,1,3.03804213135068,1,1941,"Crutcher, Chris","DE",0,9167.5,0.97627013630731,3414,0,1,0,1,"Whale Talk"
