,Species,Zone,Tree,Tree.height,Tree.girth,Strata,Branch,Branch.length,Length,Width,Area,Petiole.length,Petiole.width,Herbivory,Stomata,Branchnum
26,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,3,25,10.39,4.26,32.95,7.5,1.6,2,66,16
27,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,3,25,9.03,3.99,28.02,7,1.4,5,66,16
28,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,3,25,9.45,4.31,31.17,7.6,1.4,0,66,16
29,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,3,25,9.28,4.49,32.03,8.6,1.4,1,66,16
30,Cassia fistula,Dry Thorn,1,3.5,32.5,Mid,3,25,9.6,4.32,31.58,7.6,1.7,0,66,16
31,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,1,29,9.94,4.3,32.21,7.8,1.6,0,36,11
32,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,1,29,10.57,4.68,36.25,8.1,1.6,0,36,11
33,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,1,29,10.88,4.25,33.99,8.7,1.9,0,36,11
34,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,1,29,11.16,4.34,35.25,8,1.5,0,36,11
35,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,1,29,10.27,3.96,30.62,7.8,1.5,0,36,11
36,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,2,28,11.02,4.68,37.27,9,1.7,0,36,12
37,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,2,28,9.17,4.25,30.13,8.1,1.6,4,36,12
38,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,2,28,10.64,4.51,35.24,8.6,1.5,0,36,12
39,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,2,28,11.03,4.75,37.77,7.7,1.5,0,36,12
40,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,2,28,10.34,4.39,33.73,7.6,1.5,2,36,12
41,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,3,31,10.86,4.61,36.42,8.7,1.5,0,36,13
42,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,3,31,10.43,4.8,36.76,7.6,1.5,3,36,13
43,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,3,31,11.36,4.88,39.41,6.9,1.4,0,36,13
44,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,3,31,10.3,4.73,35.98,6.5,1.5,1,36,13
45,Cassia fistula,Dry Thorn,1,3.5,32.5,Bottom,3,31,8.92,4.34,30.18,8.3,1.4,5,36,13
46,Cassia fistula,Dry Thorn,2,5,26,Upper,1,26,6.59,3.6,19.82,7.7,1.3,1,60,27
47,Cassia fistula,Dry Thorn,2,5,26,Upper,1,26,14.18,5.49,49.98,8.7,1.5,10,60,27
48,Cassia fistula,Dry Thorn,2,5,26,Upper,1,26,11,4.58,36.53,8.3,1.4,2,60,27
49,Cassia fistula,Dry Thorn,2,5,26,Upper,1,26,10.39,4.46,34.33,8.4,1.5,0,60,27
50,Cassia fistula,Dry Thorn,2,5,26,Upper,1,26,9.14,4.68,33.02,7.9,1.4,40,60,27
51,Cassia fistula,Dry Thorn,2,5,26,Upper,2,33,12.35,5.49,45.84,9.2,1.8,0,60,28
52,Cassia fistula,Dry Thorn,2,5,26,Upper,2,33,12.94,5.33,46.08,8.5,1.7,12,60,28
53,Cassia fistula,Dry Thorn,2,5,26,Upper,2,33,10.31,4.95,37.52,9.5,1.5,10,60,28
54,Cassia fistula,Dry Thorn,2,5,26,Upper,2,33,11.31,5.6,44.25,9.4,1.5,3,60,28
55,Cassia fistula,Dry Thorn,2,5,26,Upper,2,33,11.58,5.12,41.56,8.4,1.6,0,60,28
56,Cassia fistula,Dry Thorn,2,5,26,Upper,3,29,8.02,4.21,27.25,6.7,1.7,1,60,29
57,Cassia fistula,Dry Thorn,2,5,26,Upper,3,29,11.11,5.04,39.94,7.8,1.7,1,60,29
58,Cassia fistula,Dry Thorn,2,5,26,Upper,3,29,10.32,4.6,35.13,6.8,1.8,1,60,29
59,Cassia fistula,Dry Thorn,2,5,26,Upper,3,29,8.95,4.4,30.66,7.4,1.4,3,60,29
60,Cassia fistula,Dry Thorn,2,5,26,Upper,3,29,8.32,4.09,27.11,6.4,1.4,25,60,29
61,Cassia fistula,Dry Thorn,2,5,26,Mid,1,31,12.62,4.5,39.65,7.6,1.6,16,68,24
62,Cassia fistula,Dry Thorn,2,5,26,Mid,1,31,9.6,4.89,35.5,7.8,1.6,5,68,24
63,Cassia fistula,Dry Thorn,2,5,26,Mid,1,31,11.77,5.34,43.5,7,1.6,3,68,24
64,Cassia fistula,Dry Thorn,2,5,26,Mid,1,31,11.6,4.57,37.82,7.4,1.6,10,68,24
65,Cassia fistula,Dry Thorn,2,5,26,Mid,1,31,12.05,5.05,42.14,8,1.7,9,68,24
66,Cassia fistula,Dry Thorn,2,5,26,Mid,2,40,13.11,5.85,50.04,7.9,1.7,0,68,25
67,Cassia fistula,Dry Thorn,2,5,26,Mid,2,40,11.71,4.76,39.38,7.6,1.7,3,68,25
68,Cassia fistula,Dry Thorn,2,5,26,Mid,2,40,9.76,5.02,36.75,7.5,1.6,2,68,25
69,Cassia fistula,Dry Thorn,2,5,26,Mid,2,40,10.86,5.08,39.65,8.8,1.8,4,68,25
70,Cassia fistula,Dry Thorn,2,5,26,Mid,2,40,12.33,5.25,44.15,7.3,1.6,0,68,25
71,Cassia fistula,Dry Thorn,2,5,26,Mid,3,35,11.58,4.55,37.64,8.9,1.7,0,68,26
72,Cassia fistula,Dry Thorn,2,5,26,Mid,3,35,11.33,5.18,41.4,8.8,1.8,5,68,26
73,Cassia fistula,Dry Thorn,2,5,26,Mid,3,35,9.47,4.76,34.31,7.9,1.7,2,68,26
74,Cassia fistula,Dry Thorn,2,5,26,Mid,3,35,9.7,4.8,35.11,9.4,1.6,8,68,26
75,Cassia fistula,Dry Thorn,2,5,26,Mid,3,35,10.57,5.22,39.96,6.6,1.6,0,68,26
76,Cassia fistula,Dry Thorn,2,5,26,Bottom,1,28,11.52,5.13,41.49,7.8,1.8,1,40,21
77,Cassia fistula,Dry Thorn,2,5,26,Bottom,1,28,10.58,5.05,38.82,8,1.6,1,40,21
78,Cassia fistula,Dry Thorn,2,5,26,Bottom,1,28,11.06,4.43,35.64,6.6,1.8,0,40,21
79,Cassia fistula,Dry Thorn,2,5,26,Bottom,1,28,11.02,4.87,38.57,7,1.6,12,40,21
80,Cassia fistula,Dry Thorn,2,5,26,Bottom,1,28,9.16,4.66,32.92,7.9,1.7,2,40,21
81,Cassia fistula,Dry Thorn,2,5,26,Bottom,2,24,9.66,4.46,32.68,5.5,1.6,0,40,22
82,Cassia fistula,Dry Thorn,2,5,26,Bottom,2,24,8.31,3.9,25.78,7.4,1.6,0,40,22
83,Cassia fistula,Dry Thorn,2,5,26,Bottom,2,24,10.66,4.44,34.8,6.3,1.5,2,40,22
84,Cassia fistula,Dry Thorn,2,5,26,Bottom,2,24,9.86,4.64,34.37,6.3,1.6,0,40,22
85,Cassia fistula,Dry Thorn,2,5,26,Bottom,2,24,8.66,4.11,28.01,7.1,1.6,0,40,22
86,Cassia fistula,Dry Thorn,2,5,26,Bottom,3,17,8.43,4.67,31.34,8.7,1.5,20,40,23
87,Cassia fistula,Dry Thorn,2,5,26,Bottom,3,17,12.33,5.08,42.98,8.3,1.6,3,40,23
88,Cassia fistula,Dry Thorn,2,5,26,Bottom,3,17,8.26,4.61,30.54,8.4,1.6,38,40,23
89,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,1,41,12.79,6.95,56.87,11.6,2,3,52,37
90,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,1,41,12.17,6.64,53.34,11.6,1.6,0,52,37
91,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,1,41,12.18,6.39,51.65,10.4,1.5,0,52,37
92,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,1,41,10.71,5.48,42.07,9.4,1.5,0,52,37
93,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,1,41,11.37,6.36,49.61,11.2,1.6,6,52,37
94,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,2,41,9.38,4.24,30.53,8.5,1.2,0,52,38
95,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,2,41,10.36,4.76,36.32,8.9,1.6,3,52,38
96,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,2,41,10.52,5.09,38.95,10.5,1.6,0,52,38
97,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,2,41,10.18,5.41,40.39,9.8,1.6,0,52,38
98,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,2,41,10.34,5.48,41.23,10.2,1.5,2,52,38
99,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,3,37,9.88,4.83,35.72,9.5,1.5,0,52,39
100,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,3,37,6.58,2.74,13.89,6.2,1.1,0,52,39
101,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,3,37,8.93,4.54,31.58,8.8,1.4,0,52,39
102,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,3,37,9.68,5.23,38.02,10.2,1.6,0,52,39
103,Cassia fistula,Dry Thorn,3,5.5,44.5,Upper,3,37,9.54,4.73,34.26,10.2,1.4,5,52,39
104,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,1,29,8.92,4.83,33.55,9.7,1.5,0,80,34
105,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,1,29,7.07,4.21,25.1,6.8,1.2,3,80,34
106,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,1,29,8.51,4.08,27.47,9.1,1.2,0,80,34
107,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,1,29,9.4,4.7,33.74,9.4,1.4,0,80,34
108,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,1,29,9.56,4.66,33.83,10.7,1.5,0,80,34
109,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,2,37,9.74,4.8,35.2,9.7,1.3,0,80,35
110,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,2,37,8.54,4.79,32.42,8.7,1.3,0,80,35
111,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,2,37,10.36,4.63,35.43,8.5,1.5,0,80,35
112,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,2,37,9.8,4.16,30.93,7.6,1.5,0,80,35
113,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,2,37,10.13,4.68,35.25,9.2,1.4,0,80,35
114,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,3,36,9.96,4.83,35.9,10.8,1.5,0,80,36
115,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,3,36,8.66,4.73,32.27,10.3,1.4,0,80,36
116,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,3,36,10.29,4.97,37.61,11.2,1.4,0,80,36
117,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,3,36,10.24,4.4,33.58,11,1.5,0,80,36
118,Cassia fistula,Dry Thorn,3,5.5,44.5,Mid,3,36,10.65,4.65,36.22,10.2,1.4,0,80,36
119,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,1,34,11.42,5.86,46.28,9.4,1.7,0,58,31
120,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,1,34,10.09,5.76,42.59,8.8,1.6,0,58,31
121,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,1,34,8.91,5.25,36.41,10.4,1.4,0,58,31
122,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,1,34,10.17,5.72,42.49,8.9,1.5,0,58,31
123,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,1,34,10.35,5.36,40.43,10,1.7,0,58,31
124,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,2,35,7.45,4.28,26.44,7.7,1.2,0,58,32
125,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,2,35,9.53,4.43,32.18,8.1,1.3,3,58,32
126,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,2,35,8.34,4.18,27.77,8.3,1.3,1,58,32
127,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,2,35,7.57,2.58,15.03,5.4,1,30,58,32
128,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,2,35,9.5,4.45,32.25,8.9,1.2,1,58,32
129,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,3,34,8.48,3.14,20.94,4.2,1,0,58,33
130,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,3,34,7.74,2.97,18.09,5.1,1.1,0,58,33
131,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,3,34,7.57,4.02,24.93,7.5,1.4,1,58,33
132,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,3,34,9.1,3.81,26.94,6.7,1.3,0,58,33
133,Cassia fistula,Dry Thorn,3,5.5,44.5,Bottom,3,34,8.28,4.52,29.97,8,1.4,5,58,33
134,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,1,33,11.27,6.23,48.49,9.9,1.8,0,58,47
135,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,1,33,12.86,5.41,46.45,8.8,1.8,0,58,47
136,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,1,33,11.5,5.49,43.92,8.2,1.8,0,58,47
137,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,1,33,11.43,6.45,50.36,9.5,2,0,58,47
138,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,1,33,10.98,6.17,47.42,9.9,1.7,0,58,47
139,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,2,32,9.79,4.67,34.42,7.2,1.6,8,58,48
140,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,2,32,9.41,4.59,33.01,7.2,1.5,0,58,48
141,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,2,32,9.64,5.42,39.23,9.7,1.7,0,58,48
142,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,2,32,10.74,4.75,37.11,7,1.6,0,58,48
143,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,2,32,10.05,4.78,35.76,6.2,1.6,0,58,48
144,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,3,31,11.4,5.82,45.96,7.9,1.8,0,58,49
145,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,3,31,10.58,4.95,38.13,6.7,1.5,0,58,49
146,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,3,31,10.22,6.13,45.43,9.9,1.8,0,58,49
147,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,3,31,10.66,5.74,43.74,9.8,1.8,0,58,49
148,Cassia fistula,Dry Thorn,4,7.5,28.3,Upper,3,31,8.82,5.68,39.17,7.7,1.9,6,58,49
149,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,1,20,8.17,3.95,25.8,8.4,1.4,0,78,44
150,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,1,20,8.58,4.39,29.76,5.9,1.6,9,78,44
151,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,1,20,9.56,4.15,30.32,7.2,1.5,0,78,44
152,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,1,20,8.44,4.33,29.03,7.8,1.3,5,78,44
153,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,1,20,7.93,3.08,19.28,4.6,1.4,3,78,44
154,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,2,23,10.67,4.78,37.16,8,1.2,0,78,45
155,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,2,23,10.7,4.86,37.78,7.6,1.6,0,78,45
156,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,2,23,8.8,5.28,36.37,8.6,1.6,20,78,45
157,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,2,23,7.89,4.52,29.09,7.8,1.4,4,78,45
158,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,2,23,9.76,4.64,34.14,6.7,1.5,0,78,45
159,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,3,26,10.9,4.88,38.37,8.8,1.6,0,78,46
160,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,3,26,11.33,5.4,42.92,8.4,1.6,1,78,46
161,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,3,26,11.83,5.15,42.33,7.5,1.8,9,78,46
162,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,3,26,11.9,5.27,43.31,7.2,1.8,0,78,46
163,Cassia fistula,Dry Thorn,4,7.5,28.3,Mid,3,26,11.14,5.2,41.11,8,1.5,0,78,46
164,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,1,30,11.78,4.83,40.02,6.9,1.5,0,72,41
165,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,1,30,10.97,4.02,32.62,6.1,1.4,0,72,41
166,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,1,30,7.08,4.84,29.46,8.5,1.6,4,72,41
167,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,1,30,10.75,5.25,40.57,8.6,1.8,0,72,41
168,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,1,30,7.12,4.82,29.41,7.2,1.4,5,72,41
169,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,2,32,10,3.99,30.22,5,1.6,25,72,42
170,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,2,32,11.49,5.55,44.31,6.7,1.9,6,72,42
171,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,2,32,10.52,4.75,36.62,6.4,1.8,1,72,42
172,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,2,32,11.53,5.12,41.44,6.8,1.8,13,72,42
173,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,2,32,10.79,5.49,42.31,7.1,1.8,10,72,42
174,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,3,29,12.04,4.88,40.95,8.9,2,2,72,43
175,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,3,29,10.09,4.48,33.79,7,1.5,0,72,43
176,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,3,29,11.6,4.24,35.55,7.3,1.6,5,72,43
177,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,3,29,10.51,4.22,32.95,7.7,1.8,3,72,43
178,Cassia fistula,Dry Thorn,4,7.5,28.3,Bottom,3,29,10.55,4.68,36.2,7.4,1.6,10,72,43
179,Cassia fistula,Dry Thorn,5,7,36,Upper,1,24,9.54,4.28,31.17,7.8,2,3,60,57
180,Cassia fistula,Dry Thorn,5,7,36,Upper,1,24,10.13,4.32,32.78,9.4,2.1,0,60,57
181,Cassia fistula,Dry Thorn,5,7,36,Upper,1,24,8.38,4.31,28.75,8.1,1.9,2,60,57
182,Cassia fistula,Dry Thorn,5,7,36,Upper,1,24,9.56,4.16,30.39,9,2,0,60,57
183,Cassia fistula,Dry Thorn,5,7,36,Upper,1,24,9.38,4.06,29.3,8,1.9,1,60,57
184,Cassia fistula,Dry Thorn,5,7,36,Upper,2,16,8.82,4.12,28.44,7.9,2,0,60,58
185,Cassia fistula,Dry Thorn,5,7,36,Upper,2,16,7.71,4.12,25.93,7.3,1.6,0,60,58
186,Cassia fistula,Dry Thorn,5,7,36,Upper,2,16,9.07,4.4,30.93,8.3,1.9,0,60,58
187,Cassia fistula,Dry Thorn,5,7,36,Upper,2,16,8.6,3.88,26.29,7.6,1.8,1,60,58
188,Cassia fistula,Dry Thorn,5,7,36,Upper,2,16,8.42,4,26.71,7.4,1.6,0,60,58
189,Cassia fistula,Dry Thorn,5,7,36,Upper,3,19,9.46,4.79,34.5,8.9,2,2,60,59
190,Cassia fistula,Dry Thorn,5,7,36,Upper,3,19,10.19,4.98,37.45,9,2.2,0,60,59
191,Cassia fistula,Dry Thorn,5,7,36,Upper,3,19,7.02,4.63,27.88,8.3,1.8,3,60,59
192,Cassia fistula,Dry Thorn,5,7,36,Upper,3,19,9.6,4.93,35.77,8.4,1.9,0,60,59
193,Cassia fistula,Dry Thorn,5,7,36,Upper,3,19,8.09,4.04,26.24,8.4,2,22,60,59
194,Cassia fistula,Dry Thorn,5,7,36,Mid,1,23,10.16,4.61,34.84,8.1,2.2,12,78,54
195,Cassia fistula,Dry Thorn,5,7,36,Mid,1,23,6.34,3.46,18.3,7.9,1.6,0,78,54
196,Cassia fistula,Dry Thorn,5,7,36,Mid,1,23,7.71,4.29,27.1,8.1,1.9,65,78,54
197,Cassia fistula,Dry Thorn,5,7,36,Mid,1,23,7.71,3.42,21.12,9.2,1.8,0,78,54
198,Cassia fistula,Dry Thorn,5,7,36,Mid,1,23,8.71,4.1,28.06,8.2,1.6,0,78,54
199,Cassia fistula,Dry Thorn,5,7,36,Mid,2,21,7.73,3.72,23.23,6.9,1.7,2,78,55
200,Cassia fistula,Dry Thorn,5,7,36,Mid,2,21,8.96,3.78,26.42,6.6,1.8,10,78,55
201,Cassia fistula,Dry Thorn,5,7,36,Mid,2,21,9.18,4.16,29.53,7.9,1.9,3,78,55
202,Cassia fistula,Dry Thorn,5,7,36,Mid,2,21,6.17,3.6,18.88,8.5,1.5,0,78,55
203,Cassia fistula,Dry Thorn,5,7,36,Mid,2,21,8.32,4.05,26.83,8,1.7,8,78,55
204,Cassia fistula,Dry Thorn,5,7,36,Mid,3,18,9.92,4.33,32.37,8.8,1.9,0,78,56
205,Cassia fistula,Dry Thorn,5,7,36,Mid,3,18,9.66,4.37,32.06,6.7,1.8,15,78,56
206,Cassia fistula,Dry Thorn,5,7,36,Mid,3,18,8.53,4.11,27.72,7.7,1.7,0,78,56
207,Cassia fistula,Dry Thorn,5,7,36,Mid,3,18,7.73,3.84,24.05,8,1.5,10,78,56
208,Cassia fistula,Dry Thorn,5,7,36,Mid,3,18,9.93,4.53,33.77,8.3,1.7,0,78,56
209,Cassia fistula,Dry Thorn,5,7,36,Bottom,1,19,10.92,4.69,37.11,8.9,1.9,5,92,51
210,Cassia fistula,Dry Thorn,5,7,36,Bottom,1,19,9.88,4.61,34.21,8.2,1.8,0,92,51
211,Cassia fistula,Dry Thorn,5,7,36,Bottom,1,19,10.35,4.75,36.23,9.2,1.9,0,92,51
212,Cassia fistula,Dry Thorn,5,7,36,Bottom,1,19,9.36,4.04,29.11,8.2,1.8,0,92,51
213,Cassia fistula,Dry Thorn,5,7,36,Bottom,1,19,10,4.31,32.42,7.7,1.9,10,92,51
214,Cassia fistula,Dry Thorn,5,7,36,Bottom,2,22,8.58,4.6,31.2,7.6,1.9,0,92,52
215,Cassia fistula,Dry Thorn,5,7,36,Bottom,2,22,8.91,4.13,28.71,7.7,1.8,0,92,52
216,Cassia fistula,Dry Thorn,5,7,36,Bottom,2,22,8.43,4.22,28.25,8.5,2,21,92,52
217,Cassia fistula,Dry Thorn,5,7,36,Bottom,2,22,9.71,4.39,32.31,8.1,2,0,92,52
218,Cassia fistula,Dry Thorn,5,7,36,Bottom,2,22,8.4,3.86,25.7,7.8,1.8,0,92,52
219,Cassia fistula,Dry Thorn,5,7,36,Bottom,3,23,11.89,5.25,43.15,8.9,2,0,92,53
220,Cassia fistula,Dry Thorn,5,7,36,Bottom,3,23,10.59,4.87,37.6,8.1,2,0,92,53
221,Cassia fistula,Dry Thorn,5,7,36,Bottom,3,23,10.2,4.81,36.31,7.6,2,0,92,53
222,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,1,33,10.63,4.66,36.25,7.3,1.6,5,60,67
223,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,1,33,9.22,4.19,29.83,6,1.3,3,60,67
224,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,1,33,12.28,5.06,42.73,8.2,1.6,6,60,67
225,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,1,33,15.29,5.18,50.36,8.2,1.7,10,60,67
226,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,1,33,14.03,4.85,45.24,6.4,1.4,9,60,67
227,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,2,33,15.96,6.28,59.44,8.9,1.9,25,60,68
228,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,2,33,16.89,5.81,58.31,9.2,1.7,20,60,68
229,Cassia fistula,Dry Deciduous,6,5,29.5,Upper,2,33,15.98,6.3,59.62,8.7,1.8,5,60,68
