name,ambiguity,distID,ideology,totalIssuePages,democrat,mismatch,incumbent,demHeterogeneity,attHeterogeneity,distLean
"GORELL, JEFF",0.4062,626,0.4584,8,0,0.384675723,0,0.55042172,1.356153258,-0.051182331
"CHU, JUDY",-0.0965,627,-0.5983,0,1,0.460405043,1,0.595231099,1.398739175,-0.243874184
"ORSWELL, JACK",0.4708,627,0.2594,9,0,0.397294957,0,0.595231099,1.398739175,-0.243874184
"SCHIFF, ADAM",0.1082,628,NA,0,1,NA,1,0.565778874,1.244128945,-0.61878094
NA,NA,628,NA,NA,0,NA,0,0.565778874,1.244128945,-0.61878094
"CARDENAS, TONY",0.4662,629,-2.7779,6,1,2.220782393,1,0.635234569,1.349049041,-0.625601251
"Leader, William",0.7532,629,0.4276,12,0,0.984717607,0,0.635234569,1.349049041,-0.625601251
"GARAMENDI, JOHN",0.7518,603,-1.2153,11,1,1.289120403,1,0.602342142,1.433975355,-0.051094802
"LOGUE, DANIEL",0.4578,603,0.7019,7,0,0.628079597,0,0.602342142,1.433975355,-0.051094802
"SHERMAN, BRAD",0.7474,630,-0.7421,11,1,0.409422739,1,0.558354765,1.363850452,-0.421235015
"REED SR., MARK STEVEN SR.",0.6947,630,0.2432,5,0,0.575877261,0,0.558354765,1.363850452,-0.421235015
"AGUILAR, PETE",0.4557,631,-1.4202,6,1,1.469159353,0,0.629970902,1.291920662,-0.073732262
"CHABOT, PAUL R DR.",0.2823,631,0.446,7,0,0.397040647,0,0.629970902,1.291920662,-0.073732262
"NAPOLITANO, GRACE",0.7424,632,-1.0014,0,1,1.032414815,1,0.624455617,1.22185682,-0.090071827
"ALAS, ARTURO E III",0.3025,632,0.8512,3,0,0.820185185,0,0.624455617,1.22185682,-0.090071827
"LIEU, TED",0.6605,633,-1.361,6,1,0.970516728,0,0.473871483,1.111534992,-0.473870814
"CARR, ELAN S.",0.4216,633,0.4436,8,0,0.834083272,0,0.473871483,1.111534992,-0.473870814
"BECERRA, XAVIER",-0.2028,634,NA,0,1,NA,1,0.677446284,1.155197496,-0.610829635
NA,NA,634,NA,NA,0,NA,0,0.677446284,1.155197496,-0.610829635
"TORRES, NORMA",0.5034,635,-0.2695,0,1,0.150316175,0,0.623567715,1.156963915,-0.22683659
NA,NA,635,NA,NA,0,NA,0,0.623567715,1.156963915,-0.22683659
"RUIZ, RAUL DR.",0.6384,636,-0.6088,7,1,0.503997958,1,0.597678999,1.372196252,-0.213741124
"NESTANDE, BRIAN",0.3806,636,0.892,6,0,0.996802042,0,0.597678999,1.372196252,-0.213741124
"BASS, KAREN",0.4965,637,-0.0438,0,1,0.681027531,1,0.655390848,1.221556798,-0.778311076
"KING, R ADAM",0.5428,637,0.0559,18,0,0.780727531,0,0.655390848,1.221556798,-0.778311076
"SANCHEZ, LINDA",0.3311,638,-0.588,0,1,0.582439306,1,0.610726863,1.222252833,-0.123375995
"CAMPOS, BENJAMIN",0.1512,638,0.8683,7,0,0.873860694,0,0.610726863,1.222252833,-0.123375995
"ANDERSON, PETER O",0.1919,639,-0.2073,5,1,0.266018759,0,0.579058983,1.256538224,-0.064845744
"ROYCE, ED MR.",0.5449,639,1.5248,6,0,1.466081241,1,0.579058983,1.256538224,-0.064845744
NA,NA,604,NA,NA,1,NA,0,0.490760131,1.420854655,0.166137344
"MCCLINTOCK, THOMAS",0.5966,604,0.1204,5,0,0.191990428,1,0.490760131,1.420854655,0.166137344
"ROYBAL-ALLARD, LUCILLE",0.666,640,-0.6153,1,1,0.243845129,1,0.637268594,1.358741665,-0.456544327
NA,NA,640,NA,NA,0,NA,0,0.637268594,1.358741665,-0.456544327
"TAKANO, MARK",0.5006,641,-0.6133,8,1,0.624460181,1,0.628462256,1.303306433,-0.108150648
"ADAMS, STEVE",0.1523,641,0.2514,5,0,0.240239819,0,0.628462256,1.303306433,-0.108150648
"SHERIDAN, TIMOTHY J",0.5825,642,-0.2565,7,1,0.647681268,0,0.561753215,1.377894705,0.237881073
"CALVERT, KEN",0.491,642,1.0524,7,0,0.661218732,1,0.561753215,1.377894705,0.237881073
"WATERS, MAXINE MS",NA,643,NA,NA,1,NA,1,0.666812103,1.148350126,-0.194450914
"WOOD, JOHN JR",0.737,643,-0.0054,5,0,0.078217029,0,0.666812103,1.148350126,-0.194450914
"HAHN, JANICE",0.8605,644,-1.6719,11,1,1.342006964,1,0.660095373,1.360563427,-0.418699813
NA,NA,644,NA,NA,0,NA,0,0.660095373,1.360563427,-0.418699813
"LEAVENS, DREW EUGENE",0.6503,645,-0.3505,16,1,0.635190539,0,0.526307078,1.390514528,0.140914953
"WALTERS, MIMI",0.5254,645,1.3347,10,0,1.050009461,0,0.526307078,1.390514528,0.140914953
"SANCHEZ, LORETTA",0.7364,646,-1.0259,11,1,1.006738277,1,0.630987089,1.420907808,-0.135760538
"NICK, ADAM",NA,646,NA,NA,0,NA,0,0.630987089,1.420907808,-0.135760538
"LOWENTHAL, ALAN",-0.7117,647,-0.5352,0,1,0.316146035,1,0.626041192,1.352279538,-0.317774271
"WHALLON, ANDREW",0.6118,647,-0.1516,4,0,0.067453965,0,0.626041192,1.352279538,-0.317774271
"SAVARY, SUZANNE JOYCE",0.5193,648,-0.9269,3,1,1.141364781,0,0.547276524,1.390270984,0.076970239
"ROHRABACHER, DANA",0.8337,648,0.5,6,0,0.285535219,1,0.547276524,1.390270984,0.076970239
"PEISER, DAVE",0.6135,649,-0.4038,18,1,0.457637654,0,0.528136159,1.314371598,-0.069290279
"ISSA, DARRELL",0.0082,649,NA,1,0,NA,1,0.528136159,1.314371598,-0.069290279
"THOMPSON, MIKE MR.",0.5884,605,-1.2141,9,1,0.825060779,1,0.57413467,1.299095999,-0.47255592
NA,NA,605,NA,NA,0,NA,0,0.57413467,1.299095999,-0.47255592
"KIMBER, JAMES HARVEY",0.7081,650,-0.8587,7,1,1.301759578,0,0.539831564,1.39642513,0.285119348
"HUNTER, DUNCAN D.",0.1947,650,1.8713,7,0,1.428240422,1,0.539831564,1.39642513,0.285119348
"VARGAS, JUAN C.",0.1802,651,-1.5334,2,1,1.366547379,1,0.628433011,1.292816326,-0.270241853
"MEADE, STEPHEN",NA,651,NA,NA,0,NA,0,0.628433011,1.292816326,-0.270241853
"PETERS, SCOTT",0.9788,652,-0.913,10,1,0.847680448,1,0.512093199,1.403308535,-0.177789977
"DEMAIO, CARL",0.5927,652,0.1594,15,0,0.224719552,0,0.512093199,1.403308535,-0.177789977
"DAVIS, SUSAN",0.8033,653,-1.766,9,1,1.431226712,1,0.579475193,1.292718464,-0.423143572
"WILSKE, LARRY ALBERT",0.4353,653,0.6628,10,0,0.997573288,0,0.579475193,1.292718464,-0.423143572
"MATSUI, DORIS",0.4648,606,-0.5083,8,1,0.290464717,1,0.643870701,1.34844857,-0.316664588
"MCCRAY, JOSEPH SR",0.3061,606,1.2415,5,0,1.459335283,0,0.643870701,1.34844857,-0.316664588
"BERA, AMERISH",0.5304,607,0.2854,6,1,0.137051916,1,0.574537076,1.380532459,0.016767068
"OSE, DOUG",0.5211,607,0.9256,9,0,0.777251916,0,0.574537076,1.380532459,0.016767068
"CONAWAY, ROBERT DEAN",0.0498,608,0.7551,0,1,0.399512222,0,0.587496675,1.075613372,0.205471091
"COOK, PAUL",0.4172,608,2.2666,8,0,1.911012222,1,0.587496675,1.075613372,0.205471091
"MCNERNEY, JERRY",0.5991,609,-0.2044,12,1,0.340352645,1,0.628704176,1.150746419,0.005480286
"AMADOR, ANTONIO CANDIA",0.3859,609,-0.1638,4,0,0.299752645,0,0.628704176,1.150746419,0.005480286
"DEGETTE, DIANA L.",0.952,801,-0.9471,6,1,0.624234196,1,0.555370524,1.325436621,-0.412301102
"WALSH, MARTIN H",0.3299,801,-0.1501,5,0,0.172765804,0,0.555370524,1.325436621,-0.412301102
"POLIS, JARED",-0.1812,802,-0.6839,7,1,0.545928315,1,0.467128456,1.396963558,-0.24394405
"LEING, GEORGE",0.4521,802,0.2322,7,0,0.370171685,0,0.467128456,1.396963558,-0.24394405
"TAPIA, ABEL J",0.4899,803,-0.0091,8,1,0.555863969,0,0.51427386,1.337023782,0.379548342
"TIPTON, SCOTT R.",0.6408,803,1.2058,12,0,0.659036031,1,0.51427386,1.337023782,0.379548342
"MEYERS, VICTOR S",0.5701,804,0.244,12,1,0.34846979,0,0.493509551,1.378252692,0.421166201
"BUCK, KENNETH R",0.0665,804,0.3121,5,0,0.28036979,0,0.493509551,1.378252692,0.421166201
"HALTER, IRVING LESLIE JR",0.3728,805,0.5413,7,1,0.142713568,0,0.517905267,1.312857328,0.504522236
"LAMBORN, DOUGLAS L",0.2445,805,1.7321,0,0,1.048086432,1,0.517905267,1.312857328,0.504522236
"ROMANOFF, ANDREW",0.7944,806,-0.2367,11,1,0.376047925,0,0.532725449,1.449318148,0.00857189
"COFFMAN, MICHAEL",0.4447,806,0.748,4,0,0.608652075,1,0.532725449,1.449318148,0.00857189
"PERLMUTTER, EDWIN G",0.4825,807,-0.111,10,1,0.138859826,1,0.510141597,1.37295417,-0.092944631
"YTTERBERG, DONALD G W",0.4551,807,0.6379,6,0,0.610040174,0,0.510141597,1.37295417,-0.092944631
"LARSON, JOHN B",0.7568,901,-0.8511,8,1,0.71028689,1,0.550620919,1.297104433,-0.246531335
"COREY, MATTHEW M",0.4723,901,1.175,11,0,1.31581311,0,0.550620919,1.297104433,-0.246531335
"COURTNEY, JOSEPH D",0.7085,902,-0.9405,5,1,0.830018626,1,0.478620826,1.33253764,-0.218912492
"CAVANAGH, LORI HOPKINS",0.5483,902,0.4953,15,0,0.605781374,0,0.478620826,1.33253764,-0.218912492
"DELAURO, ROSA L",1.0675,903,-1.536,21,1,1.35663578,1,0.534710533,1.313084662,-0.281634406
"BROWN, JAMES E",0.464,903,0.7463,18,0,0.92566422,0,0.534710533,1.313084662,-0.281634406
"HIMES, JIM",0.7956,904,-0.6223,36,1,0.439313851,1,0.52803886,1.289391838,-0.284932387
"DEBICELLA, DAN",0.5044,904,0.5935,8,0,0.776486149,0,0.52803886,1.289391838,-0.284932387
"ESTY, ELIZABETH",0.9218,905,-0.4195,27,1,0.498944505,1,0.522208741,1.343939638,-0.045973724
"GREENBERG, MARK",0.6559,905,1.2277,10,0,1.148255495,0,0.522208741,1.343939638,-0.045973724
"CARNEY, JOHN",0.7237,1000,-0.0775,5,1,0.005376018,1,0.55403954,NA,-0.183985814
"IZZO, ROSE",0.1829,1000,0.2046,0,0,0.276723982,0,0.55403954,NA,-0.183985814
"BRYAN, JAMES E",0.5813,1201,-0.1736,8,1,0.715570954,0,0.549327647,1.264181968,0.375184018
"MILLER, JEFFERSON B.",0.5357,1201,1.6221,5,0,1.080129046,1,0.549327647,1.264181968,0.375184018
"MCKENNA, MICHAEL PATRICK",0.5224,1210,-0.3678,10,1,0.698544716,0,0.542308596,1.34708331,0.182850011
"WEBSTER, DANIEL",0.511,1210,1.4237,7,0,1.092955284,1,0.542308596,1.34708331,0.182850011
"KOLLER, DAVID C",0.5003,1211,0.0956,10,1,0.312213472,0,0.512715804,1.296342827,0.25302568
"NUGENT, RICHARD B",0.1653,1211,0.4891,0,0,0.081286528,1,0.512715804,1.296342827,0.25302568
NA,NA,1212,NA,NA,1,NA,0,0.4835306,1.286253561,0.094979883
"BILIRAKIS, GUS M",0.7931,1212,0.3259,7,0,0.091656557,1,0.4835306,1.286253561,0.094979883
NA,NA,1213,NA,NA,1,NA,0,0.500614314,1.356651335,-0.020402823
"JOLLY, DAVID W.",0.4932,1213,1.3078,10,0,1.200272863,1,0.500614314,1.356651335,-0.020402823
"CASTOR, KATHY",0.7812,1214,-1.2376,5,1,1.143194361,1,0.607636899,1.362814229,-0.204274583
NA,NA,1214,NA,NA,0,NA,0,0.607636899,1.362814229,-0.204274583
"COHN, ALAN MICHAEL",0.5543,1215,-0.4551,11,1,0.739795077,0,0.546649042,1.345494722,0.140919085
"ROSS, DENNIS ALAN",0.6368,1215,1.4038,10,0,1.119104923,1,0.546649042,1.345494722,0.140919085
"LAWRENCE, HENRY",0.9482,1216,-1.8066,9,1,1.998797887,0,0.501827374,1.291867559,0.056694912
"BUCHANAN, VERNON",0.4846,1216,1.7505,3,0,1.558302113,1,0.501827374,1.291867559,0.056694912
"BRONSON, WILLIAM EMERY",0.5876,1217,-0.6357,15,1,1.021642605,0,0.531924108,1.084337356,0.23311096
"ROONEY, TOM MR.",0.3833,1217,1.0577,7,0,0.671757395,1,0.531924108,1.084337356,0.23311096
"MURPHY, PATRICK",0.7499,1218,-0.0325,15,1,0.29712789,1,0.529970696,1.25941968,0.122646722
"DOMINO, CARL J",0.5062,1218,0.4731,8,0,0.20847211,0,0.529970696,1.25941968,0.122646722
"FREEMAN, APRIL JUNE",0.7339,1219,0.0831,3,1,0.29028463,0,0.514428312,1.244759988,0.221676179
"CLAWSON, CURTIS J",0.5865,1219,0.6029,4,0,0.22951537,1,0.514428312,1.244759988,0.221676179
"GRAHAM, GWEN",0.0499,1202,0.2016,1,1,0.047415087,0,0.582658368,1.331829787,0.10843034
"SOUTHERLAND, WILLIAM STEVE II",0.6073,1202,1.2871,11,0,1.038084913,1,0.582658368,1.331829787,0.10843034
"HASTINGS, ALCEE L",0.5342,1220,NA,0,1,NA,1,0.623242519,1.299704343,-0.42276662
"BONNER, JAY ALAN",0.508,1220,1.0611,7,0,1.395459309,0,0.623242519,1.299704343,-0.42276662
"DEUTCH, THEODORE ELIOT",1.0184,1221,-0.5539,7,1,0.488604832,1,0.520337723,1.270823795,-0.177767774
NA,NA,1221,NA,NA,0,NA,0,0.520337723,1.270823795,-0.177767774
"FRANKEL, LOIS J.",0.7134,1222,-0.8372,7,1,0.674002828,1,0.528257813,1.344970374,-0.26691335
"SPAIN, PAUL DOUGLAS",0.5558,1222,0.0755,12,0,0.238697172,0,0.528257813,1.344970374,-0.26691335
"WASSERMAN SCHULTZ, DEBBIE",0.6443,1223,-1.9806,0,1,1.696460165,1,0.537833095,1.225906502,-0.377038812
"KAUFMAN, JOE",0.5222,1223,0.5384,12,0,0.822539835,0,0.537833095,1.225906502,-0.377038812
"WILSON, FREDERICA S",0.2008,1224,-1.2058,0,1,0.876800773,1,0.624961947,1.370893745,-0.417885947
"NEREE, DUFIRSTSON JULIO",NA,1224,NA,NA,0,NA,0,0.624961947,1.370893745,-0.417885947
NA,NA,1225,NA,NA,1,NA,0,0.533780589,1.246651958,-0.129438256
"DIAZ-BALART, MARIO",0.1696,1225,0.1855,0,0,0.197718427,1,0.533780589,1.246651958,-0.129438256
"GARCIA, JOE",1.0177,1226,-0.8372,6,1,0.691667901,1,0.528669959,NA,-0.250828255
"CURBELO, CARLOS MR.",0.2071,1226,0.8292,6,0,0.974732099,0,0.528669959,NA,-0.250828255
NA,NA,1227,NA,NA,1,NA,0,0.539761548,NA,-0.326381961
"ROS-LEHTINEN, ILEANA",0.7591,1227,0.7007,10,0,0.929207156,1,0.539761548,NA,-0.326381961
"WHEELER, MARIHELEN HADDOCK",0.5747,1203,-0.1733,9,1,0.555178257,0,0.552905059,1.285166805,0.22941013
"YOHO, THEODORE SCOTT",0.3565,1203,1.5668,10,0,1.184921743,1,0.552905059,1.285166805,0.22941013
NA,NA,1204,NA,NA,1,NA,0,0.531828127,1.3277069,0.292906838
"CRENSHAW, ANDER",0.6568,1204,1.197,9,0,0.745387997,1,0.531828127,1.3277069,0.292906838
"BROWN, CORRINE",0.7011,1205,-0.1415,9,1,0.169785813,1,0.629528285,1.302439424,-0.092556745
"SCURRY-SMITH, GLOREATHA",0.3746,1205,0.6789,6,0,0.650614187,0,0.629528285,1.302439424,-0.092556745
"COX, DAVID",0.4414,1206,-0.0673,5,1,0.36832384,0,0.523100695,1.336553867,0.155787392
"DESANTIS, RONALD D",0.2573,1206,NA,0,0,NA,1,0.523100695,1.336553867,0.155787392
"NEUMAN, WESLEY RYAN",0.7437,1207,-0.4073,70,1,0.510523386,0,0.517153654,1.348924224,-0.024321644
"MICA, JOHN L. MR.",0.736,1207,0.5718,12,0,0.468576614,1,0.517153654,1.348924224,-0.024321644
"ROTHBLATT, GABRIEL",0.4602,1208,0.1019,9,1,0.347687863,0,0.519209705,1.35130956,0.291063739
"POSEY, BILL",0.769,1208,0.5593,11,0,0.109712137,1,0.519209705,1.35130956,0.291063739
"GRAYSON, ALAN MARK",1.1254,1209,-1.4455,9,1,1.583188102,1,0.571578952,1.35477068,0.007060523
"PLATT, CAROL",0.2866,1209,NA,0,0,NA,0,0.571578952,1.35477068,0.007060523
"REESE, BRIAN CORWIN",0.882,1301,-1.0412,7,1,1.424678647,0,0.592473768,1.203868469,0.23086738
"CARTER, EARL LEROY",0.8427,1301,0.9709,15,0,0.587421353,0,0.592473768,1.203868469,0.23086738
"DIOUS, IVORY KENNETH",0.6566,1310,-0.0367,11,1,0.483325071,0,0.580690101,1.324237996,0.288365941
"HICE, JODY",0.5852,1310,1.3685,12,0,0.921874929,0,0.580690101,1.324237996,0.288365941
NA,NA,1311,NA,NA,1,NA,0,0.539426418,1.271403587,0.310765801
"LOUDERMILK, BARRY",0.7068,1311,1.2861,8,0,0.814874817,0,0.539426418,1.271403587,0.310765801
"BARROW, JOHN J.",0.5321,1312,0.5197,4,1,0.137734729,1,0.612162688,1.234672206,0.229489361
"ALLEN, RICHARD W",0.3424,1312,2.0351,11,0,1.653134729,0,0.612162688,1.234672206,0.229489361
"SCOTT, DAVID ALBERT",NA,1313,NA,NA,1,NA,1,0.605009897,1.270853486,-0.085401838
NA,NA,1313,NA,NA,0,NA,0,0.605009897,1.270853486,-0.085401838
NA,NA,1314,NA,NA,1,NA,0,0.531897985,NA,0.479237612
"GRAVES, JOHN THOMAS MR. JR.",0.3439,1314,2.8427,1,0,2.186454667,1,0.531897985,NA,0.479237612
"BISHOP, SANFORD D JR",0.8498,1302,-1.0293,10,1,1.343806626,1,0.626804268,1.21510612,0.168064267
"DUKE, GREGORY PAUL",0.0204,1302,0.7227,0,0,0.408193374,0,0.626804268,1.21510612,0.168064267
NA,NA,1303,NA,NA,1,NA,0,0.566192731,1.295124682,0.356355588
"WESTMORELAND, LYNN A.",0.5364,1303,1.2892,9,0,0.76790692,1,0.566192731,1.295124682,0.356355588
"JOHNSON, HENRY C 'HANK'",0.947,1304,-0.4277,10,1,0.25860216,1,0.607164621,1.320035241,-0.272286258
NA,1.2414,1304,1.3063,NA,0,1.47539784,0,0.607164621,1.320035241,-0.272286258
"LEWIS, JOHN R.",0.6517,1305,-0.9735,6,1,0.474391471,1,0.614245804,1.227234693,-0.572780548
NA,NA,1305,NA,NA,0,NA,0,0.614245804,1.227234693,-0.572780548
"MONTIGEL, ROBERT G",0.5519,1306,-0.0627,6,1,0.221229446,0,0.515238799,1.410228099,0.026037801
"PRICE, THOMAS EDMUNDS",0.6203,1306,1.341,5,0,1.182470554,1,0.515238799,1.410228099,0.026037801
"WIGHT, THOMAS DEE",0.6012,1307,-0.1634,0,1,0.57410099,0,0.591321735,1.330452511,0.255654936
"WOODALL, ROB REP.",0.5409,1307,0.9811,9,0,0.57039901,1,0.591321735,1.330452511,0.255654936
NA,NA,1308,NA,NA,1,NA,0,0.600046659,1.247532827,0.339968113
