price,date,bedrooms,bathrooms,sqft,floors,waterfront,yr_built,yr_renovated
685e3,300,3,1,1570,2,0,1922,0
309e3,209,3,1,1280,1,0,1959,0
488e3,198,3,2.5,3160,2,0,2003,0
210490,448,3,1,990,1,0,1966,0
785e3,196,4,2.5,2290,2,0,1981,0
45e4,482,3,1.75,1250,1,0,1953,0
135e4,434,3,2.5,2753,1,1,1953,0
228e3,258,3,1,1190,1,0,1955,0
345e3,412,5,2.5,3150,1,0,1966,0
6e5,364,3,1.75,1410,1,0,1950,0
585e3,400,2,1.75,1980,1,0,1981,0
92e4,426,5,2.25,2730,1.5,0,1927,0
885e3,131,4,2.5,2830,2,0,1995,0
292500,230,4,2.5,2250,2,0,2008,0
301e3,461,3,2.5,2420,2,0,2003,0
951e3,238,5,3.25,3250,2,0,1968,0
43e4,418,4,3,1850,2,0,1991,0
65e4,343,3,2.25,2150,1,0,1959,0
289e3,239,3,1.75,1260,1,0,1954,0
505e3,293,3,1.75,2519,2,0,1973,0
549e3,340,3,1.75,1540,3,0,2014,0
425e3,153,3,2.25,1660,1,0,1979,0
317625,323,3,2.75,2770,1.5,0,1925,0
975e3,251,4,2.5,2720,2,0,1989,0
287e3,281,4,2.5,2240,2,0,2005,0
204e3,236,3,1,1000,1,0,1968,0
1325e3,162,5,2.25,3200,1,0,1965,0
104e4,254,5,3.25,4770,1,0,1973,0
325e3,369,3,2,1260,1,0,1972,0
571e3,160,4,2,2750,1.5,0,1916,0
36e4,190,4,2.5,2380,2,0,2005,0
349e3,439,3,1.75,1790,1,0,1965,0
832500,308,4,4,3430,2,0,1986,0
38e4,285,4,1.75,1760,1,0,1956,0
48e4,474,3,1,1040,1,0,1941,0
41e4,159,3,1,1410,1,0,1956,0
72e4,446,4,2.5,3450,2,0,2002,0
39e4,335,3,2.5,2350,2,0,2003,0
36e4,355,4,2.5,1900,2,0,1992,0
355e3,300,2,1,2020,1,0,1948,0
356e3,392,3,1.5,1680,1,0,1964,0
315e3,152,3,1,960,1,0,1952,0
94e4,317,3,1.5,2140,2,0,1925,0
305e3,306,5,2.25,2660,1.5,0,1961,0
461e3,168,3,3.25,2770,2,0,2006,0
215e3,138,2,2.25,1610,2,0,1979,0
335e3,246,2,1.75,1030,2,0,2006,0
243500,141,4,2.5,1980,2,0,1988,0
1099880,434,5,2.75,3520,2,0,2001,0
153e3,421,3,1,1200,1,0,1962,0
43e4,205,3,1.5,1580,1,0,1939,0
7e5,356,3,1.5,1580,1,0,1939,0
905e3,250,4,2.5,3300,1,0,1946,1991
247500,453,3,1.75,1960,1,0,1967,0
199e3,254,4,1.5,1160,1,0,1975,0
314e3,191,3,1.75,1810,1,0,1980,0
437500,135,3,2.5,2320,2,0,1992,0
850830,161,3,2.5,2070,1.5,0,1910,0
555e3,299,3,2,1980,1.5,0,1929,0
699950,345,3,2.25,2190,2,0,1983,0
1088e3,279,3,2.5,2920,2,0,1950,2010
29e4,266,3,1,1210,1,0,1954,0
375e3,456,3,2.5,2340,1,0,1978,0
46e4,142,3,1,1670,1.5,0,1939,0
188500,203,2,1.75,1240,1,0,1985,0
68e4,428,4,2.5,3140,2,0,1991,0
47e4,238,5,1.75,2030,2,0,1942,0
597750,205,4,2.5,2310,2,0,1984,0
57e4,427,3,1.75,1260,1,0,1905,0
272500,258,3,1.75,1540,1,0,1980,0
329950,327,3,1.75,2080,1,0,1971,0
48e4,300,4,2.5,3230,2,0,2001,0
740500,324,3,3.5,4380,2,0,1900,1999
518500,176,3,3.5,1590,3,0,2010,0
205425,173,2,1,880,1,0,1945,0
171800,372,4,2,1570,1,0,1950,0
535e3,495,4,1,1610,1.5,0,1925,0
66e4,366,3,2.5,2400,1,0,1964,0
391500,322,3,2,1450,1,0,1987,0
395e3,460,2,1,770,1,0,1953,0
445e3,307,4,1.75,2100,1.5,0,1924,0
77e4,168,3,2.25,2910,2,0,1990,0
145e4,425,4,2.75,2750,1.5,0,1914,1992
445e3,197,3,2.25,2100,1,0,1967,0
26e4,197,4,2.25,2160,1,0,1978,0
822500,163,5,3.5,2320,2,0,1926,0
43e4,460,4,2.5,2070,2,0,2004,0
212e3,369,3,1.75,1060,1,0,1986,0
660500,482,4,2.25,2010,1,0,1986,0
784e3,162,3,3.5,3950,1.5,0,1989,0
453246,131,3,2.5,2010,2,0,2014,0
675e3,390,4,3.5,2140,3,0,2005,0
199e3,224,3,1.75,1320,1,0,1956,0
22e4,216,4,1.75,2020,1,0,1968,0
452e3,148,4,2.25,2590,1,0,1968,0
382500,187,2,1,1190,1,0,1981,0
519950,126,3,2.25,1170,3,0,2014,0
665e3,177,2,1,1110,1,0,1925,0
527700,188,5,2.5,2820,1,0,1968,0
205e3,492,3,1,1610,1,0,1962,0
42e4,469,3,1,1060,1,0,1923,0
5e5,422,4,2.25,2030,1,0,1961,0
921500,336,4,2.5,3670,2,0,1994,0
89e4,175,4,1,2550,2,0,1905,0
43e4,217,2,2.5,2420,2,0,2007,0
258e3,302,5,2,2260,1,0,1960,0
511e3,307,3,1,1430,1,0,1947,0
532170,231,3,2,1360,2,0,1990,0
56e4,463,3,1,1110,1.5,0,1947,0
282950,454,3,1,1250,1,0,1954,0
225e4,455,4,3.25,5180,2,0,2006,0
35e4,135,1,1,700,1,0,1942,0
215e3,208,3,1,1180,1,0,1967,0
65e4,323,5,3.5,3960,2,0,1996,0
32e4,218,4,2.75,2640,1,0,1967,0
247e3,316,3,2,1270,1.5,0,1916,2013
32e4,275,4,1.75,1760,1,0,1968,0
255e3,126,5,2.25,2060,1,0,1962,0
438e3,432,3,1.75,1780,1,0,1962,0
9e5,427,3,2.5,3400,2,0,2000,0
441e3,170,3,2.75,1910,1,0,1979,0
42e4,223,3,2,2020,1,0,1975,0
37e4,341,3,1.75,1580,1,0,1976,0
269950,414,2,1.75,1340,1,0,1949,0
807100,447,4,2.5,2680,2,0,1999,0
653e3,155,3,2.5,2680,1,0,1979,0
371500,161,3,2,1370,1,0,1964,0
284e3,439,3,1.75,1560,1,0,1954,0
272e3,366,3,1.75,2160,1,0,1978,0
313e3,121,3,1.5,1340,1.5,0,1955,0
917500,380,4,2.5,3880,2,0,1984,0
673e3,271,4,2.25,2590,2,0,1980,0
425e3,405,3,2.5,1120,2,0,2008,0
399950,189,5,2.75,1970,1,0,1986,0
385e3,149,3,1,1220,1,0,1901,0
269950,320,3,1.5,1950,1,0,1975,0
33e4,371,2,1,1350,1,0,1949,0
26e4,205,3,2.5,1670,2,0,1988,0
47e4,468,4,3,2380,1.5,0,1925,0
589e3,163,4,3,2440,2,0,1961,0
163500,203,2,1.5,1050,2,0,1996,0
835e3,247,4,2.75,3130,2,0,1993,0
1095e3,324,5,3,4090,1,0,1986,0
269e3,469,4,1.75,1490,1,0,1969,0
56e4,124,3,2.5,1900,2,0,1987,0
615e3,472,4,1,1330,1.5,0,1901,0
585188,338,3,2.25,2230,1,0,1975,0
305e3,229,3,1.75,1650,1,0,1977,0
166950,308,3,1,1190,1,0,1959,0
799e3,254,3,2.5,2140,1,0,1959,0
4e5,175,3,2.5,2180,1,0,1962,0
23e4,334,3,1,1060,1,0,1948,0
256883,134,3,2.5,1690,2,0,2003,0
423e3,314,4,2,1970,1.5,0,1920,0
465e3,203,3,2.5,2150,2,0,2007,0
44e4,377,3,2.5,1910,2,0,1997,0
385e3,286,3,1.75,1350,1,0,1969,0
21e4,434,3,1,860,1,0,1943,0
297e3,315,3,2.5,1940,2,0,1994,0
47e4,196,3,1,1010,1,0,1952,0
226500,215,3,1.5,1300,1,0,1976,0
274250,426,3,1,910,1,0,1962,0
84e4,215,4,1.75,2480,1,0,1966,0
677900,261,3,2.5,2440,2,0,2010,0
425e3,400,3,1,1010,1,0,1915,0
180250,326,2,0.75,900,1,0,1941,0
464e3,197,6,3,2300,2,0,1920,1994
32e4,476,4,2.25,1550,2,0,1993,0
625504,197,3,2.25,1270,2,0,2014,0
592500,134,4,2.5,2240,1,0,1983,0
465e3,378,3,2.5,2714,2,0,2005,0
477e3,146,4,2.75,1720,2,0,1978,0
28e4,379,2,1,850,1,0,1923,0
1505e3,416,5,3,3300,1,0,1957,1991
445838,183,3,2.5,2250,2,0,2000,0
1072e3,239,2,2.25,3900,1,0,1947,0
467e3,295,2,1.5,1320,1,0,1947,0
686e3,233,4,2.5,2760,2,0,1999,0
279950,155,3,2,1750,1,0,1961,0
527e3,246,4,2.25,2330,2,0,1987,0
325e3,260,3,2.25,2220,1,0,1966,0
328e3,245,3,2.25,2020,2,0,1994,0
39e4,154,3,2.25,1250,1,0,1942,0
479950,432,2,2,1510,1,0,2005,0
264950,148,4,2.25,1720,1,0,1978,0
235e3,379,3,1,1430,1,0,1961,0
516500,426,3,2.5,1480,2,0,2004,0
655e3,467,2,1.75,1450,2,1,1915,1978
5e5,166,4,2.75,2280,1,0,1960,0
315e3,324,6,2.75,2940,1,0,1978,0
213e3,323,2,1,1000,1,0,1961,0
475e3,244,3,1.5,2480,1.5,0,1947,0
1025e3,160,5,4,3760,2,0,1983,0
416e3,463,3,2,2220,1,0,1976,0
41e4,443,4,1,1970,1.5,0,1904,2005
8e5,181,3,3.5,3830,2,0,1993,0
472e3,148,6,2.5,4410,1,0,1965,0
225e3,341,3,1.75,1430,1,0,1968,0
21e4,273,2,1,830,1,0,1940,0
455e3,391,2,1,1430,1.5,0,1925,0
225e3,481,3,1,1300,1,0,1954,0
48e4,237,2,1,1030,1,0,1918,0
363e3,407,3,2.5,2740,2,0,1990,0
24e5,271,4,2.5,3650,1,1,2000,0
181e3,421,2,1.5,720,1,0,1954,0
25e4,437,4,2,2010,1,0,1976,0
481e3,476,3,1.75,1560,1,0,1918,0
26e4,265,3,2,1810,1,0,1978,0
455e3,132,4,2.5,3360,2,0,2001,0
415e3,455,3,2.25,1510,2,0,1991,0
349500,475,3,1,1400,1,0,1953,0
245e3,271,3,2.5,1730,2,0,1987,0
592500,138,2,2,1420,1.5,0,1928,0
385e3,292,4,1.75,2360,1,0,1955,0
315e3,406,3,1.75,1580,1,0,1974,0
255e3,327,3,1,1230,1,0,1979,0
693e3,240,4,2.5,2460,2,0,2006,0
78e4,335,3,1,1660,1.5,0,1911,0
237e3,296,3,1.75,1270,1,0,1960,0
525e3,349,3,2.25,2100,2,0,1979,0
425e3,482,2,1,770,1,0,1930,0
369900,299,1,0.75,760,1,1,1936,0
29e4,138,4,2.5,1700,2,0,1988,0
285e3,271,3,1,1120,1,0,1954,0
415e3,225,2,1,1070,1,0,1937,0
272500,463,3,2.5,2070,1,0,1979,0
29e5,488,4,3.25,5050,1.5,0,1982,2008
1365e3,279,4,4.75,5310,2,0,1989,0
436e3,485,2,1,1040,1,0,1939,0
21e4,289,3,1,1700,1,0,1967,0
236e3,267,3,1,1300,1,0,1961,0
331e3,327,3,1.75,1080,1,0,1954,2003
365e3,443,3,2.5,2653,2,0,2006,0
45e4,391,3,2,2290,1,0,1960,0
77e4,316,4,2.75,3820,2,0,2014,0
455e3,489,4,2.5,2210,1,0,1997,0
405e3,489,3,1.75,2390,1,0,1908,0
304900,183,4,1.75,2600,1,0,1969,0
17e4,422,2,1,860,1,0,1931,0
205e4,497,5,3,3830,2,0,1905,1994
78e4,180,4,2.5,3500,2,0,2005,0
33e4,464,3,3,2420,1,0,1988,0
37e4,247,4,2.5,2720,2,0,1992,0
467e3,289,5,2.25,2500,1,0,1979,0
405e3,404,3,1.75,1670,1,0,1980,0
675e3,182,5,2.25,2900,1,0,1985,0
5e5,223,2,1,1640,1,0,1954,0
389999,203,4,2.5,1890,2,0,1968,0
63e4,419,4,1.75,2950,1,0,1975,0
36e4,294,4,2.5,2160,2,0,1992,0
58e4,274,4,3,3280,2,0,1986,0
55e4,189,3,2,1970,2,0,1929,0
879e3,190,4,2.5,3360,2,0,1994,0
265e3,233,3,2,1320,1,0,1993,0
446500,427,3,2.5,2650,2,0,1990,0
404e3,152,3,1.5,2030,1,0,1963,0
267500,148,3,1.75,1590,1,0,1957,0
3075e3,174,4,5,4550,1,1,2002,0
335e3,222,3,2.5,2440,2,0,1998,0
576e3,169,3,2.5,1940,1,0,1948,0
208633,455,3,2.5,2040,2,0,2006,0
315e3,379,3,2.25,2200,1,0,1964,0
725e3,412,3,1.75,1920,1,0,1913,0
55e4,457,4,2.75,1800,1,0,1965,0
610750,162,4,2.25,2180,2,0,1984,0
550700,423,2,1,1010,1.5,0,1908,0
665e3,372,4,2.75,3320,2,0,1960,0
834e3,404,4,2.5,2370,1.5,0,1928,0
201e3,295,5,1.75,1660,1.5,0,1915,0
2384e3,121,5,2.5,3650,2,0,1921,0
1384e3,168,4,3.25,4290,1,0,1997,0
14e5,342,4,3.25,4290,1,0,1997,0
305e3,308,4,2.25,1950,1,0,1979,0
487e3,462,3,2,2590,1,0,1948,0
39e4,495,3,2.5,1930,1,0,1988,0
548e3,203,2,1,1470,1,0,1916,0
268750,325,4,1,800,1,0,1943,0
819900,132,5,2.75,3150,2,0,2013,0
52e4,295,3,2.25,2030,2,0,1984,0
23e4,201,3,2,1450,1,0,2003,0
24e4,397,3,1.75,1510,1,0,1969,0
232e3,247,2,1,1240,1,0,1922,1984
240500,434,2,1,1240,1,0,1922,1984
274975,299,3,2.5,3030,2,0,1987,0
74e4,247,4,2,2050,1.5,0,1922,0
186375,482,3,1,1000,1,0,1952,0
79e4,205,3,2.25,2370,1,0,1977,0
88e4,258,4,3.5,2800,2,0,1951,2002
279e3,470,6,1.75,2240,2,0,1955,0
295e3,209,3,2,1810,1,0,1991,0
64e4,462,2,1,1070,1,0,1924,0
94e4,183,4,2,2490,2,0,1968,0
26e4,279,4,2.5,1960,2,0,2003,0
559900,152,3,2.75,2930,1,0,2004,0
791500,202,4,2,1510,1.5,0,1911,0
265e3,237,3,1.75,1420,1,0,1954,0
245e3,485,3,1.75,1740,1,0,1954,0
485e3,478,4,1.75,2560,2,0,1962,0
684e3,309,4,3.5,3040,2,0,2010,0
425e3,251,3,1.75,2500,1,0,1957,0
309600,289,4,1.75,1275,1,0,1991,0
552250,198,4,2.5,2580,2,0,2002,0
165e3,203,4,1,1000,1,0,1943,0
239900,362,4,1,1000,1,0,1943,0
32e4,338,2,1,1070,1,0,1930,0
206600,293,3,2,1390,1,0,1987,0
387e3,470,4,1.75,2500,1,0,1973,0
299e3,154,1,0.75,560,1,0,1967,0
855e3,264,4,2.75,2270,2,0,1965,0
315e3,390,3,1,1900,1,0,1954,0
437500,336,2,1,990,1,0,1907,0
252e3,447,4,1.5,1550,1,0,1969,0
375e3,154,4,1.75,2200,1,0,1955,0
3e5,217,4,2.5,1910,2,0,2005,0
42e4,278,4,1,1750,1.5,0,1954,0
9e5,124,3,1,1330,1,0,1928,1954
679900,216,3,2.5,2440,2,0,2000,0
463e3,155,3,2.5,1640,2,0,1992,0
38e4,239,5,2.5,2760,2,0,1978,0
329500,343,4,2.5,1820,2,0,1994,0
604950,230,3,2.5,2110,1,0,2013,0
795e3,259,5,2.5,3040,1,0,1966,0
465e3,394,3,2,1840,2,0,1994,0
673e3,449,4,2.5,2990,2,0,2002,0
81e4,273,4,2.5,3520,2,0,1991,0
785e3,477,4,2.75,2440,1,0,1989,0
338e3,323,4,3,2090,1,0,1986,0
28e4,337,3,2.25,1430,2,0,1993,0
315e3,273,4,2.25,2180,1,0,1954,0
53e4,447,4,2.25,2180,1,0,1954,0
38e4,356,5,3,3450,2,0,2004,0
297e3,222,3,2.25,1450,2,0,1994,0
73e4,139,4,2.5,3230,2,0,2004,0
45e4,159,3,1.75,1640,1,0,1940,0
275e3,299,3,3,1590,1,0,1997,0
595e3,483,4,2,2020,2,0,1960,0
435e3,475,3,1.5,1300,1.5,0,1904,2014
27e4,258,2,1.5,1380,1,0,1954,0
95e4,216,3,3,4040,2,0,1986,0
389e3,436,4,2.25,2130,2,0,2001,0
56e4,385,4,2.25,2550,1,0,1968,0
135e4,208,5,3.5,4800,2,0,1998,0
799e3,314,4,2.25,2510,2,0,1969,0
365500,175,3,2,1410,1,0,1983,0
252350,134,3,2,1650,1,0,1979,0
403950,247,4,2.5,2120,2,0,1993,0
385e3,212,4,1.5,2040,1,0,1954,0
345e3,343,4,1,1550,1.5,0,1957,0
49e4,259,3,2.75,1980,2,0,1979,0
33e4,168,3,2.5,1600,2,0,2005,0
927e3,131,4,2.75,3300,2,0,1953,0
1118e3,208,4,2.5,3840,2,0,1983,0
33e4,484,2,1,1220,1,0,1950,0
53e4,432,5,2.25,2720,1,0,1958,0
365e3,173,4,2,1940,1,0,1962,0
378750,169,3,2.5,2160,1.5,0,1909,2011
269900,169,4,1.75,1530,1.5,0,1968,0
557e3,429,3,3.5,1710,2,0,2008,0
36e4,236,4,1.75,3730,1,0,1974,0
352e3,476,2,1,940,1,0,1937,0
437e3,419,3,2.5,1750,2,0,1994,0
322500,168,4,2.5,1820,2,0,1994,0
65e4,254,3,3.25,1510,2,0,2001,0
45e4,217,3,2,1290,3,0,2001,0
278500,471,3,2,1570,1,0,1998,0
364950,481,4,2.5,1930,2,0,1995,0
84e4,253,4,3.5,2840,1,0,1986,0
268e3,441,3,2.5,1550,2,0,1991,0
517534,196,2,1,833,1,0,2006,0
632925,307,3,2.5,2990,2,0,1978,0
577500,203,3,2.5,2000,2,0,1995,0
339e3,407,4,1.5,2390,1.5,0,1920,0
57e4,251,3,1.75,2910,1,0,1967,0
563500,176,4,1.75,2085,1,0,1964,0
423e3,369,4,2.25,2200,1,0,1962,0
355e3,356,3,2.25,1860,2,0,2012,0
155e4,190,5,4.25,6070,2,0,1999,0
482e3,336,2,1,950,1,0,1941,0
625e3,210,3,1.75,1600,1,0,1955,0
538e3,352,3,2.5,2250,2,0,1988,0
38e4,371,3,2.5,2280,2,0,1985,0
375e3,197,2,1,940,1,0,1909,0
245e3,457,3,2.5,1530,1,0,1996,0
31e4,317,5,1.75,2190,1,0,1947,1974
13e5,420,3,2,2350,1,0,1976,0
397e3,125,4,2,1440,1,0,1971,0
365e3,496,3,2.5,2200,2,0,2005,0
328500,300,4,3,2290,2,0,1990,0
988e3,250,4,3,4040,2,0,1987,0
1e6,202,4,2.5,2610,1.5,0,1922,0
237e3,245,3,2.5,1490,2,0,2005,0
525e3,261,4,2.5,2450,2,0,2003,0
749e3,258,4,2.5,1710,1,0,1976,2014
722500,232,5,2.5,4870,2,0,1983,0
843e3,435,3,2.5,3130,2,0,1991,0
438e3,188,2,2,1270,3,0,2000,0
578e3,258,3,1.75,2120,1,0,1977,0
227950,265,3,1.5,1670,1,0,1954,0
196e3,202,3,2.25,2070,2,0,1974,0
641e3,195,2,1,1420,1,0,1953,0
35e4,476,3,1.5,1250,1,0,1980,0
205e3,230,3,1,940,1,0,1960,0
4e5,335,3,1.75,1920,1,0,1968,0
103e4,313,3,2.5,3545,1,0,2005,0
505e3,442,3,2,1260,1,0,1972,0
475e3,281,5,2.5,2340,1,0,1975,0
52e4,308,3,2.25,2590,1,0,1977,0
145e4,486,3,4.5,3970,2,0,1977,1999
333500,364,3,1.75,1220,1,0,1965,0
232e3,417,3,1,1400,1,0,1976,0
691100,475,3,2.75,2360,1,0,1983,0
811e3,286,3,1.75,1870,1,0,1960,0
551e3,139,3,2.5,2830,2,0,2001,0
496500,372,3,2.5,2260,2,0,1994,0
705e3,329,3,3,1970,2,1,1980,0
578e3,162,4,2.5,3140,1,0,1966,0
255e3,392,3,1.75,1240,1,0,1986,0
105e4,176,4,3.5,3450,2,0,2007,0
348e3,428,3,2.25,2570,2,0,1989,0
23e4,307,3,2,1510,2,0,1985,0
359500,342,4,2.25,2390,2,0,1988,0
33e4,315,3,1,980,1,0,1953,0
8e4,142,1,0.75,430,1,0,1912,0
465e3,334,3,1.75,1480,1,0,1954,0
325e3,287,4,2.5,1850,2,0,1997,0
340500,371,3,2,2270,1,0,1947,0
342500,370,3,2.5,1810,2,0,1993,0
290900,173,2,2,1610,2,0,1930,1983
868700,408,3,4.25,3840,2,0,2000,0
1199e3,316,4,2.75,4110,2,0,1928,2013
115e4,286,4,3.25,4190,2,0,2000,0
859900,222,4,2.75,3390,2,0,2011,0
52e4,219,4,2.25,1890,2,0,2003,0
46e4,191,3,2.5,1610,2,0,2005,0
438924,243,3,1.5,1050,1,0,1949,0
315e3,460,2,1,630,1,0,1918,0
59e4,198,4,2.75,2910,1,0,1975,0
378500,307,4,1.75,1700,1,0,1955,0
328500,153,3,2.5,1950,2,0,1990,0
849950,448,3,3,2990,2,0,1973,0
525e3,299,3,1.5,1350,1,0,1950,0
1385e3,464,4,3.25,4860,2.5,0,1993,0
295e3,482,4,2.5,2160,1,0,1978,0
1067e3,191,6,3.5,4860,2,0,1998,0
207950,201,2,2,890,1,0,1917,0
699900,349,4,2.75,2810,2,0,2002,0
128e4,405,5,2.5,3400,2,0,1977,0
452e3,323,4,1.5,1580,1,0,1963,0
37e4,400,3,2,1680,1,0,1987,0
232e3,391,3,1.75,1300,1,0,1968,0
669950,302,5,2.5,2820,2,0,1960,0
397500,164,3,2,1510,1,0,1972,0
49e4,131,2,2.5,1230,2,0,2004,0
725e3,392,4,2,2110,2,0,1925,2003
299e3,259,3,2.75,3080,1,0,1958,0
625e3,229,2,1.5,1490,1.5,0,1900,0
437500,309,3,2.5,2120,2,0,2000,0
65e4,494,4,2.5,3180,2,0,2003,0
475e3,138,2,1,1490,1,0,1929,0
342e3,121,3,2,1930,1,0,1966,0
1197350,287,4,2.5,2770,2,0,1999,0
28e4,405,3,1.5,1670,1,0,1963,0
24e4,140,2,1.75,1330,1,0,1993,0
529e3,146,3,1,1210,1.5,0,1924,0
442e3,397,3,1,1190,1,0,1941,0
615e3,127,2,1,1540,1,0,1946,0
1485e3,162,4,3.75,4030,2,0,2006,0
585e3,489,4,1.75,2430,1,0,1981,0
48e4,428,4,2.5,2600,2,0,2005,0
1095e3,201,5,3.5,4410,2,0,1990,0
29e4,308,4,1,1330,1.5,0,1949,0
615e3,231,3,1.75,1900,1,0,1951,0
3e5,434,2,1,1100,1,0,1950,0
308e3,301,3,1,1980,1.5,0,1932,0
75e4,491,3,2.5,2400,2,0,2001,0
225e4,317,4,2.25,4760,2.5,0,1916,0
89e4,216,4,3.25,3180,2,0,2005,0
288e3,448,3,1,1190,1,0,1958,0
19e4,248,2,1,630,1,0,1943,2005
515e3,449,5,3,2530,1,0,2005,0
235e3,308,4,1.5,1690,1,0,1930,0
275e3,229,2,1,940,1,0,1951,0
727500,324,2,2,1240,1,0,1952,0
65e4,170,4,2.5,3040,2,0,2003,0
16e5,168,6,5,6050,2,0,2001,0
365e3,308,4,1,1590,1.5,0,1944,0
662e3,280,3,1.75,2500,1,0,1984,0
270500,483,3,2.5,1780,1,0,1978,0
2e5,489,2,1.5,1360,2,0,1978,0
97e4,419,4,3.25,4740,2,0,1987,0
16e4,174,3,1.5,1010,1,0,1962,0
204e3,413,3,1,1040,1,0,1971,0
358e3,413,3,2.25,1610,2,0,1985,0
452e3,485,4,1.75,1570,1,0,1979,0
595e3,337,2,2,1510,1,0,1900,0
249e3,464,3,2,1360,1,0,1994,0
346900,433,4,2.5,1970,2,0,1999,0
2125e3,413,3,2.5,5403,2,1,1976,0
28e4,302,4,2.5,1560,2,0,2003,0
318888,285,4,1.75,2320,1,0,1973,0
53e4,253,3,2.25,2120,1,0,1967,0
375e3,324,3,2.25,2120,2,0,1983,0
91e4,476,4,2.5,3350,2,0,1988,0
782e3,142,4,2.5,2380,2,0,1991,0
259950,442,2,2,1070,2,0,2008,0
315e3,265,4,2.75,2300,1,0,1979,0
215e3,147,2,1,1320,1,0,1943,0
705e3,203,3,1.75,2180,1,0,1946,0
145e4,285,3,3,4380,2,0,1952,0
451e3,492,3,1.75,1790,2,0,1949,0
261e3,244,2,1,750,1,0,1943,0
396e3,320,3,1.5,1300,1,0,1956,0
725e3,202,4,2.5,2990,2,0,1999,0
195e4,170,7,3.5,4640,2,0,1965,2003
238e3,195,4,1,1400,1.5,0,1959,0
75e4,481,6,1.75,2750,2,0,1973,0
331500,299,4,2.5,2050,2,0,1998,0
46e4,300,4,3,2230,1,0,1978,0
404950,187,4,2.25,2340,1,0,1982,0
88e4,350,3,2.5,2870,2,0,2014,0
863e3,163,4,2.5,4120,2,0,1997,0
638700,349,3,1.75,2080,1,0,1960,0
435e3,208,3,2.5,1840,2,0,2008,0
26e4,364,3,1,1180,1.5,0,1959,0
671500,225,5,2.75,2160,1.5,0,1927,0
61e4,294,3,1,1180,1.5,0,1907,0
405e3,351,2,0.75,1160,1,0,1937,0
338900,198,4,2.5,1830,2,0,2003,0
72e4,387,4,4,3200,2,0,2004,0
442e3,478,5,3,2560,1.5,0,1927,0
65e4,153,5,2.75,2550,1.5,0,1902,0
263500,366,3,1.75,1330,1,0,1981,0
3e5,350,2,1,1220,1,0,1963,0
266e3,342,3,2.5,1805,2,0,2009,0
93e4,344,4,4,6050,2.5,0,2009,0
53e4,391,4,2.5,2320,2,0,2004,0
18e4,344,3,1,1384,1,0,1965,0
619e3,135,3,2.5,2720,2,0,2005,0
264e3,232,3,1.5,1820,1,0,1962,0
73e4,181,2,2.25,2130,1.5,0,1941,0
439e3,294,4,2.25,2060,2,0,1975,0
268500,320,4,1.75,1420,1,0,1981,0
33e4,195,3,1.75,1510,1,0,1985,0
64e4,230,3,2.5,2160,1.5,0,1903,2013
9e5,188,3,2.5,3180,2,0,1978,0
37e4,272,3,2.25,2110,2,0,1985,0
685e3,437,3,2,2060,1.5,0,1931,0
505e3,246,3,1.5,1830,1,0,1981,0
265e3,293,3,1.75,1820,1,0,1966,0
29e4,447,3,2.5,1610,2,0,2006,0
296e3,244,4,2.5,1780,2,0,2006,0
36e4,408,4,2.5,1840,2,0,1996,0
