County,Obama,McCain,pct_Obama,pct_rural,medHHinc,unemp_rate,pct_poverty,medAge2007,medAge2000,Gini_Index,pct_native
Lyon,6110,6315,49.17505030181086,50,47244,4.4,11.3,37.4,34,0.4,95.19608240000001
Mahnomen,1436,843,63.01009214567793,47,57355,6,6.2,NA,35.6,NA,NA
Marshall,2311,2285,50.2828546562228,100,35104,7.4,19,44.2,38.2,0.43,NA
Martin,4413,6053,42.16510605771068,100,45145,8,10.3,NA,40.5,NA,97.340529
McLeod,7505,10993,40.571953724726995,53,42997,4.9,10.2,36.8,41.5,0.39,96.9910928
Meeker,5379,6737,44.39584021129085,71,49309,6.6,9.3,39.4,38.3,0.39,98.0665487
Mille Lacs,6073,7049,46.28105471726871,82,43616,9.2,9.5,NA,38,NA,98.87506259999999
Morrison,6547,9734,40.21251765862048,71,45706,7.6,10.4,37.9,36.9,0.4,99.17423869999999
Mower,11605,7075,62.12526766595289,39,44721,4.6,11.4,39.5,38.9,0.43,95.14344150000001
Murray,2345,2320,50.267952840300104,100,44359,5.2,8.3,NA,42.4,NA,NA
Nicollet,9887,7968,55.37384486138337,28.000000000000004,58959,4.4,9.2,34,32.6,0.41,96.93975139999999
Nobles,4244,4368,49.28007431490943,47,42072,4.1,15,39.1,37.5,0.46,89.4467874
Norman,2129,1204,63.87638763876387,100,38124,5.7,13.2,NA,40.9,NA,NA
Olmsted,38711,36202,51.67460921335416,19,60683,4.4,8.4,36.3,35,0.42,91.5157729
Otter Tail,13856,18077,43.39084959133185,77,40721,6.1,11.3,43,41.1,0.42,97.5206612
Pennington,3394,3248,51.09906654622102,32,41785,7.2,11.3,NA,37.9,NA,NA
Pine,7084,6862,50.795927147569195,89,43809,8.6,12.3,39.2,38.4,0.4,98.41275499999999
Pipestone,2021,2652,43.24844853413225,57.99999999999999,36411,4.4,11.5,NA,40.2,NA,NA
Polk,7849,7148,52.33713409348536,51,43188,5,15.7,39.7,38.2,0.4,98.08674710000001
Pope,3317,3068,51.94988253719655,100,43090,5.3,9.1,NA,42.1,NA,NA
Ramsey,182972,88942,67.29039328611252,0,51803,5.3,13.5,36.8,33.7,0.45,88.8382007
Red Lake,1119,983,53.23501427212179,100,40008,8.2,11.1,NA,40.4,NA,NA
Redwood,3250,4308,43.000793860809736,69,46177,5.5,9,NA,39.5,NA,NA
Renville,3904,3956,49.66921119592875,100,45115,5.9,9.5,NA,39.7,NA,NA
Rice,17381,13723,55.88027263374486,31,55431,5.9,7.7,33,32.9,0.37,94.753489
Rock,2078,2773,42.836528550814265,54,45382,3.9,8.8,NA,39.9,NA,NA
Roseau,3096,4437,41.09916367980884,83,48376,5,8.2,NA,35.3,NA,NA
Scott,29209,36726,44.299689087737924,36,42698,6.4,14.9,32.7,39,0.36,92.5937696
Sherburne,17960,26143,40.722853320635785,27,79213,5,4.2,31.3,32.7,0.35,97.6642753
Sibley,2998,4492,40.026702269692926,56.00000000000001,67634,6.2,5,NA,31.4,NA,NA
St. Louis,77332,38730,66.62990470610536,100,49918,6.3,9,40.4,37.3,0.43,98.135357
Stearns,35690,41194,46.42058165548099,43,51489,5.5,11.7,32.8,31.6,0.42,96.529182
Steele,9016,10068,47.24376440997695,34,53333,5.1,7.1,36.7,35.7,0.38,96.999861
Stevens,2780,2710,50.63752276867031,52,44888,4.6,13.4,NA,33.9,NA,NA
Swift,2907,2184,57.10076605774897,48,40499,6.1,11.7,NA,39.3,NA,NA
Todd,5277,6637,44.292429075037774,78,39655,6.6,13.5,40,38.5,0.41,96.6302899
Traverse,1041,933,52.735562310030396,100,42342,5.6,11.3,NA,42.9,NA,NA
Wabasha,5646,5935,48.752266643640446,65,49886,5,8.5,40.9,38,0.42,98.4323432
Wadena,2882,4127,41.11856184905122,67,35728,8.4,14.9,NA,39.9,NA,NA
Waseca,4401,5212,45.78175387496099,50,49108,5.5,8.5,NA,36.3,NA,NA
Washington,70281,64335,52.208504189695134,18,78113,5,4.7,36.5,35.1,0.39,94.0215555
Watonwan,2562,2526,50.35377358490566,61,43502,6.6,9.1,NA,38.6,NA,NA
Wilkin,1550,1786,46.462829736211035,51,45030,4.4,8.9,NA,38.1,NA,NA
Winona,16308,10974,59.775676270068175,35,44485,4.7,11.5,34.1,32.8,0.43,96.78781910000001
Wright,26343,37779,41.08262374847946,53,67391,6.2,5,33.4,33.1,0.35,97.46977989999999
Yellow Medicine,2816,2579,52.196478220574605,82,44602,5.1,11.1,NA,40.4,NA,NA
